,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X2891.TT.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X600919.CH.EQUITY,X601881.CH.EQUITY,X601009.CH.EQUITY,X2884.TT.EQUITY,X600958.CH.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY
X601398.CH.EQUITY,0,0,0.443333191482112,0.00273277107568646,0,0.324992782044666,0,0,0,0,0.0506701370616224,0,0,0,0,0.0321958579272378,0,0,0,0.112160888358417,0,0,0,0,0,0,0.160977795743037,0,-0.0420685701365527,0,0,0,0,0,-0.175885946801125,0,-0.211687835454454,-0.0927956561132434,0,0,0,0,0,0.0620276429505618,0.197896575960929,0,0,-0.0354450967701622
X601318.CH.EQUITY,0,0,0,0,0,0,0.05681945885695,0,0,0,0,0,0,0.151143014600299,0.295746948175828,0,0,0,0,0,0,0,0,0.0200647601680339,0,0,0,0,0,0.335434856953654,0,0,0,0,0,0,0,0,0.0149606964021264,0,0,0.060434154596045,0,0.0276476031013844,0,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.146505792936034,0,0,0,0.000304010620767942,0,0,0,0.034896414426119,0,0,0,0.485082786007302,0,0.0236746023176597,0,0,0,0.0110529437174209,0,0,0.00585370564393108,0,0,0,0,0,0.0698452109734493,0,0,0,0,0,0,0.0659181532216704,0,0,0
X601288.CH.EQUITY,0,0,0,0,0.0524353524853372,0.297419503402225,0,0,0.138104418458863,0,0.102898638195686,0,0.113992395436531,0,0,0,0,0,0.0369596148933878,0,0,0,0.24494586018849,0,0,0,0,0.00906664130390071,0,0.0210247798884049,0,0,0.0194717023346197,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0.0345819680396671,0.065971609557436
X5.HK.EQUITY,0,-0.275017296162117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.170514759573056,0.35220135249381,0,0,0.390553791357473,0,0,-0.0640896108829868,-0.0176252157334779,0,0,0,0,0,0.258341188906153,0.0546395302253424,0,0,-0.0750835397744226,0.0751830687739844,0,0,0,0,0,0,0,0,0,0,0,0.280443567309501
X601988.CH.EQUITY,0.319433945214716,0,0,0.491147884687577,0,0,0,0,0,0.0928763889003482,0,-0.0167412264860263,0.0447109408118783,-0.0581006577183952,0,0,0,0,0,0.128177814621958,0,0,-0.107123178081258,0.060695198923536,0,0,0,0,0,0.0267587035191799,0,0,0,0.0160617283376133,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013418583495388
X600036.CH.EQUITY,0,0.340750498833431,0,0,0,0,0,0,0,0,0,0.163399732629181,0,0,0.205752274450738,0,0,0,0,0,0,0,0,0,-0.0915987529969474,0,0,0,0,0.0514808017786594,0.0931525305843472,0,0,0,0,0,0,0,0,0,0,0.287041918607057,0,0,0,0,0.072903063651527,0
X1299.HK.EQUITY,0,0.191801987109211,0,0,0,0,0,0,0,-0.0578017545210094,0,0,0,-0.0697558092421692,0,0.228256850686702,0.329352608574436,0,0.167767849274978,0,0.170460425542101,0,0,0,0,0,0,0,-0.21873636918547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.0707283327627292,0,0,0.0825381295432725,0,0,0.0242672354657881,0,0.0341088466811531,0,0,0,0,0.237399410840774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206097195739268,0,0,0,0,0,0,0,0,0,0,0,0,0.0236438644000505,0,0.0709369069719603,0,0,0
X601166.CH.EQUITY,0,0,0.172865017564176,0,0,0.286746604093754,0,0,0.0270010399377516,0,0,0,0,0,0.231763746999616,0,0,0,0,0,0,0,0,0.309909891156542,0.0869773977032459,0,0,0,0,0.102358241743041,-0.0504684370458012,0,0,0,0,0,0.000153429862628503,0,0,0,0,0,0,0,0,0,0.0627976230913983,0.0485128805580422
X601328.CH.EQUITY,0.0389384382532168,0,0.0825710876739893,0.0436305737490355,0.0662606461685634,0.255785651763516,0,0,0,0,0,0,0.0266773700104474,0,0.0156186314452238,0,0,0.0539953244529897,0,0.171793536364085,0,0.0464081089471562,0.0718407527242475,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0.125282751993255,0,0.0832847976700213,0,0,0,0,0,0,0,0,0,0,0,0
