,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X000001.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X601211.CH.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X2881.TT.EQUITY,X601881.CH.EQUITY,X600015.CH.EQUITY,X601788.CH.EQUITY,X2886.TT.EQUITY,X601009.CH.EQUITY,X2891.TT.EQUITY,X601696.CH.Equity,X2884.TT.EQUITY,X600926.CH.EQUITY,X600919.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0.0810378914705124,0,0.286242003418293,0,0,0,0,0,0,0,-0.124055277474216,0,0,0,0,0,0,0.47119829461504,-0.0406848353853308,0,0,0,0,0,0,0,0,0,0,0,0,0.0442488447145214,0.0113630730769082,0,0,0,0,0,0,-0.244268440574812,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,-3.46944695195361e-18,0,0,0,0,0,0,-0.0245946031511674,0,0,0,0.0817923985257776,0,0,0,0,0.350307868580837,0,0,0,0,0,0,0,0,0,0.19599610515789,0,0.0907792921730039,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232335309616147,0,0.0883509761164704,0,0,0
X601939.CH.EQUITY,0,0.0714070493932151,0,0.783416181649622,0,0,0.00438426585571336,0,0,0.0379620144675193,0.0577451579157858,0,0,-0.0452552312805498,0.0761844719210083,0,0,0,0,0.00377898107628395,0,0,0,0.0422176540126606,0,0,0,0,0.0795594224289122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.859396648640392,0,-0.0117064731411972,0,0,-0.0449356868070054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0567785128894194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15237622032177,0,0,-0.0129593458423648,0.0408344511981503,-0.0462639813127853,-0.155593742131724,0,0.0178589688927887,0
X601628.CH.EQUITY,0.0271019201511538,0.00846059616148729,0,0,0,0,0,0,0,0.257578903491269,0,0.0514330571912507,0,0.185444104825305,0,0,0,0.362630518277385,0,0,0,0,0,-0.199965444542355,-0.0297943841469829,0,0,0,0.285487395797253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0206095246083995,0.0984218284247857,0,0,0
X600036.CH.EQUITY,0,0,0.0933188264996649,0.277311862015949,0,0,0,0.00859105265685765,0.0601426513295703,0,0,0,0,0,0.0711512204328643,0,0.0670183717855907,0,0,0,0,0,0.0112377219065356,0,0,0,0,0,0,0,0.0154167276082449,0,0,0,0,0.075597222794987,0,0,0,0,0,0,0,0.0121350407210409,0.18310739937409,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,-0.00379389361313518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00618655185662813,0,-0.0330821149199902,0,1.02030573607548,0,0,0,-0.0309880063562404,0,0,0,-0.0683499589128521,-0.00752409763940082,0.0570499403845982,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.415657919186679,0,0,0,0,0,0.0301058528019372,0,0,0,0,-0.111653333846768,-0.00791430667142303,0,0,0.296914558171675,0,0,0,0,0,0.130798264076525,0,0,0,0,0,4.33680868994202e-19,0.0412950037885568,0,0,0,0,0,0,0,-0.0849207207452073,0.169483439369428,0.250665277184123,0,0
X5.HK.EQUITY,0,0.470328229918082,0,0,0,0,0,0,0,0,0,0,-0.298039791348123,0,0,0,0,-0.285858187054265,0,0,0,0,0,0.112379169392356,0.331010619535192,0,0,0,0,0,0.222401264297167,0,0,0,0,0.477470856553802,0,-0.0106588693259664,0,0.279933097737198,2.77555756156289e-17,0,0,0,-0.299050013533114,0,0,0.162100430399658,0,0
X388.HK.EQUITY,0,0,0,0,0.419116226590996,0,0,0.103742348919442,0.245051335993063,0,0,0,0,0,0,0.077938585074125,-0.28050660998398,0,0,0,0,0.241091370804329,0.0971375483269906,0,0,-0.244900158664661,0,0,0,0,0.355676563449258,0,0.160690681153225,-0.317433001236432,0,0,0,0,0,-0.312695835375023,0,0,0.22984230318306,0,-0.176522464241447,0,0,0,0,0
