,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X600000.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X601066.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X2891.TT.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X601916.CH.Equity,X601009.CH.EQUITY,X601881.CH.EQUITY,X2884.TT.EQUITY,X601236.CH.EQUITY,X600919.CH.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY
X601398.CH.EQUITY,0,0.439053661830674,0.0214465459420532,0,0,0,0,0,0.0366849448755283,-0.0591334931335746,0,0.139707253481791,0,0,0,0,0,0,0.0476805174326903,-0.036781241710401,-0.00974275849793208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0723144004361301,0.0988389287945289,0,0.0709500164000413,0,0,0,0,0,0,0.0479167042894404,0
X601939.CH.EQUITY,0.444868434290179,0,0,0.107055630018142,0,0,0,0,-0.0606300189042611,0,0.0128940651925591,0,0,0.407711390120886,0,0,0.0406318693652336,0,-0.157919068987665,0,0,0.160946894426574,-0.0139568001765631,0,0,0,0,-0.0504861788344488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0180381708178494,0,0,0,0,0,0
X601318.CH.EQUITY,0.0457613053942218,0,0,0,0.22035084969919,0.182606659895551,0,0,0,0,0,0,0,0,0,0,0,0,0.16578475828731,0,0,0,0,0.103136625974002,0,0,0,0,0,0,0,0,0,0,0,0.0449574669736487,0,0,0,0,0,0,0,0,0.154591415314809,0,0,0,0,0
X601288.CH.EQUITY,0.45120737132398,0,0,0,0.256364791998579,0,0,0,0,0,0,0,0,0,0,0,0.0214278473122516,0,0,0,0,0,0,0,0,0,0.0220831288976177,0.0826350930801628,0,0,0,0.0712130785064053,0,0,0,0,0,0,0,0,0,0,0.0888543621944337,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.0415112413703549,0,0.54080034340649,0,0,0,0,-0.0643010054034428,0.366077532220156,0,0,0,0,0,0,0,0,0,0,0,0,0.0874855849567432,0,0,0,0,0,0,0,0,0,0,0.102529857490835,-0.273680503817244,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0.106552088667887,0.182517026599544,0,0
X600036.CH.EQUITY,0,0,0.0213573866510212,0,0,0,0,0,0,0,0,0.339758654354348,0,0,0,0.193674477699894,0,0,0,0,0.0308198424462566,0,0.0545787675800322,0,0.000639017027612885,0.115607087172745,0,0,0,0,0,0,0.0916346253193306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130411035349024,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0.169000091372766,0,0,0.239007976571359,0,0,-3.46944695195361e-18,0,0.261963866633383,0,0,0,0.303583346830129,0.191238073656184,0,0,0,0,0,0,0,0,-0.099747852062109,0,-0.0437905332320134,0,0,0,0,0.0522893480906365,0.0502661276298355,0,0,0,0,0,0,0,0,0,-0.0483552476302908,0,0
X5.HK.EQUITY,0,-0.0052315151950349,0,-0.12614272601696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289167098161035,0,0,0.589241030567612,0,0,0,0,0.0800324188373079,0,0,0,0,0,0,-0.354174069667967,0,0.0990377115937564,0,0,0,0.327594984126119,-0.0204285788392719,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.00312839289089851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102157099121864,0,0.0902578216533434,0.229690130641256,0,0,0,0,0,0,0,0,0.0739142633382492,0,0,0,0.113285624416275,0.039445073876652,0,0,0,0,0,0,0,0,0,0,0,0,0.0441251731820855,0,0,0,0.150623841515902
X601658.CH.Equity,0,0,0,0,0.137836287219619,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0516738797479855,0,0.0520745327498432,0,-1.73472347597681e-18,0,-0.0681999249689711,0,0,0,0,0,0,0,0,0,0.040157459079783,0,0,0,0.0364066905005913,0,0,0,0.603688319427518,0,0.122321209165654,0,0,0,0,0.193944135893909
