,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X2891.TT.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2886.TT.EQUITY,X601916.CH.Equity,X601881.CH.EQUITY,X600919.CH.EQUITY,X2884.TT.EQUITY,X601009.CH.EQUITY,X601077.CH.Equity,X2892.TT.EQUITY,X600958.CH.EQUITY
X601398.CH.EQUITY,0,0.125734647751723,0,0.0884186412654209,0,0,0,0,0,0,0,0,0.418988603601263,0,-0.0720098166132798,0,0,0,0,0.155532519930371,0,0,0,0,0,0.0669389815788742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0.13317516080705,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.150879956240747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193308488088741,0.055707674528428,0,0,-0.236044055480047,0,0.461305727559392,0.0155049558290716,0,0,0,0,0,0.233287534486986,0,-0.0980716238170598,0,-0.0394314068811689,0,0,0,0,0,-0.0455646781479805,0
X601939.CH.EQUITY,0.139444053855301,0,0,0.358181842653784,0,0.0698433796000269,0,-0.0770277166613524,0,0,0,0,0,0.0886293018991787,0,0,0,-0.0203886040140676,0.0968675522680691,0,0,-0.0828614538325043,0,0,0,0,0,0,-0.0155447511994211,0.48400825040467,0,0,0.00271993885148794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.41743814651074,0,0.179286142472201,0,0,0.133418154314377,0,0,0.0483964270836711,0,0,0,0,0,-0.0281911239291042,0,0,0,0,0,0,0,0,0,0,-0.0641171334465416,0,0,0,0.0821737344720756,0,0,0,0,0,0,0,0.0946860177422088,0,0.2109311004474,0,0,0,0,0,0.042070059283482,0,-0.0139313910732456,0,0
X5.HK.EQUITY,0,-0.0758550459515939,0,0.271332784088896,0,0,0,-0.279626670904797,0,0,0,0,0.0625103399827301,0,0,0,0.625988796012585,0,0,0,0,0.231244837523995,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23532192541945,0,-0.0811831090640976,0,0,0,0,0,0,0,0.0190284205986461,0,0,0,0
X601988.CH.EQUITY,1.73472347597681e-18,0,0.0791890205984182,0.354996266214681,0.0308200841659188,0,0,0,0.103371373694863,0,0.132949087914,0.0690570082998027,0,0,0,0,0,0,0,0.145180498256311,0.204358022023623,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,-0.00377176344497867,0,-0.000965234138791775,0,0,0,0,0,0,0,0,-0.24248341569429,0
X600036.CH.EQUITY,0,0.0771577271624788,0,0,0.0544803811631388,0,0,0.247948436926082,0,0,0.0549739850484872,0.0405673844712073,0.189610141052509,0.198089587608158,0,0,0.0016927910981819,0,0,0,0,0,0.122324603653751,0,0,0.0736197286918203,0,0,0,0,0.036900983841897,0,0,0,0,0,0.0106554719060423,0,0,0,0,0,0,0,0,-0.107714390191156,0,0,-0.06471095668368,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.142436121963842,0,0,0,0.130953888064839,0,0,-0.209762064987907,-8.67361737988404e-19,0.372605330436053,0.258771889491142,0,0,0.0963804420068238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0233350272402667,0,0,-0.0434040745075473,0.0991616489064631,0,0,0,0
X601628.CH.EQUITY,0,0.37811023959473,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0.0405776438699271,-0.111818365889994,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120946991593353,0,0,0,-0.0876537766908474,0.0782143029159671,0,0,-0.0975224586297922,0,0,0,0,0,0,0.122048296521151,0,0,0,0
X601658.CH.Equity,0,-0.00859158321358829,0,0,-0.00198718605378474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.051642252483617,0,0,-0.105766009670095,0,0,0,0,0,0,0,0,0,0,-0.0241717466202276,0,0,0,0.0248637536563837,0,0,0,0,0,0,0.00608676532354285,0,0,0
