,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600030.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X601066.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,X601881.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X2884.TT.EQUITY,X600958.CH.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.0145937432194614,0.358469702784095,0,0.130045269779971,0,0,0,-0.0747818891821156,-0.399201700288336,0.247356289118171,0,-0.0614190757362824,0.216851089329389,0,0,0.77563891140681,0,0,-0.428432910721506,0.107020901871461,0,0,0,0,0,0,0,-0.0121352794242803,0,0,0,0,-0.082415446039682,0,0,0.0398007613985337,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.123267357145834,0.204382959834267,0.0268331966823159,0,0,0,0.174748837387636,0,0,0,0.0856065181746604,0,0,0,0,0,0,0,0.0877051230351182,0.248159605656126,0.149542485358285,0,0,0,0,0.0156530180037372,0,0,0,0,0,0,-0.0575017623646105,0,0,0.130250663461806,0,0,0,0,0
X601939.CH.EQUITY,0.343650710090963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0339769685325473,0,0,0,0,0,0,0,0,-0.473501255222208,0,0.124723773336987,0.471266228935362,0,0,0,0.0504055234808296,0,0,0.175773436876228,0,0,0,0,0.134438397205243,0,0.217997748877494,0,0.0501292090068432,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.351039220248728,0.0329127334225888,0.0480039606250531,0.652030025179563,0,0,0,0,0,0,0,0,0,0,0,0,-0.793699778351828,0,0,0,-0.115096705966857,0,0,0,0,0,0.769444162837891,0,0,0,0,-0.0161886122392309,0,0,-0.0838580220945249,-0.0629910365468638,0,0,0,-0.341414899741521,-0.132332182318502
X5.HK.EQUITY,-0.131481323247336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0469351805396331,0.0520437256065179,0.0320621061973169,0,0.378198198833795,0,0,0,-0.0772098290048862,0,0,0,0,0,0,0,0.253155906379493,0,0,0,-0.255526184222729,0,0,0.0219871980108439,0.28819789916264,0,0,0,0,0,0,0.0244545957021284,0.263842797347336
X601988.CH.EQUITY,-0.130027495558636,0,0,0.0365861419389495,0.502806012077927,0,0,0,0,0,0,0,0,-0.25663157511501,0,0,0.558116274851478,0,0,0,-0.205497754749024,0,-0.194995417270944,0,0,0,0,0,0,0,-0.165114345245923,0,0,0,0.194825308738322,0,0,0,0,0,0,0,0,0,0.0746599115237904,0,0.454104006848131,0
X600036.CH.EQUITY,0,0.0979846009329893,-0.0217166784414792,0,0,0,0,0,0,0.0149704322789474,0,0.434455721746406,-6.93889390390723e-18,0.151311424648426,0.114866027109563,0.122782486799083,0,0,0,0,0,0,0.218098532026825,0,0,0,0,0,0,0,0,0,0,0.311873817724463,-0.0755140104046721,-0.0203730008542388,0,0,0,0,0,-0.21149237121515,0.302883288281162,0,0,0,0,0.0657590470978767
X1299.HK.EQUITY,0,0.179225284119234,0,0,0.205113892952248,0,0,0,0,0,0,-0.0202715039780617,0,0,0.135492915759835,0.0750828639049557,0,0.0392978230488803,0,0,0,0,-0.0270955360623282,0,0,0,-0.059324608021301,0,0.00918908769733674,0,-0.0946221952955117,0,0,0,0.181671017647135,0,0,0,0,0,0,0,0,0,0,0,0,-0.13211438549607
X601628.CH.EQUITY,0,0.0742467300764316,0,0.0418844687276769,0,0,0,0,0,0,0.109432701818339,0,0.0321973065696387,0.385933112520223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154459612278731,0,0,0,0,0,0.0415370448038129,0,0,0,0,0,0,0.0590334451834733,0,0,0,0,0,0
X601328.CH.EQUITY,0.152924772460849,0.261645772229647,0.102334794964053,0,0,0,0.402584910863145,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0794243813195457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00874244612127222,0,0,0.0472036558000356,-0.2614303124269,0,0
