,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X300059.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X002142.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X000166.CH.EQUITY,X600918.CH.Equity,X2882.TT.EQUITY,X601229.CH.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X601881.CH.EQUITY,X2886.TT.EQUITY,X601169.CH.EQUITY,X601788.CH.EQUITY,X2881.TT.EQUITY,X600015.CH.EQUITY,X601696.CH.Equity,X2891.TT.EQUITY,X601916.CH.Equity,X601236.CH.EQUITY,X2884.TT.EQUITY,X601009.CH.EQUITY
X601398.CH.EQUITY,0,0,0.101739269600346,0.0309381499405724,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.14861382700705,0.502619220629936,0,0,0,0.195555933640323,0,0,-0.287791396688054,0,0,0,0,0,0,0,0,0,0,0,0,-0.175223059905312,0.0689341296059564,0,0,0,0,0,0.0691162328722307,0
X601318.CH.EQUITY,0,0,0,0,0,0.117389243070735,0,-3.46944695195361e-18,0,0,0,0,0,0,0.0112772564221477,0,0,0,0.0819970228970402,0,0,0,0,1.73472347597681e-18,0.0335808826762607,0,0,0,0,0,0.46362089230066,0,0,0,0,0,0,0,0,0,0.315702817786764,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.785128164468749,0,0,0.0145361601391366,0,0,0,0,0,-0.0417531885602978,0,0,0.0356690605230576,0,0,0,0.0293857422781923,0,0,0,0.0295543866762357,0,0,0,0,0,0,0,0,0,0.0207118510518942,0,0,0,0,0,0.0455199615247835,0,0.0682477685903175,0,0,0,0,0.0852305759977919,0,0,0
X601288.CH.EQUITY,0,0,0.838552771290543,0,-0.0799118021519598,0,0.0908769779804052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035953165237141,0,0,0,0,0.0835949967639042,0,0,0,0,0,0,0,0,0,-0.0509247213434331,0,0,-0.0703652878720957,0,0.11172139474801,0,0,0
X601628.CH.EQUITY,0,0.0933750748891028,0,0,0,0,0,0.0291465661500241,0,0.0792662915792035,0,0.377310427520453,0,0,0,0,0,0,0,0.0237254692865663,0,0,0,0,0,0,0,0,-0.134058517250575,0,0.297387689744247,0.157645070659935,0,0.264634767387753,0,0,0,0,0,0.0975271063892875,0,0,0,0,0.111408712254978,0,0,0,-0.0462366930521556,-0.117655674769271
X600036.CH.EQUITY,0,0.0060747798063428,0.371533454074954,0.0117740364858597,0,0,0,0,0.019514238946665,0,0,0,0,0,0,0.124293783101598,0,0,0,0,0,0,0,0.197619624612125,0,0.163269604157251,0,0,0,0,0,0,0,0,0,0.0172725150999119,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.0447763958156338,-0.0978150421811393,0.0530472943161661,0,0,0,0.0209159570556295,0,-0.104953372090575,0,0.18785414382224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0639713123415154,0,0,0,0.0853711089389527,0,0.840458524445819,0,0,-0.100839208820142,0,-0.0194310800805235,0,0.0234216302877565,-0.0294149537152036,0
X1299.HK.EQUITY,0,0.279233691533952,0,0,0,0,-0.0888391983837562,0,0.220551096298742,0.255005444704644,-0.0111511052851646,0,0,0,0,0,0,0,0,0,0,-0.0698456493772833,0,0.382907207571803,0,0,0,0,0,0,0,0,-0.146406048537117,0,0,-0.0323111659845818,0,0,0,0.0379090774478847,0,0,0.227793430544406,0,0.314405622224308,-0.130252905545313,0,0,0,0.0117542726458029
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.102544720155553,0,0,0,0,0.572584237559081,0.193027850962114,0.0607719758436438,0,0,0,0,0,0,-0.000539910458345078,0,-0.242032503718404,0,0.155977959612633,0,0,0,0,0,0,0,0,0,0.087746873019194,-0.0156829862585776,0,0,-0.195259118703259
X388.HK.EQUITY,0,0,0,0,0.280027098805316,0,0,0.107592795009272,0.288701555401038,0,-0.337706637774238,0,0,0,0,0,0,-0.0504784376118174,0,0,0.0472550793778532,0,0,0,0.137673514491728,0,0,0,0,0,0.11974139470328,0,0,0.201244983755592,0,0,0,0,0,0,0,0,-0.208879605652275,0,0,-0.0455937456099438,0,0,0,0
X601658.CH.Equity,0,0,0,0.230815524662298,0,0,0,0,0,0,0,0,0,0,0,0,0.120460447439138,0.203370060854341,0.00291317743283305,0,0,0,0,0,0.0768343347790066,0,0,0,0,0,0.117151837132917,0,0,-0.0288351203724285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0.0569901723821293,0,0,0,0,0.0867625596261737,0,0,0.20027156558798,0,0.0475873453838168,0,0,0,0,0,0,0,0,0,0,0,0,0.48984064450186,-0.0377488207809309,0,0,-3.46944695195361e-18,0,0.0333618966036105,0,0,0.0134884224948315,0,0.0160292374092046,0,0,0,0,0,0.0907966048714685,0,0,0.0204928755592537,0,0
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.488470296844746,0,0,0,0,0,0,0,0,0.0714964157841968,0,0,0,0,0,0,0.14251560715003,0.0296727126819689,0,0,0.103492429119519,0,0.015812792444465,0.0551107507913035,0,0,0,0,0,0,0,0,0,0,0,0,0.0673070630577321,0,0
