,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X601066.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X601916.CH.Equity,X2884.TT.EQUITY,X601881.CH.EQUITY,X600919.CH.EQUITY,X2892.TT.EQUITY,X601009.CH.EQUITY,X5880.TT.EQUITY,X2880.TT.EQUITY
X601398.CH.EQUITY,0,0.190714873997989,0,0.340527737638455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0776355029170609,0.167339935656608,0.0815387668421139,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.244008754513772,0,0,0,0,0.0535603496943858,0,0,0,0,0,0,0,0,0,0.210880311980279,0,0,0,0,0.144518775858979,0,0.0385818500881376,0,0,0,0,0.217045401189888,0,0,0,0,0,0.157222894853493,0,0,0,0,0,0
X601939.CH.EQUITY,0.511805793403546,0,0,0.0225825108427036,0,0,0,0,0,0,0,0,0.108769195147415,0,0.0142672632128245,0,0,0,0,0,0,0,0.0716225321237746,0,0,0,0,0,0.0909316914052399,0,0,0.12906336440597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0489392716303968,0,0,0
X601288.CH.EQUITY,0.363726754722412,0,0.071256951730895,0,0,0.255057537524695,0,0,0,0,0,0,0,0.00927469232104575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177670981643029,0,0,0,0,0,0.0473564411417413,0,0,0,0,0,0,0,0,0.0647995533976162,0,0,0
X5.HK.EQUITY,0.241411847671061,0,0,0.342433971242474,0,0,0,-0.191782489308877,0,0,0,0,1.38777878078145e-17,0,0,0,0.58469552391564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000434858906943961,0,0,0,0,0,-0.107413695201778,0,0,0,-0.248822541384043,0,0,0,0,0,0.149961033136289,0,0
X601988.CH.EQUITY,0.083672463086071,0.118310051823167,0.498536380570843,0,0,0,0,0,0,0,0.112393691828454,0,0,0,0,0,0.0964943111623438,0,0,0,0,0,0,0,0,0.016213001088606,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0.046395375338941,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.207730837987339,0,0,0.0231149794840045,0,0.143004610253152,0,0.467211691647474,0,0,0,0,0,0,0,0,0.0674648076004577,0,0,0.0173005606796116,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0.0555463585219912,0,0,0,0,0,0.0125567197169414,0,0,0,-0.0873527192815711,0
X1299.HK.EQUITY,0,0,0,0,0.0533175141064101,0,0.0221848309658257,0,0,0,0.0425120484699176,0,0,0.532700323977744,0,0.0459893178631693,0.0164727037181758,0,0,0,0,0,0.486760247390303,0,0.000497430645063465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0444597231392278,0,-0.242229105403177,0.0658291485348376
X601628.CH.EQUITY,0.313518989610562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.260714669800754,0,0,0,0,0,0.0623093535800939,0,0,0,0,0,0,0,0,0,0,0,0.00173514472561388,0,0,0,0,0,0.11143973736992,0,0.0429330271271947,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0.0298569703099368,0,0,0,0,0,-0.0786559819256681,0,0,0,0,0,0,0,0,0,0,0,0,-0.622461541437385,0,0,0,-0.274937280693252,0.265261004686459,0,0.0936137680773274,0,0,0,0,0,-0.284452711431455,0,0,0.847466283512919,0,0.326849602455955,0.281872139460352,0,0.295714385157284,-0.439185249949631,0
X601166.CH.EQUITY,0,0,0.035175873405144,0,0,0,0.39560353205626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0481362662364599,0,0.159962365947872,0,0,0,0,0,0,0,0.0400762247750333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.310265552040652,0,0
