,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,X601916.CH.Equity,X601881.CH.EQUITY,X600919.CH.EQUITY,X2884.TT.EQUITY,X601009.CH.EQUITY,X601901.CH.EQUITY,X600958.CH.EQUITY,X601077.CH.Equity
X601398.CH.EQUITY,0,0.158934935317802,0,0.0279247904232522,0,0,0,0,0,0,0,0.325842124388512,0.270747917748764,0,0,0,0.072479112052952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0142578066811302,0,0,0.0575137739699356
X601318.CH.EQUITY,-0.021550606170261,0,0,0,0,0.0715674479217014,0,0,0.144200182864188,0,0.101287296549909,0,0,0,0,0,0,0,0,-0.093045003208179,4.33680868994202e-19,0,0,0,0,0.0277798708408123,0.243944923103555,0,0,0.556639135169956,-0.28473658438615,0,0,0,0,0,0,0,0,-0.0540219944933663,0.233511690233662,0,-0.0773323167155563,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.318867743974864,0,0,0.135838969273063,0,0.12378124038193,0,0,0,0,0,0,0,0.0634651272374362,0,-0.0254286837698305,0,0,0,0.182123348539288,0,0,-0.117956955288095,0,0,0,0,0,0,0,0.472880213239277,0,0,1.38777878078145e-17,0,5.42101086242752e-20,0,0,0,0,0,0,0,0,0,0,0,-0.0267979253627027,0,0
X601288.CH.EQUITY,0.191135748067997,0,0.29206256601053,0,0.132840160622402,0.292112760253463,0,0,0.0214316955368956,-0.1828615176777,0,0,0,0,0,0,0.101337884113504,0,0,0,0,-0.189990125504192,0,0,0,0,0,0,0,0,0.106421951585673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00970691626167524
X5.HK.EQUITY,0,0,0.00348577757604105,0.221359532764383,0,0.188033906178825,0,-0.33724524188182,0,0,0,0,0,0,0,0,0,0,0.418556571408453,0,0,0,0.40135024644914,0,0,0.0409722342934949,0,0,0,0,0,0,0,0,0,0,0.218313058577304,-0.111721090463849,0,0,0,-0.0287735352490946,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.196563754956054,0.178915474198306,0.366995871363117,0.0569134931732535,0,0,0,0,0.0557015433306888,0,0,0.0422362110400118,0,0,0.075929151270275,0,0,0,0,0,0.0213079258262953,0.0876525402476591,0,0,0,0,0,0,0,0.0684810485924119,0,0,0,0,0,0,0,0,0,0,0,0.106443972570541,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0.0180474582815751,0,0,0.0459125511137676,0,0,0,0.0847753751555515,0.318085759967525,0.157861344792475,0,0,0,0,0,0,0,0,0,0,0,0.015946347054523,0.0509773908544015,0,0,0,0,0.257731778009264,0,0,0,0,0,0.0655836050601214,0,0,-0.00591283996559336,0,-0.0497151385822991,0.0755363695334926,0,0,0,0,0,0.0456483204768566
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0289391800505915,0,0.409685823819092,0,0.1155744032298,0,0,0.125537152035864,-1.38777878078145e-17,0,-0.0861132181793857,0.0818496869503645,0,0,0,0,0,0.174517291641117,0,0,0,0,0,0,0,0,0,0,0,0.0327189763041898,-0.0360845384967512,0.0272692678735045,0,0,0,0
X601628.CH.EQUITY,0,0.379556157121607,0,0,0,-0.0294674341302491,0,0,0,0,0,0,0,-0.0232913259677215,0,0,0.0451720114115515,0,-0.164518195196001,0,0,0,0,0,0,0,0,0,0,0.0300978830080324,-0.00131164638472547,0.222781348026225,0,0,0,0,0,0,0,0,-0.0946265815356882,0.0141555723339175,0,0,0,0.122093224661464,0,0,0,0
X601658.CH.Equity,0,0,0,-0.171174538909339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.338147400445751,0,0,0,0,0,0,0.237482240454384,0,-0.151431175278711,0,0,0,0,0,0,-0.0480697290607305,0,-0.636514772343653,0,0,0,0.470282944376221,0,0.254927602962784,0,0,0.0926466970313189,0,0
