,X601398.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X601628.CH.EQUITY,X000001.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X2388.HK.EQUITY,X600919.CH.EQUITY,X601229.CH.EQUITY,X1299.HK.EQUITY,X002142.CH.EQUITY,X601916.CH.Equity,X601601.CH.EQUITY,X2882.TT.EQUITY,X601009.CH.EQUITY,X2891.TT.EQUITY,X2881.TT.EQUITY,X11.HK.EQUITY,X600926.CH.EQUITY,X601319.CH.EQUITY,X601077.CH.Equity,X600030.CH.EQUITY,X601336.CH.EQUITY,X5880.TT.EQUITY,X2886.TT.EQUITY,X2892.TT.EQUITY,X601838.CH.EQUITY,X601577.CH.EQUITY,X2888.TT.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2883.TT.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X2885.TT.EQUITY,X601997.CH.EQUITY
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0423523641006032,0,0,0,0.00384745222417105,0,0,0,-0.019651359649817,0,0,0,0.48985717598832,0.191526990502961,0.0315001150588703,0,0,0,0,0,0,0,0,0,0,0.0989116691627736,0,0,0.177795556739885
X267.HK.EQUITY,0,0,0,0,0.0652760575547554,0,0,0,0,0.259342999255895,0,0,0,0,0.291162576706747,0,0,0,0,0.0998047874321406,0,0,0.143967568108944,0,0,0,0,0.0750795244719342,0,0,0,0,0,0.0714691998019225,0,0,0,0,0.0491875950350127,0,0,0,0,0,-0.0424744029754919,-0.428529158552892,0,0,0,0
X601998.CH.EQUITY,0,0,0,0,0,0.037509350799144,0.0296265863281558,0.118321334143338,0,0,0,0,0,0.123677854415063,0.0251824567930472,0,0,0,0,0,0,0,0,0,0,0.111119318742967,0,0.110742551254005,0,0,0,0,0,0,0.0168287064602896,0,0,0,0,0,0,0,0,0,0,0,0.0172394973761009,0,0.00567348687372211,0
X600016.CH.EQUITY,0,0.244726143887708,0,0,0,0.0577338059296719,0,0,0,0,0,0.305664665853079,-0.0340771296776628,0,0,0,0,0,0,-0.322332075005914,0,0,0,0,0.556193751282304,0.146696665088628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.138243297000666,0,0,0,0,0,0,0
X601818.CH.EQUITY,0.0325253027919643,0.0145113552769652,0,0,0,0,0,0,0,0,0,0.133759757130889,0.0548443499987956,0.382753766523813,0,0,0,0.0483072407793998,0,0,0,0,0.0349625364807647,0,0.301783591739206,0,0,0,0,0,-4.33680868994202e-19,0,0.00471259382945938,0,0,0,0,0,0.0661256002014196,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0.0398944747841725,0,0,0,0,0,0,0.201716927489225,0,0,0,0,0,0.0760335971098459,0,0,0,0,0,0.0256571628775684,0,0,0,0,0,0,0,0,0,0,0,0.0843627219286651,0.298824380050365,0,0,0,0,0,0,0,0,0,0,0,0,0.0974259524733536,0
X000001.CH.EQUITY,0.150689079068125,0,0,0.0563952774736181,0,0,0.0971612627573838,0,0.0723828214579821,0,0,0,0,0,0.0457926066912225,0.126683033851083,0,0,0.0593821471561902,0,0,0,0.0308619685988061,0,0,0,0,0,0.00104338439334606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600015.CH.EQUITY,0,0,0,0.195780351941724,0,0,0,0,0,0,0,0.0613067040640092,0,0,0.292555035547836,0,0,0,0,0,0,0,0,0.0673128316011333,0,0,0,0,0,0,0,0,0,0,0,0.096752428707548,0,0,0,0,0.18081372861658,0,0,0,0,0,0.119948471687451,0,0,0
X601169.CH.EQUITY,0,0.0524854774150995,0.222318011913221,0.076950458418745,0,0,0,0,0,0.0958522174636434,0,0,0,0,0,0,0,0,0,0,0.106846717039565,0,0,0,0.00322031842756259,0,0,0,0,0,0,0,0,0.262121581725246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197577045465359
X2388.HK.EQUITY,0,0.347555437653576,0,0,0.18945969022937,0.146358228849865,0,0,0,0.169727799575668,0,0,0,0,0,0,0,0,0,0,0,0,0.0365915409725989,-6.93889390390723e-18,0,0,0,0,0,0,0.0941508372842698,0,0,0,0,0,-0.125739323793711,0,0,0,0,0,0,0,0,0,-0.193980310311049,0,0,0
