,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X601336.CH.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X2881.TT.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X601881.CH.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601788.CH.EQUITY,X601901.CH.EQUITY,X2884.TT.EQUITY,X600958.CH.EQUITY
X601398.CH.EQUITY,0,0,0.172454508135922,0,0.29126161973561,0.0660781183506606,0.103793585087076,0,0,0,0,0,0,0,0.146826362254439,0,0.207486798006605,0,0,0,-0.0746345878326276,0,0,0,0,0,0,0,0,0,0,0,0,0.000499115207136191,0,0,0,0,0,0.0329183227570879,0,0,0.0665978366427348,0,0,0,0.0563039111528516,0,0,0
X601318.CH.EQUITY,0,0,0.0449825780578865,0.229240361665299,0,0,0,0,0.114257838297121,0,0,0,0.0174633312738122,0,0,0,0.0445647547760837,0,0.183894880294207,0.0339721671571949,0,0,0,0,0,0,0,0,0,0,0.0516615061990091,0,0,0,0,0,0,0,0.00688623366604375,0,0,0,0,0.0428337360000447,0,0.117824079309983,0,0,0,0
X601939.CH.EQUITY,0,0,0,0,0.130696649483396,0,0,0,0,-0.0328563414996716,0,0.145152371472817,0,0,0,0,0,0,0,-0.00649822502490111,0,0,0.562244701685546,0,0.165432222335161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0.0466035808150102,0,0.059110043808512,0,0,0.0712471537334597,0.238690891833753,0.0762306981311163,0,0,0,0,0.238296494995031,0,0,0,0,0,0,0,0.0913262205709562,0.2286467561218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039758821921834,0,0.0497301826494862,0.068818443384342,0,0,0,0
X601288.CH.EQUITY,0.0362623235646895,0,0.133706742009914,0,0,0.161542477448471,0,0.183882059332057,0,0,0,0,0,0,0.143012622577885,0.239145604760752,0,0,0,0,0,0,0,0,0,0.0892263106056766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0267843724625232,0,0,0,0,-0.0375499929930606,0,0.22142584224901,0
X601628.CH.EQUITY,0.099384460710613,0,0,-0.0111328293760701,0.0133414935363656,0,0,0,0,0,0,0,0,0,0,0,0,0.120881799045154,0,0,0,-0.130877690047644,0,0,0,0,0,0,-0.050018731548874,0,0,0.663914311150956,0,0,0,0,0,0,0.0424410980049871,0,0,0.149252120752856,0,0,0,0,0,-0.0588033543278908,0,0
X1299.HK.EQUITY,0,0,-0.0375235476002861,0,-0.172744749873868,0,0,0,0,0.059614225583724,0,0,-0.0475229556682508,0,0,0,-5.42101086242752e-20,0,0,0,0.133333682824241,-0.00131801284728509,0,0.125028052419351,0,-0.204378723325362,0,0,0,0,0.280299228106298,0,0,0.306628746509738,0,0.23921323493407,0,0,0,0,0,0,0,0,-0.0908390188633637,0,0,0,0,0.0854082072014862
X601988.CH.EQUITY,0.246546495191456,0,0.0986699336632521,0.15271677860929,0.0513572179531329,0,-0.0290782269785205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26465427549356,0,0,-0.249510214519779,0,0,0,0.0881756527544224,0,0.0976970033402331,0,0,0,0,0,0,0,0.340018306913862,0.00460430100814851,0,-0.0328969374201219,0.149114419474089,0,0,0.0513231635388449,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0.33927290564608,0,0.067219125775461,0,0,0,0,0,0,0,0,0,0.0311103576101501,0.264969143660718,0,0,0.0558274080302652,0,0,0,0,0,-0.0401178704841227,0.0814011458086508,0,-0.148110878806087,0.282173324876423,0,0,0.0490302848017078,0,0,0,0,0,0,0,0,0,0,0,0.118658739110693,0
X388.HK.EQUITY,0,0,-0.0787491074347865,-0.0962464667391176,0,-0.137120662981898,0.17515298294089,0,0,0,0,0,0,0,0,0,0,0,0,0.40857555050355,0,0,0,0.0368195670747795,0,0,0.103941521204638,0,0,0,0,0,0,0.0185341097250546,0,0.100386175079663,0,0,0,0,0,0,0,0,0,0,0,0.227330833197479,0,0
