,X601398.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X267.HK.EQUITY,X600000.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X601628.CH.EQUITY,X000001.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X2388.HK.EQUITY,X600919.CH.EQUITY,X1299.HK.EQUITY,X601229.CH.EQUITY,X002142.CH.EQUITY,X601916.CH.Equity,X2882.TT.EQUITY,X601601.CH.EQUITY,X601009.CH.EQUITY,X2891.TT.EQUITY,X11.HK.EQUITY,X2881.TT.EQUITY,X600926.CH.EQUITY,X601319.CH.EQUITY,X601077.CH.Equity,X600030.CH.EQUITY,X601336.CH.EQUITY,X5880.TT.EQUITY,X2886.TT.EQUITY,X2892.TT.EQUITY,X2880.TT.EQUITY,X2888.TT.EQUITY,X601838.CH.EQUITY,X601577.CH.EQUITY,X2884.TT.EQUITY,X2883.TT.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X2885.TT.EQUITY,X2801.TT.EQUITY
X601398.CH.EQUITY,0,0.0525868710634025,0.4192898979511,0.275352966323005,0,0,0,0,0,0,0,0,0.0621227509602281,0,0,0,0,0,0.00823280100843339,-0.0901425983013443,0,0,0,0.227681863828434,0,0.078596831105655,0,0,0,0,0,0,0,0,-0.158455611249289,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0288288103188044,0
X601939.CH.EQUITY,0.0249468385699024,0,0,0.215796185880617,0,0,0.127782545527042,0,0,0.0918556286350078,0,0,0,0.308808924232092,0.000570703305051157,0,0,0,0.0987026319471555,0,0.0706776066697088,0,0,0,0,0,0,0,0,-0.0269263085188427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.397917755218291,0.0751821476256036,0,0.0482855693500272,0,0,0.0131352122690262,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0.0219381180491508,0,0,0,0.123221606880548,0,0,0,0,0,0.137299826485175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0.0958188780042683
X601988.CH.EQUITY,0,0,0.60157861132114,0,0.000300200095947687,0.119934821726946,0,0,0,0.151230591061277,0,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0.030998794045618,0,0,0,0,0,0.188514458033569,0.000847563676083736,0,0,0,0,-0.0444916898981726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.53431634644911,0,0,0,0,0,0,0,0,0,-0.109790516870382,0,0,0,0,0,0,-0.0635858653098372,0,0.501902613731625,0,0,0,-0.10172361394615,0.313915697638365,0,0,0,0,-0.023355797597227,0.154376794259541,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0.0977041217861276,0,0,0,0.0752902385435931,0.254865181285159,0,0,0,0,0,0.122939133901975,0,0,0,0,0,0,0,0,0.16292080542068,0,0,0,0,0,0,0,0.0304281315524162,0,0,0,0.0273733907496753,0,0,0,0,0,0.0529711616092729,0,0,-0.00857727165350208,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0.0987749945275921,0,0,0,0,0,0,0,0.0780377556108094,0.136384961620312,0,0.368592741172694,0,0,0,0.0583139748170255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.070702202980365,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.108328920110964,0,0,0,0,0,0,0,0.17062646311981,0.138873909944255,0.177319694174464,0.080482224748391,0,0,0,0,0.024525539967862,0,0,0.0439215634266199,0,0.0412031315230531,0,0,0,0,0,0,0,0.0722554326844339,0.0612372641567859,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.293344849275062,0,0,0,0,0,0.161762344768357,0,0.228589788782983,0,0,0,0,0,0.120112579945365,0,0,0,0,0,0,0,0,0,0,0.0123444344122275,0,0,0,0.0364643522841418,0,0,0,0,0,0,0.201952749747403,0,0,0,0,0,0,0,0.233851996968041,0,0,0,0
X601166.CH.EQUITY,0,0.00176526759744482,0,0.0827242719360202,0,0,1.38777878078145e-17,0,0,0,0.286782962983157,0,0,0,0.167832065342296,0,0,0,0.0370261957217207,0,0,0,0,0,0,0,0,0.285107844233021,0,-0.0482209162506499,0,0,0,0,0,0,0,-0.16689473642919,0,0,0,0.109996876143086,0,0,0,0,0,0,0.092467000333341,-0.214758302211334
