,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X601818.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601066.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X002142.CH.EQUITY,X2882.TT.EQUITY,X000776.CH.EQUITY,X600999.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X601881.CH.EQUITY,X2881.TT.EQUITY,X600919.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,X601009.CH.EQUITY,X600958.CH.EQUITY,X000069.CH.EQUITY,X601901.CH.EQUITY,X600061.CH.EQUITY
X601398.CH.EQUITY,0,0.530404021122791,0,0.102024771312729,0.0283471707173125,0.0709812839809012,0.0714530984153647,0,0,0,0,0,0,0.0394907637527917,0,0.00443280035124207,0.0706750581072448,0,0,0,0,0,0,0.0114338853794636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.408361786752693,0,0,0.185134306461478,0,0,0,0,0,0.16121067614565,0,0,0.0142224850474563,0,0,0,0,0,0,0,0,0,0.0656582576724388,0,0,0.0579909686143154,0,0,0.0034447848709591,0,0,0,-5.42101086242752e-20,0,0,0,0,0,0,0,0,0,0,0.0289289147130929,0,0,0,0
X601318.CH.EQUITY,0,-3.46944695195361e-18,0,0,0,0,0.0705650273655668,0,0,0.120628804904064,0,0,0,0,0,0.260388523552557,0.00972016933967986,0,0,0,0,0,0.150574015932916,0,0,0,0,0,0.256929227055193,0,0,0,3.46944695195361e-18,0.0832361244997165,0,0.0275948594468287,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.415310973401899,0,0,0,0,0,0,0,0,0.102998994812007,0,0,0,0,0,0.119811668364941,0,0,0,0,0,0.0734860450556898,0.110793506210813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0268269838422569,0,0,0,0
X5.HK.EQUITY,0,0.372726852909622,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0.156959685515706,0.118542414060247,-0.145854583733584,0,0,0,0,0,0,0,0,0,0,0,0.217698503691722,0,0,0,0,0,0,0,0,0,0,0.472435261556105,0.0993139323159768,0,0,-0.0107296357378729,0.0748487344069302,-1.00947061610757,0,0.242622045673167,0
X601988.CH.EQUITY,0,0,0,0.126376351921258,0,0,0,0,1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,0.18689945789752,0,0,0,0.103469859318661,0,0.019394452888559,0,0,0.173697145494315,0,0.149579948244768,0,0,0,0.00275321545365238,0,0,0,0,0,0.135716577546345,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0.0796287456113212,0,-0.0660681315028241,0,0,0.0550640117171708,0,0,0.0421260549603152,0,0.279296959015216,0,-0.0526127968729536,0.0309962183447033,0.100272643824635,0.0158974023192026,0,0,0,0.408160402991037,0,0,0,0.0330454919491066,0,0.059695047585665,0,0,0,0,0,0.0703605869780341,0,0,-0.0914826903173281,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.111201467899004,0,0.226775913104255,0,0,0,0,0,0,0.196493030655981,0.0929606374532183,-0.0521218235758808,-0.118696297032446,0,0,0,0,0,0,-0.0622531208535016,0,0,0,0,0,0,0,0,0,0,0.0371088809654161,0,0,0,0.325249523726873,0,0,-0.0859524959291222,-0.178630125432164,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0.0660362383227815,0,0,0,0,0,0,0,0.182528953690962,0,0.039915720943726,0,0,-0.123661528721209,0,0,0,0,0.219013858243022,0.224454838834563,0,0,0,-0.0142459818744871,0,0.130243161830747,0.048053057089547,0,0,0,0,0,0,0,0,0,0.0529447054125993,0,0,0.0440812757379191,0,0,0,0
X601328.CH.EQUITY,0,-3.46944695195361e-18,0.154085211972977,0,0.042301384602481,0,0,0.0342737302547982,0,0,0,-0.0124277309724925,0.0527233716785358,0,0,0,0.027489407481313,0.0222538698214378,0.276440586400549,0,0,0,0.042316490639509,0,0,0,0,0,0.12964062181386,0.260067140325983,0,0,0,0,0,0,0,0,0,0,0,0.00303477823179269,0.0367156163574502,0,0,0,0,-0.0335473960658063
