,X601398.CH.EQUITY,X601288.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X267.HK.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601998.CH.EQUITY,X600000.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X601628.CH.EQUITY,X000001.CH.EQUITY,X600015.CH.EQUITY,X2388.HK.EQUITY,X601169.CH.EQUITY,X600919.CH.EQUITY,X601229.CH.EQUITY,X1299.HK.EQUITY,X002142.CH.EQUITY,X601916.CH.Equity,X601601.CH.EQUITY,X2882.TT.EQUITY,X601009.CH.EQUITY,X11.HK.EQUITY,X2891.TT.EQUITY,X2881.TT.EQUITY,X600926.CH.EQUITY,X601319.CH.EQUITY,X601077.CH.Equity,X601336.CH.EQUITY,X600030.CH.EQUITY,X5880.TT.EQUITY,X2886.TT.EQUITY,X2892.TT.EQUITY,X601838.CH.EQUITY,X2888.TT.EQUITY,X601577.CH.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2883.TT.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X2801.TT.EQUITY,X2885.TT.EQUITY
X601398.CH.EQUITY,0,0,0.738801697957102,0,-0.108252552359623,0,0,0,0,0,0,0,0.0994715128975705,0.0967823797885079,0,0,-3.46944695195361e-18,0,-0.0616220230248135,0,0.014928126676605,0,0,0,0,0,0.105806656615632,-0.203094556446315,0,0,0.079775349813941,0.0196851166912462,0,0,0,0,0,-0.137300031303761,0.115252241704699,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0.795039500995152,0,0,0,0,0,0.029831023625173,0,-0.00833531741884486,0,0,0,-2.71050543121376e-20,0,0,0,0,0,0,0,0,0,0,0,0.0353161718570834,0,0,0,0,0,0,0,0,0.0685418048085943,0.0237478779816805,0,0,0.044070746577274,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.283938411556673,0,0,0,0,0,0.152133181521113,0,0,0.0964875280378732,0,0,0.0160415553425172,0,0,0,0,0,0,0.131937621710704,0,0.214180419893349,0,0,0,0,0,0.105645381776037,0,0,0,0,0.0443273750563248,0,0.0314699342102043,0,0,0,0,0,0,0.0646854002570825,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.00163268041425089,0.0146934292743572,0.0386111555378214,0,0,0.082834864482242,0,0.0108185279422843,0,0,0,0,0,0,0,0.843165843086221,0,0,-0.0126735396361295,0,0,0,0,0,0,0,0,0,0,-0.0596378962367747,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0367492260948994,0,0
X5.HK.EQUITY,0,0,-0.237000051687925,0,0,0.066670962018956,0,0,0.613712523493279,0,0,0.00918435058315542,0,0,0,0,0,0,0.170966818220566,0,0,-0.0188458214607181,0.0656444102506276,0,0,0,0,0,0.0741854622044092,0,0,0,0,0,0,0,0,0,0,0,0.19572292594863,0,0,0,0,0.144367783400092,0,0,0.0306097583344462,0
X601658.CH.Equity,0,0,0,0,0,0,0.00318093074227804,0,0,0.643458690285207,0,0,0,-0.20699213129709,0,0.0122887345094163,0.381612203108499,0,0,0,0,0,-0.094434077333019,0,0,0,0,0.0383699439116196,0,0,0,0,0,-0.122004837083697,0,0,0,0.128399541872571,0,0.0883883368529847,0,0.0860459780042214,0,0,0,0,0,0,0,0.161505359192595
X601328.CH.EQUITY,0,0,0.147459641095712,0,-0.0954986992895862,0,0,0.243865954964632,0.142550524204086,0.0769923802880698,0,0,0,0,0,0,0,0.0211533011081165,0,0,0,0,0,0,0,0,0,0,0,0.343281753571405,0,0,0,0,0,0,0,0,0,0,-0.0217700877257928,0,0,0,0,0.0077611243607294,0.0940297918720501,0,0,0
X601318.CH.EQUITY,0,0.0387219657376446,0,0,0.0363177403413829,0,0,0,0,0,0,0.009999089745201,0,0,0,0.129277944552516,0.335763667344427,0.0453706870989046,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0.196176641635972,0,0,0,0,0.135735831849211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X267.HK.EQUITY,0,0,0,0,0.492774083634143,0,0,0,0,0,0,0,0,0.380644542429285,0.163135983410198,0,0,-0.0176657443152378,-0.291902654866751,0,0,0,0,0.0310056635371127,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0.0166810658894717,0.0556947782769332,0,0,0.0818711421642697,-0.0849343053509967,0,0,0,0,0,-0.0190664200194325,0,0
X600036.CH.EQUITY,0,0.0376759943443405,0,0.16830892298654,0,0.507917386822824,0,0,0.181501882220972,0,0,-0.0590000827499416,0,0,0,-0.0191768723452337,0,0,0,0,0,0,0,0.196041459812395,0,-0.0201394199623731,0.112098449223689,0.088737585751424,0,0,0,0,0,0,-0.0223766471528869,-0.0189585759945697,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0419053066624672
