,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601066.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,X2891.TT.EQUITY,X300059.CH.EQUITY,X601881.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X600958.CH.EQUITY,X2884.TT.EQUITY,X2892.TT.EQUITY,X601901.CH.EQUITY
X601166.CH.EQUITY,0.207889271521527,0,-3.46944695195361e-18,0.120415261372006,0,0,0,0,0,0.118051587248214,0,-0.0347503942023034,0.255466290486953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0249491602677772,0,0,0,0,0,0,0,0,0,0,0,0,0.175754553772753,0,-0.00698172439429461,0,0
X601319.CH.EQUITY,0,0,0,0,-0.0300673678456884,0,0.229041170291774,-0.383039956251181,0,0,0,0,0,0,0,0,0,0,0,0,0.456276647425297,0,0.0373859307674934,4.33680868994202e-19,0.190580990638323,0.272595645738317,0,0,0,0,-0.0418798934466841,-0.620830671784102,0,-0.00718403038403217,0,0,0,0,0,0,0,0,0,0.372132227397826,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0.11115933797924,0,0,0.268899557346966,0,0,0,0,0,0,0,0.171125010645504,0,0,0,0,0,0,-0.0138989533998406,0,0,0.207757108491131,0,0,0,-0.0466081863705159,0,0,0,0,0.146142251339167,0,0,-0.0258551986302973,0,0,0,0,0,0.185503787730695,0
X11.HK.EQUITY,0,0.463023194818844,0,0,0.341812219180592,0,0,0,0,0,0,0,-0.072136103589181,0,0,0.203433795757781,0,0.277394825301795,0,0,0,0,0,0,0,0,0,-0.191074117838264,0,0,0,0,0.232358921900468,0,0,0,0,-0.017804666586037,0,-0.158154807938519,0,0,0.0160559262458077,0,0,0.12041484319707,0,0.106104834286441
X388.HK.EQUITY,0,0,0,0,0.00237195254153281,0,0,0.497800154253708,0.186173809378155,0,0,0,0.0534266878917422,0.0194831525899931,0,0,0.194482859624267,0,0,0,0,0,0,0,0,0,0,0,0.143024555809089,0,0,0,0,0,0,0.0266306988376371,0,0,0,0.109777599257894,0,0,0.0310544739008431,0,0,0,0,0
X601601.CH.EQUITY,0.0762427309747168,0.101497478841688,0,0,0,0,0.0630853949554449,0,0.149112082573295,0,0.00159124711799619,0,0,0.117163272569546,0,0,0,0,0.101524648155483,0,0,0,0,0,0,0,0.373696104459807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2388.HK.EQUITY,0,0.0996658914607681,0,-0.239059359336663,0.174474957617648,-0.351426411891964,0,0,0,0,0,0,0,0,0.442198742140798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0666157398341511,0,0.163149647725284,0,0,0,0,0,0,0.11157084106965,0.346687297946658,0,-0.0339416254660671,0,-0.220755432643375
X267.HK.EQUITY,0,0,0,0.126242791321868,0.149934966122876,-0.352716030031879,-0.223310142276581,0,0,0,0,0,0,0,0.379644071005297,0,0,0,0,0,0,0,0,0,0,0.185074945537067,0,0,0.0861043146624692,0,-0.0682933215851636,0,0,0,0,0,0,0,0,0.0679182529397196,-0.236568839023856,0,0,0,0,0.0270419417467766,0,0.441610817507419
X600016.CH.EQUITY,0,0,0,0.164963176750382,0,0,0,0,0,0.0120212159624449,0,0,0.267115360561226,0,0,0.0944476889730475,0,0,0,0,0,0.0399542056860751,0,0,0,0,0,0,0.118441531489175,0.00782340600640651,0.0615056643005427,0.247249184612051,0,0,0,0,0,0,0,0.0618386841406993,0,0,0,0.00282647263106258,0,0,0,0
X601998.CH.EQUITY,0,0,0,0.186830042622372,0.00733014551145416,0,0,0,0.00166943101266465,0.0623376964558392,0.0556846329605511,0,0,0,0,0,0,0.0903758428180274,0,0,0.0147720261443437,0.145120522965629,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0.125266593239464,0,0,0,0,0,0
