,X601398.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X267.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X601628.CH.EQUITY,X000001.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X2388.HK.EQUITY,X1299.HK.EQUITY,X601229.CH.EQUITY,X600919.CH.EQUITY,X601916.CH.Equity,X2882.TT.EQUITY,X002142.CH.EQUITY,X601601.CH.EQUITY,X601009.CH.EQUITY,X2881.TT.EQUITY,X11.HK.EQUITY,X2891.TT.EQUITY,X600926.CH.EQUITY,X601319.CH.EQUITY,X601077.CH.Equity,X600030.CH.EQUITY,X601336.CH.EQUITY,X5880.TT.EQUITY,X2886.TT.EQUITY,X2892.TT.EQUITY,X2888.TT.EQUITY,X2883.TT.EQUITY,X2880.TT.EQUITY,X601577.CH.EQUITY,X601838.CH.EQUITY,X2884.TT.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X2885.TT.EQUITY,X600999.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0,-0.0645862074056367,0,0,0,0,-0.24436476600767,0,0,0,0,0,-0.238332588165389,-0.276180124456408,0,0,0.0947576982173115,0.0378380979443743,0.858944881742895,0,0,0,0,0,0,1.38777878078145e-17,0,0,0.211427888272392,0,0,0,0,0,0,0,0,0,0,0,0,0.119684700516048,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0,0.133230393297057,-0.269362002863411,0,0,0,0,0,0,0,0,0.0239359647134689,0.378271853881144,0,0.000616724072413961,0,0,0,0,0,0,0,0,-0.00500046210991279,0,0,0.0147328782311572,0,0,0,0,0,-0.394064192706509,0,0,0,0,-0.202243700394569,0,0,0.158281615329617,0,0,0,0,0,0.0503638680476999
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0495984756131852,0,0,0,0,0,0,0,0,0,0,0,0,0.0641358447220493,0,0,0,0.166647058265259,0,0,0.132357901710516,0,0,0,0,0,0,0,0,0,0,0,0.0453500739362291,0.127341347518362,0,0,0,0.10518154752121,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147585451190103,0,0,0,0.0281635788185631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0789472008313505,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.0421814314824817,0,0,0,0,0,0,0,0,0,0,0.151275831710226,0,0.200006603980741,0,0,0,0.000129359715851576,0,0,0.391667412770001,0,-0.0298812982170086,0,0,0,0,0,-0.0706868473072517,0,0,0.201093039571709,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0.0404045179762527,0.337043173352129,0,0,-0.22609860967862,0,-0.0181219842149416,0,0,0,-0.134199653206056,-0.545490256405359,0,0,0,0,0.217871699518966,-0.0477656905681231,0.101957876483524,0,0.109805096491156,0,0,0,0,0,0,-0.0893202901429547,0.0586554220329306,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0.0578540923428946,0,0,0,0,0.265688670877458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0648335949710284,0.010270937450049,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.014171547211904,0,0,0.306179503987076,0,0,0,0,0,0,0.0831922990306126,0,0,0,0.131028811646152,0,0,0,0,0,0,0.292362246002996,0,0.0349570465186158,0.0918679688635105,0,0,0.120118839758264,0,0,0,0,0,0,0,0.115298288450751,0,0,0,-0.134062085181589,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0.0463777805078572,0,0,0,0,0,0,0,0,0.259469395422448,0.249625500473601,0,0,0.217721572900219,0,0,0,0.0412803978243872,0,0.192113780539354,0,0.111049710744644,0,0,0,0,0,0,0,0.0135863450752532,0,0,0,0,-0.0719330453877563,0,0,0,0,0,0,0,0,0
X267.HK.EQUITY,0,0,0.0637747365740423,0,0,0,0,0,0,0,0.31097177492207,0,0,0,0,0,0,0,0,0.291731434911921,0,0,-0.390492321026687,0,0,-0.0559247911144625,0,0,0,0,0,-0.0213340206078173,0,0,0.0144936008974999,0,0,0,-0.0990185279212813,0.164277687051416,0,0.0803704911815092,0.0608996889078532,0,0,0,0,0,0,0
