,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X002142.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000776.CH.EQUITY,X300059.CH.EQUITY,X600919.CH.EQUITY,X601881.CH.EQUITY,X601009.CH.EQUITY,X600958.CH.EQUITY,X2884.TT.EQUITY,X2892.TT.EQUITY,X601901.CH.EQUITY
X601398.CH.EQUITY,0,0,0.440754023276405,0,0,0,0,0,0,0.194234018809389,0.0993288173846074,0,0,0.190754364101035,0.071116818002584,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0.0718667639597525,0,0,-0.0198378203012141,0,0,0,0,0,0,0,0,0,0,0,0.0550056949740834,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.0786436694171276,0.171810631789335,0,0,0,0,0,0.298067801116395,0.0506842413551336,0,0,0,0,0,0.132928653313866,0,0,0,0,0,0,0.120695617712812,0,0,0.105764140906516,0,0,0,0.0495712388320779,0.0376276653930151,0,0,0.0195644236393568,0,0,0,0,0,0,0,-0.0742619786464422
X601939.CH.EQUITY,0.30756502042124,0,0,0.393853770623458,0,0.0040359636014054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12187808753768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0265655506275925,0,0,0,0,0,0,0.0458891106196116,0,0,0.0848257294093037,0
X601288.CH.EQUITY,0,0,0.194762054048037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22384177233853,0.214882069910411,0,0,0,0,0,0,0.000878278689317866,0.216675616753529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00884893504622614,0,0
X5.HK.EQUITY,0,0,0,0,0,0.182879723725396,0,0.158250512060462,0,0,0.0449159235832999,0,0,0,0,0.160320689832996,0.0929328743264759,0,0,0,0,0,0,0.178388069914351,0,0,0,0,0.0431470298433177,0,0,0,0.0327074662120229,0,-0.0470811373289272,0.0543926234024926,0,0,0.40748966020416,0,0,0,0,0,0,0,0,-0.0875529768946771
X601988.CH.EQUITY,0,0,0,0,0.261869422502937,0,0,0.335434060219241,1.38777878078145e-17,-1.38777878078145e-17,0,0,0,0.134792103282251,0,0,0,-0.263192090414011,0,0,0,0.266263774529691,0,0,0,0,0,0,0,0,0.119499773258756,0.0100505284689193,0,0,0,-0.0242529965560355,0.0409236354837604,-0.0232667089738607,0,0,0,0,0,0,0,0.123843282083869,0.261934274257027,0
X600036.CH.EQUITY,0,0.142507161368529,0,0,0,0,0,0,0,0,0,0,0,-0.110575428515968,0.0445572620051517,-0.0526557989081548,0,0,0,0,0,0.642737374166498,0.0560105418143697,0,0,0,0,0,0,0,0.183565844294595,0,0.00820356726874986,-0.00734383106226513,-0.0265560917134916,0,0,0,0,0,0,0,0,0,0,0,0.121456632881543,0
X1299.HK.EQUITY,0,0.173856286603151,0,0,0.215873643565582,0,0,0,0,0.0665882194565652,0,0,0,0.268423312499985,-0.083546155462181,0,0.216137223763961,0,0,0.107070185158369,0,0,0,4.33680868994202e-19,0,0,-0.0444232612920423,0,0,0,0,0.326243745904032,-0.0987758008172783,0,0,0,0,0.107217462776874,0,0,0,0,0,-0.435459617523357,0,-0.274998049684527,0,0
X601628.CH.EQUITY,0,0.155035667199949,0,0.0123789110976507,-0.0528288064989559,0,0,0,0,0,0,0,0,-0.0139283368451549,0.21356783151796,0,0,0,0,0,0,0.0709833036577441,0,0,0,0,0.269868841312325,0,0,0.167747075774849,0.0463382225022838,0,0.0602250301507455,0,0,0,0,0,0,0.0493144474642831,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0.242183920557975,0,0.105967363271361,0,0,0,0,0,0,0,0,0.297044012263166,0,0,0,0,0,0,6.93889390390723e-18,0.33821082153061,0,0,0,0,0,0,0,0,0.0252724590580846,0,0,0,0,0,0,0.0657075011608098,0,0,0,0,0,0,0,0,0,0,0,0
