,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X300059.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X601169.CH.EQUITY,X601881.CH.EQUITY,X2881.TT.EQUITY,X600015.CH.EQUITY,X2886.TT.EQUITY,X601788.CH.EQUITY,X2891.TT.EQUITY,X601009.CH.EQUITY,X601916.CH.Equity,X601696.CH.Equity,X601236.CH.EQUITY,X2884.TT.EQUITY
X601398.CH.EQUITY,0,0,0,0,0,0.19038193352502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57515386345547,0,0,0.0614691444493399,-0.276402806018921,0.0157289323322027,0,0,-0.171698848381533,0,0,0,0,0,0,0,0.0202141992522281,0,0,0,0.166151754283614,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.206614052916574,0,0,0,-0.0296394304816755,0,0,0,0,0,0,0.124250834275303,0,0,0,0,0,0,0,0,0.0775804623240571,0.0239260207052428,0,0,0,0.247296375521974,0,0,0,0,0,0,0,0.333353406160261,0,0,0,0,0,0,0,0,0.092319011894652,0,0
X601939.CH.EQUITY,0,0,0,0.772028549054235,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,0.016616151254934,0,0.0246541667613328,0,0,0,0.0419065741252215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0844018961216435,0.0133559221456687,0,0.0880020236007103,0,0,0
X601288.CH.EQUITY,0,0,0.783036284166927,0,-0.0478988472904027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0657809680291466,0,0,0,0,0,0,0,0,0,0,0,0.0999144551473712,0,0,0,0,0,0.0558625733431426,0,0,0,0,0,0,0.0976581793262748,-0.16176246895793,0,0
X601628.CH.EQUITY,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0.129088410483362,-0.0377116688508918,0.0364934618840166,0,0,0,0,0,0,0.325483933628518,0,0,0,0,0,0,0,0,0,0,0.314095154154302,0,0,0,0,0,0,0.313897755320077,0,0,0,0,0,0,0,0,0,0,0.130625235306928,0,0
X600036.CH.EQUITY,0,0,0.350898803467971,0.0457777786279554,0,0,0,3.46944695195361e-18,0.0114196894772049,0,0,0,0,0,0,0.107676677265519,0,0,0.00956209174776244,0,0,0.208335246791482,0,0.116323776633876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.0747935771178766,-0.104407198483582,0,0,0,0,0,0,0,0,0.0633031964425844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0157828106074354,0,0,0,0.95801113583932,0.0268226570069495,0,-0.0705830333445434,-0.025610205659061,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0.378791128427392,0,0,0,0,0,0,0,0,-0.0467728860884498,0,0,0,0,0,0,0,0,0,-0.228870990603986,0.708103013298443,-0.0278344667180639,0,0,0.121772665955656,0,0,-0.0832218108669085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0234728850517759,0,0,0.0884097434000998,0,0.223652353783955
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.229642772715489,0.490086559908936,0,0,0,0,0,0,-0.02247930769091,0,0,0,0,0,0,-0.0316688821229646,0,0,0,0.0902724106644018,0,0,0,0,0,-0.164099848516097,-0.103660145539876,0,0
X388.HK.EQUITY,0,0,0,0,0.376639334345284,0,0,0,0.246117365729128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0446331043155186,0.30390101476538,-0.10938868139919,0,0,0,0,0,0,-0.0957804963949356,0,0,0.183001000888446,0,0,0,-0.291425628530572,0,0,0,0,-0.00659486143472532,0,0,0,0
