,X601398.CH.EQUITY,X601288.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X267.HK.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601998.CH.EQUITY,X600000.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X601628.CH.EQUITY,X000001.CH.EQUITY,X600015.CH.EQUITY,X2388.HK.EQUITY,X601169.CH.EQUITY,X600919.CH.EQUITY,X601229.CH.EQUITY,X1299.HK.EQUITY,X002142.CH.EQUITY,X601916.CH.Equity,X601601.CH.EQUITY,X2882.TT.EQUITY,X601009.CH.EQUITY,X2891.TT.EQUITY,X11.HK.EQUITY,X2881.TT.EQUITY,X600926.CH.EQUITY,X601319.CH.EQUITY,X601077.CH.Equity,X601336.CH.EQUITY,X600030.CH.EQUITY,X5880.TT.EQUITY,X2886.TT.EQUITY,X2892.TT.EQUITY,X601838.CH.EQUITY,X2888.TT.EQUITY,X601577.CH.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2883.TT.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X2885.TT.EQUITY,X2801.TT.EQUITY
X601398.CH.EQUITY,0,0.0526129498210956,0.674872800895328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186263122861982,0,0,0,0,-0.230891677407679,0,-0.135087005854143,0,0.058310054043011,0,0.123476366355653,0,0,0,0,-0.100210170723401,0,0.0402031931206237,0.0300700688667639,0,-0.0999024957673601,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.031996043799632,0,0.125965485187573,0.247684211740765,-0.0848920003096478,0,0,0,0,0,0,0,0,0,0,0,0.151864388187614,0,0,0,0,0,-0.273050585239949,0,0,0,-0.148786624205832,0,0,0,0,0,0,0,0,0,0,0.141792061601081,0,0,0,0,0,0,0,0,0,0,-0.0162878867964142,0
X601939.CH.EQUITY,0.286209913873309,0.277814889306339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193694639040433,0.122342154149437,-0.172049951531316,0,0,0,0,0,0,0,0,0,0,0.205910062388967,0,0,0.0942341172538245,0,0,0.0141744373686247,-0.0286109010126924,0,0,0,0,0,0.0183463953988445,0,0,0
X601988.CH.EQUITY,0.157753793150009,0.0985269399041181,0.137363890415286,0,0,0.0868279441015623,0.0469986000961993,0,-4.33680868994202e-19,0,0,0.154221114317226,0.133946403153874,0,0,0,0,0,0,0,0,0,-0.226161540230429,0,0,0,0,0.0267179761639904,0,0,0.00999929088132892,0,0,0,0,0.0461216308410567,0.0709206172974526,0,0,0,0,0,0,0,0,0,0,0.013902232741642,0,0
X5.HK.EQUITY,0,0,-0.0499626773155296,0,0,0.100093320372687,0,0,0.368407593027074,0,0,0,0,0,0.237586377541977,-0.293713192271649,0,0,0,0,-0.189835143360534,0,0.12387473646827,0,0.180411670803167,0,0,0,0,0.426543234486106,0.148989498517202,0,0,0,0,0,0,0,0,0,0,-0.0759620404179097,0,0,-0.184771778132044,0.190286736321809,0,0,0,0.089504668357782
X601658.CH.Equity,0,0,0,0.0208316280461549,0.0379186341259027,0,0,0,0,0.648240645147065,0,0,0,-0.196189583382245,0,0,0.39811136398212,0,0,0,0,0,-0.125787965493143,0,0,0,0,0,0,0,0,0.0404636772165717,0,-0.177472858696416,0,0,0,0.186943848150495,0,0.0869189265732104,0.0558235600838128,0,0,0,0,0,0,0,0.119539756722884,0
X601328.CH.EQUITY,0.251748927447797,0.137532377481769,0.0334202173558772,0.252970761024865,0,-0.0918255949688129,0,0,0.184900971676272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0905821355347096,-0.0337769220285524,0.190281138271346,0,0,0,0,0.165521558664961,0,0,0,0,0,0,0,0,0,0.129052352657786,0,0,-0.0122871455420925
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.204888817336773,0,0.115889152577468,0,0,0,0.0985590395729272,0.235891483007959,0,0,0,0,0.0624387751908821,0.262374505844099,0.0825532666522865,0,0,0.0904742677748928,0,0.0564777781613731,0,0.0160788500079974,0,0,0,0.00669389778689824,0,0,0,0,0,0,0,0,0,-0.0860259279306403,0,0,0,0,0
X267.HK.EQUITY,0.240632616822205,0,0,0.0943793228732962,0.500254487547442,0,0.0554350493038187,0,0,0,0,0,0,0,0.209721851749961,0,0,0,0,0,0,0.0691148502369131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0.270165423182015,0,0,0.185636227808924,0,0,-0.141944247310018,0,0.0361819393381792,0,0,0.44433213163877,0,0.0406896287267486,0,0,0,0,0.053734815473032,0,0,0.00449709391060979,0,0,0.00751584360717712,0,0,0,0,0,0,0,0,0,0,0,0,0.120681708124766,0,0,0,0,0,-0.0709122857793625,0
