,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600015.CH.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,X2891.TT.EQUITY,X002736.CH.EQUITY,X601916.CH.Equity,X601236.CH.EQUITY,X601881.CH.EQUITY,X601009.CH.EQUITY,X2884.TT.EQUITY,X600919.CH.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY
X601398.CH.EQUITY,0,0.390220304622129,0.0262760130765826,0.196336480401495,0,0,0,0,0.166752992530894,0,0,0,0,0,0,0,0,0,0,0,-0.0980704790569298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147758325556663,0,0.0133900796495168,0
X601939.CH.EQUITY,0.567625405123008,0,0,0.0692318351354612,0,0,-0.116259166558945,0,0,0.0142860383346284,0,0,0.417133382545694,0,0,0,0,0,-0.164506044839339,0,0,0,0,0,0,0,0,-0.00167378600138208,0,0,0,0,0,0,0,0,0,0.0755983863625852,0,-0.00463128939938205,0,0,0,0,0,-0.0212875091965958,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0.241796384291633,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216296350261882,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0765762883786399,0.153965360907893,0,0,0,0.168632524490591,0,0,0,0,0,0,0.0734248612529958,0,0,0,0,0
X601288.CH.EQUITY,0.483985786405195,0,0,0,0.201038676203846,0,0,0,0,0,0,0,0.0151525443736208,0,0,0,0.0267422753214151,0,0,0,0,0,0,0,0,0,0,0.0667107004065002,0,0,0,0,0.0503039924107443,0,0,0,0,0,0,0,0,0,0.109758390990307,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,1.38777878078145e-17,0,0.584143302184082,0,0,0,0,-0.0698486109188757,0.361181981334541,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0.105088292733225,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0.0786117752152647,-0.27703538474225,0,0,0,0,0,0,0,0.108008047681204,0,0,0,0.205951191965168,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.171186624317855,0,0,0,0.187328905725269,0,0,0,0,0.029984234053616,0.016770495453696,0,0,0.206459836014061,0.0892157267954155,0,0,0.0276236151409695,0,0,0.112688818977949,0,0,0,0,0,0,0,0,0,0,0,0.00475676679152422,0.00867606045477964,0,0,0,0.0679192225712149,0.104107864560575
X1299.HK.EQUITY,0,0,0.0920918796294604,0.0463350106063535,0,0,0,0,0.0239929848905659,0,0,0,0.164223247606732,0.219927036571098,0,0,0,0,0,0,0,0,0,0.0969645768733869,0,0,0,0,0,0,0,0,0.0586667134291881,6.93889390390723e-18,0,0,0.165762318147193,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,-0.0811898080147699,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.152782419069522,0,0,0,-0.0423728042817139,0.306824050423508,0,0,0.458147911361132,0,0,0,0,0.154726214022701,0,0,0,0,-0.332321995307579,0,0,0,0,0,0,0,0.463605591090918,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0.0847422244419274,0,0,0,0,0,0,0,0,0,0,0,0,0.226192561602555,0,0.119483126991487,0.0916244926464608,0,0,0,0,0,0,0,0,0.0190050786384816,0,0,0,0,0.147524856237195,0,0,0,0,0,0,0,0,0.00841623181334733,0,0,0,0,0,0,0,0.159490299043096
X601658.CH.Equity,0,0.0162272250440692,0,0,0.143750312073063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0130268248092024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0194441249073292,0,0,0,0,0,0,0.594415433470663,0,0.13659538988482,0,0,0,0,0.194231858000977
X601328.CH.EQUITY,0.0634116369328822,0,0,0.425753852276677,0,0,0,-0.0923027636729125,0,0,0,0,0,0.123512294163196,0,0,0,0,0,0,0,0,0,0,0.244082070624954,0,0,0.150866758474099,0,0,0,0,0,0,0,0,0,0,0,0,0.0941074655297553,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0.409942283389188,0,0,0,0,0,0,0.0634331338730048,0,0,0.0364870632799408,0,0,0,0,0,0,0,0,0.254377703424427,0,0,0,0,0,0,0,0,0,0,0,0.0331904823317763,0.0593602653424687,0,0,0,0,0,0,0,0,0,0,0.0752241523971571,0
X600000.CH.EQUITY,0,0.153205351485972,0,0,0.0808096696847584,0,0.120690291330456,0,0.0653096950849339,0,0,0.0849343007666007,0,0,0,0.0930095548502642,0,0.0813055135021091,0.0179828753390252,0,0,0,0.0582068773788296,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0301432371424845,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0
X388.HK.EQUITY,0,0,0.18368754888991,0,0,0,0.0455965672494576,-0.0104514039579688,0,0,0,0,0.148735082647004,0,0,0,0,0,0.0666320931823988,0.134447311065895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.111800251744638,0,0,0,0,0,0,0,0,0,0,0.362414617745189,0,0,0
