,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X601066.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2891.TT.EQUITY,X300059.CH.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X601916.CH.Equity,X601881.CH.EQUITY,X2884.TT.EQUITY,X600919.CH.EQUITY,X2892.TT.EQUITY,X601009.CH.EQUITY,X601236.CH.EQUITY,X5880.TT.EQUITY
X601398.CH.EQUITY,0,0,0,0.343306250132279,0.0157789591178689,0,0,0,0.15371273880957,0,0,0,0,0.0664091901756385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175493537738175,0.0770001643540186,0,0,0.0692397942417853
X601318.CH.EQUITY,0.187295492144954,0,0,0,0,0,0,0,0.212191588060444,0,0,0,3.46944695195361e-18,0,0.385316042747124,0.11353378551714,0,0,0,0,0,0,0,0.0115971995833888,0,0,0.0298996377394192,0,0,0,0,0,-0.0540845603593315,0,0,0,0,0.132914081865085,0,0,0,0,0,0.0472524612961814,0,0,0,0,0,0
X601939.CH.EQUITY,0.276740009477955,0,0,0.0478377542563604,0,0.0593704662680061,0,0,0,0,0,0,0.363540693608211,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0.178392750954386,0,0.044212997193828,0,1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.371545398653648,0,3.46944695195361e-18,0,0,0.401700517279039,0,0,0,0,0,0,0,0,0.0393750712648335,0,0,0,0.0240086314734107,0,0,0,0,0,0,0,0,0,0,0,0.0114445882996195,0,0,0.0850466104283125,0,0,0,0.00558490804228072,0,0,0,0,0,0,-1.73472347597681e-18,0,0.00514802592717787,0,0,0.0493162311721796
X5.HK.EQUITY,0,0,0,-6.93889390390723e-18,0,0.0485134025289981,0,0,0,0,6.93889390390723e-18,0,0,0,0,0.499469979504393,0,0,0.129566502227271,0,0,0,0,0.145955921993682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0205452888735641,0,0,0,0,0.129881906024143,0,0,0,0,0
X601988.CH.EQUITY,0.281257288621511,1.73472347597681e-18,0.0204028392436205,0.187153856101372,0,0,0,0,0,0,0,0,0,0,0,0.164343501876321,0,0,0,0,0,1.50150057593966e-05,0,0,0,0,0.136574629716293,0,0.140626452692465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0803539039183322,0,0,0,0
X600036.CH.EQUITY,0,0,0,4.33680868994202e-19,0,0,0,0.242905316036495,0,0.00737875103518195,0,0.261790894148577,0,0,0.21834167712194,0,0,0,0,0,0,0,0,0.0468070600424412,0,0.104580577294973,0.038349012300776,0,0,0,0,0,0,0,0,0,0,-0.0321372357340103,0,0.0767495543865078,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.202821499075408,0,0.031041845351044,0,0,-0.0270846550974227,0,0,0,0.483873786980342,0,0.0147596666811549,0.070213019738225,0,0,0,0,0,0.444933308598325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0493445925345383,0,0,-0.194625689366469
X601628.CH.EQUITY,0.328401113105582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105932742882689,0,8.67361737988404e-19,0,0.05721188001348,0.105131069908875,0.037952468435628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116114883162171,0.103424247337289,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,-0.165247474490242,0,0,0,0,0,0,-0.224835534326658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.345404251776496,0,0,0,0,0.264571884958283,0,0,0,0,-0.437985821415633,0,0.905660227531808,0,0,0.256153220232556,-0.0161040135415889,0.0918967870941061,-0.138146508166422,-0.183005434616284
