,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601066.CH.EQUITY,X600030.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X002736.CH.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600015.CH.EQUITY,X601881.CH.EQUITY,X601788.CH.EQUITY,X2891.TT.EQUITY,X601916.CH.Equity,X601009.CH.EQUITY,X2884.TT.EQUITY,X601696.CH.Equity,X601236.CH.EQUITY
X601398.CH.EQUITY,0,0,0,-6.93889390390723e-18,0,0.264899178640468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.348139774464463,0,0,-0.178369396684539,0.0960635062700199,0,0,0,0,-0.157642859936002,0,0,0,0,0,0,0,0,0,0,0.135193596313144,0,0,-0.0303328120171929,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.202469939001533,0,-1.73472347597681e-18,0,-0.0130666893361015,0,0,0,0,0,0,0,0,0.0273769271376869,0,0,0,0,0,0,0.0930877066646854,0,0,0,0,0.261998266061562,0,0,0,0,0,0.110214006857882,0,0,0.300446511674856,0,0,0,0.0397333205412413,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.770305155617142,0,0,0.0121290246361029,0,0,0,0,-0.0110891017906582,0,0,0,0.0183045602009766,0,0,0,0.023724640720855,0,0,0.0502723941415106,0,0,0,0,0,0,0,0,0,0,0,0.0117008785530175,0,0,0,0.044868282678986,0,0,0,0,0.0665040497854514,0,0.0971932704009256,0,0,0,0
X601288.CH.EQUITY,0.0351209451201674,0,0.813022889919334,0,-0.0825693563347975,0,0.0363880175483533,0,0,0,0,0,0,0,0,0,0,0,0.0132240930117104,0,0,0,0.0464573202566875,0,0,0,0.0176880206038304,0,0.100847309420189,0,0,0,0,0,0,0,-0.0163306686049105,0,0,0,0,0,0,0,0,0.108875262556776,0,0,-0.0803044142632397,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.105766950149553,0,0.226379046433202,0.193695460076342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181085769608926,-0.186478467747086,0.41180018334488,0,0,0,0,0.175677483096431,0,0,0,0,0,0,0,0,0,0,0,-0.0696023478167615,0.116037981827357,0
X600036.CH.EQUITY,0,0.0152481052335976,0.404238540198056,-1.73472347597681e-18,0,0,0,0,0.0285006608020736,-0.00538473167348189,0,0,0,0,0,0.104312673840688,0,0.000407489502206608,0,0,0,0,0.206193208030527,0,0.111211868824852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.0813575615592854,-0.0919162400488357,0,0,0,-0.0157699845552794,0,0,0,0,0.0960086800861616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011525865185873,0,0,0,0,-0.0318112676650187,0.937339295564566,0,-0.0673737709849257,0,0,0,-1.0842021724855e-19,0,0,0,0
X1299.HK.EQUITY,0,0.239197736707101,0,0,0.151790344545311,0,0,0,0.145154680559893,0.235420875247544,-0.00214085170090563,0,0,0,0,0,0,0,0,0,-0.183215715025717,0,0.53895931920426,0,0,0,0,0,0,0,0,0,-0.285919015373731,0,0,0,0,0,0,0,0.139615748397906,0,0,0,-0.117252655491445,0,0.0408588155525094,0.0976888144182716,0.288095820957977,-0.0370962085508021
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0205760249828615,0,0,0,0,0.609702360606096,0.0852796378975072,0,0,0.120299984288072,0,0,-0.00214751986928214,0,0,0,0,0,0.146476302352954,-0.222671694493451,-0.0828187568177467,0,0,0,6.93889390390723e-18,0,0,0,0.0753101880145228,0,-0.251157791553449,0,0,0
X388.HK.EQUITY,0,0,0,0,0.343247314345431,0,0,0,0.226564760870381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0384799742744576,0.00202342167677581,0.313367029402775,-0.0984227130616144,0,0,0,0,0,-0.105671968898839,0,0,0.176769403204295,0,0,0,0,-0.270646224967714,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0.222090692906714,0,0,0,0,0,0,0,0,0,0,0,0,0.214694336584307,0.00190193786467165,0.194255573020433,0,0,0,0,0,0,0.0176451822227685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0355256428765843,0,0,0,0,0
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,-0.0161365774013521,0,0,0,0.527004870456524,0,0,0,0,0,0,0,0,0,0,0.19136117438216,0,0,0,0,0.0269251694064611,0.0961352543925174,0,0,0,0.0735927307016191,0,0.016119904942391,1.38777878078145e-17,0.0492801288415349,0,0,0,0,0,0,0.00351993387934909,0,0,0,0,0.0880505644819879
