,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X601066.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X000166.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY,X601916.CH.Equity,X601881.CH.EQUITY,X2884.TT.EQUITY,X600919.CH.EQUITY,X2892.TT.EQUITY,X601009.CH.EQUITY,X5880.TT.EQUITY,X601901.CH.EQUITY
X601398.CH.EQUITY,0,0.28572694629612,0,0.274319646026219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0718493023358545,0.216599260495732,0,0
X601318.CH.EQUITY,0.300990276359446,0,0,0,0,0,0,0,0.0779847713810509,0,0,0,0,0,0.261316988794857,0,0.0608260970552685,0,0,0,0,0,0,0,0,0.067799198829903,0.110928045215584,0,0,0,0,-0.0817532426630615,0,0,0,0.0350444179432456,0,0.0810062235386627,0,0,0,0,0,0.0302031566908984,0,0,0,0,0,0.122537360529936
X601939.CH.EQUITY,0,0,0,0.336566633540711,0,0.024535770242872,0,0,0,0,0,0,0.428939276053609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0866203361622167,0,0,0,0,0,0.00630310664951886,0,0,0,0,0.0168614145261212,0,0,-3.46944695195361e-18,0,0,0,0
X601288.CH.EQUITY,0.339985169230471,0,0.0957849524843902,0,0,0.390211882056244,0,0,0,0,0,0,0,0.0092628864688147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0134133842541791,0,0,0,0.0881149736799883,0,0.0356030022697713,0,0,0,0,0,0,0,0,0.0323708011533675,3.46944695195361e-18,0,-0.0102065041399246
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.530767050349614,0,0.102697778811924,0,0,0,0,0.144484527682659,0.0620389683542537,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026510206105493,0,0,0,0,3.46944695195361e-18,0.130718956205114,0,0,0,0,0
X601988.CH.EQUITY,0.211898965461579,0,0.424305954859326,0,0,0,0,0,0.0866178787836791,0,0,6.93889390390723e-18,0,0,0,0,0.147500346360838,0,0,0,-1.38777878078145e-17,0.000549276634687269,0,0,0,0,0.0686466259477557,0,0.0586026187301167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.23889838261265,0,0.00710725821369074,0.262124407068106,0,0,0,0.212854701610848,0,0,0,0,0,0,0,0,0.0447321045243437,0,0.100507679659952,0.038651904279701,0,0,0,0,0,0,0,0,0,0,-0.0310641576993398,0.0765527842615565,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.193114857702422,0,0.01919890102978,0,0,0,0,0,0,0.482175741342158,0,0.0909841281828183,0.0157357599201457,0,0,0,0,0,0.445744544673111,0,0,0,0.0168203835909005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0584019333603434,0,-0.197595810070222,-0.00938314087251331
X601628.CH.EQUITY,0.311836382232276,0,0,0,0,0,0,0,0,0,0,2.77555756156289e-17,0,0,0,0,0,0,0,0,0.239461835512064,0,3.46944695195361e-18,0,0.0095595259518859,0,0.0727422084065027,0,0,0,0,0,0,0.0293570141537028,0,0,0,0,0,0,0,0,0,0,0.111058096655617,0.0540073383134259,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.287550360173907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112194400717321,0,0.106898102978022,0,0.503572595743024,0,0,0,0,0,-0.732688162242576,0,0,0.0193108588625641,0,0,0.011628477836595,-0.0144878683554968,0.796221324503398,-0.466120154340688,0.243963549569813
