,X601398.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X601628.CH.EQUITY,X000001.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X1299.HK.EQUITY,X2388.HK.EQUITY,X601229.CH.EQUITY,X600919.CH.EQUITY,X601916.CH.Equity,X601601.CH.EQUITY,X2882.TT.EQUITY,X002142.CH.EQUITY,X601009.CH.EQUITY,X11.HK.EQUITY,X2891.TT.EQUITY,X2881.TT.EQUITY,X601319.CH.EQUITY,X600926.CH.EQUITY,X601077.CH.Equity,X600030.CH.EQUITY,X601336.CH.EQUITY,X5880.TT.EQUITY,X2886.TT.EQUITY,X2892.TT.EQUITY,X2888.TT.EQUITY,X2880.TT.EQUITY,X2883.TT.EQUITY,X601577.CH.EQUITY,X601838.CH.EQUITY,X2884.TT.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X2885.TT.EQUITY,X601997.CH.EQUITY,X601211.CH.EQUITY
X601398.CH.EQUITY,0,0.354020473832223,0,0.0664250628837725,0,0,0,0,0,0,0,0,0.0777157691859999,0,0,0.134786260239664,0,0,0,0,0,0,0.0800284368129195,0,0.0633639875785909,0,0,0.0183606169077043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.00321892671646958,0,0.342793031527136,0,0,0,0.141433293870076,0,0,0,0,0,0.0338509706879286,0,0,0,0,-0.0407243143305132,0.00378073540859697,0.219306721247625,0,0,0.0482794536359279,0,0,0,0.12181038180272,0,0,0,0,0,0,0,0.0864055064533255,0,0,0,0,0,0,0,0,0.132080136320188,0,0,0,0,0,0
X601288.CH.EQUITY,0.522946699718996,0.198017280462714,0,0.106488635934049,0,0,0.186955077374255,0,0.0356712211761857,0,0,0,0,0,0,-0.173442253137685,0,0,0,0,0,0,0,0,0,0,0,0.099950078516702,0,0,0,0,0,0,0,-0.101947562660172,0,0,0,0.0774615700765273,-0.0799587097967714,0,-0.0132348602904368,-0.0820027396436358,0,0,0.186631285109728,0,0,0
X601988.CH.EQUITY,0.0862909815716845,0,0.612903650449253,0,0,0.0536837638523699,0.0438830488049179,0,0,0,0,0,0,0,0,0,-0.0126676574393249,0,0,0,0,0,-0.0542470655122733,0,-0.024039154676694,0,0,-0.225571524486201,0.19777192374946,0,0,0,-0.290336416711963,0.169160876629054,0,0,0,0.0930505196256624,0,0,0,0,0.269410099631931,0,-0.117759551808017,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.27796022206023,0,0,-0.0916697955680625,0,0,0.161506523255705,0,-0.0415003776043733,0,0,0,0,0,0.0771216430037311,0.12149841835567,0,0,0,0,0,0,0,0.120992683948373,0,0,0,0,0,0.092159003046228,0,0,0,-0.0312957834048153,0,0,0,-0.0948437110362867,0,0,0,0,0,0,0
X601658.CH.Equity,0.0125756324272386,0,0,0.141430270651898,0.0908729678102449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0324809683251575,0,0,0,0.236935831346752,0,0.106215848071414,0,0,0,0,0,0,0.0672464280134864,0,0,0,0,0,0,0,0,0,0,0,0,-0.122532196639892,-0.0591782563270692,0,0.337598472556744,0
X601328.CH.EQUITY,0,0,0.149018192627605,0.070712809964616,0,0,0,0,0,0,0,-0.0338886328678547,0,0,0,0,0,0,0.1814768912695,0,0,0.11443164913594,0,0,0,0,0,0.0115926282789799,0,0,0.0698564997600193,0,0,0,0,0,0,0,0,0,0,0.0314519647427422,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0.0459375829391342,0,0,-0.0653483386399705,0,0,0,0,0,0,0.071817079237107,-0.0795459854193502,0,0,0,0,0,-0.0281206096631074,0,0,0,0,0.224988458147657,0,0,0.0885713051880311,0,0,0,0,0,0,0,0,0.335080838078141,0,0,0,0,0,0,0,0,0.125822327083781,0,0.0737663524455939,0,0,0.149035460465682
X600036.CH.EQUITY,0.0498589187640786,0,0,0,0,0,0,0,0,0.20418510947323,0.113963429904667,0,8.67361737988404e-19,0,0.0579282656716958,0.264650262685392,0,0,0,0,0,0,0,0,0,0,0,0.0513694827540187,0,0,0,0.0509176838146585,0,0,0.0155295792580697,0,0,0,0,0,0,0,0,0,0,0,0.0172026316568605,0,0.218133091682616,0
X601166.CH.EQUITY,0,0,0,0,0,0.385863366322883,0,0,0.249377729841324,0,0.0656894638423373,0,0,0,0,0,0,0,0,0,-0.123185036821374,0.0659405501280401,0,0,0,0,0,0.193663184068461,0.0415002976171876,0,0,0,0.0672556989992087,0,-0.102998518734312,0,0,0,0,0,-0.0182425608227595,0,0,0,-0.046098726905209,0,0,0,0,0
