,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X600030.CH.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2886.TT.EQUITY,X2881.TT.EQUITY,X601916.CH.Equity,X601236.CH.EQUITY,X2891.TT.EQUITY,X601881.CH.EQUITY,X600919.CH.EQUITY,X601696.CH.Equity,X2884.TT.EQUITY,X601009.CH.EQUITY,X600958.CH.EQUITY
X601398.CH.EQUITY,0,0.0302550040701507,0,0.38056746924196,0,0,0.1078120958924,0,0.298207748264292,0,5.55111512312578e-17,0.123705437200951,0,0,0,0,0.0258616235610956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.30444169289121,0,0,0,0,0,0.0778908371577604,0,0,0,0,0,0.226447089376277,0,0,0,0,0,0,0.0917393217264379,0,0,0,-0.117503677166389,0,0,0,0.0126228027959566,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112261635307634,0,0.0603261587485404,0,0,0,0,0,0.167165761532609
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.289815806388767,0,0,0,0,0,0,0,0,0,0.0786774817872843,0.037392622554195,0,0,0,0,0,0,0.180810010846237,0,0,0,0,0,0.122633775868439,0.141311100999447,0,0,0,0,0,0,0,0,0.00624407526912088,0,0,0,0
X601288.CH.EQUITY,0.423753816663455,-4.33680868994202e-19,0,0,0.357623134261335,0,0,0,0,0,0.0831263061305078,0,0,0,0.0287432490623661,0,0,0,0,0,0,0,0,0,0.0177509516301228,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03839384166606,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0.154444434137758,0.242006820244543,0,0,0,0,0,0,0,0,0,0.0704332743434895,0,0.0988435450798023,0,0.0312020644246743,0,0,0,0.0519458331512891,0,0,0,0,0,0.0280961939101603,0,0,0,0,0,0,0.156062223615597,0,0.117220248508712,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0.0554407819748468,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.298310007680556,0,0,0,0,0,-0.11294685916229,0,0,0,0,0,0.0124835315206563,0.492624633554137,4.33680868994202e-19,0,0,0,0,0,-0.0923420277121228,0,0.492842508288893,-0.0123690920119131,0,0,0,0,0,0,-0.233940478166161,0,0,0,0,0.191866855988124,0,-0.180535182026765,0,0,0
X600036.CH.EQUITY,0,0,0.0262064532461015,0,0,0,0,0,0,0,0,0.248655257304163,0,0,0,0,0,0,0,0.0576475788862172,0.014031511553004,0,0,0.0942914607542439,0,0,0,0.155427410485399,0,0,0.0652034936383407,0,0,0,0,0,0,0,0,0.252799323378109,0.0407735541179903,0,0,0,0.0403544726173543,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,-0.0673677644076483,0,0,1.73472347597681e-18,0,0.175540193392414,0,0,0,0,0,0.0482335263969574,0.419800089941829,0,0,0,0,0,0,0,0,0,0,0,0,-0.0682488427125075,0,0,0,0,0,0.38561511775088,0,0,0,0,0,0,0.146829381509142,0,0
X601628.CH.EQUITY,0,0.00980833501072545,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185837475183024,0,0,0.231129357832214,0.0846864207679349,0,0,0,0,0,0,0,0,0,0.16309229513639,0,0.000572522898711096,0,0,0,0.0845321860224519,0,0,0,0,0,0,0,0.0322560860383539,0,0,0,0,0.0280626653518958,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.290172523743655,0,0,0,0,-0.312225163600765,0.22356702358445,0,0,0,0,0,0,0,0,0,0,0,0,-0.0586086372388745,0,0,0.424604398196192,0,-0.195760092941465,0.0336096142248632,0,0.596289355945734,-0.0830453956751975,0,0,0,0.0371088744090255,0,0.85085095069912,0
