,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X600918.CH.Equity,X600015.CH.EQUITY,X601881.CH.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X601009.CH.EQUITY,X601788.CH.EQUITY,X2884.TT.EQUITY,X600926.CH.EQUITY,X601901.CH.EQUITY,X600958.CH.EQUITY
X601398.CH.EQUITY,0,0,0.148523398387249,0.37950641725785,1.0842021724855e-19,0,0.0938079370946349,0,0,0,0,0,0,0,0,0,0,0.314020204603443,0,-0.0864426720230028,0,0,0,0,0.0743128753452357,0,0,0,0,0.0124495348543345,0,0,0,0.0573972713103995,0,0,0,0,6.93889390390723e-18,0.0253772614691172,0,0,0,0,0.0358781008321388,0.056910746263294,0.0316935279040847,0,0,0
X601318.CH.EQUITY,0,0,0,0,0.054213390806584,0,0,0,0.0518664235160762,0,0.00446846429159943,0,0,0,0,0,0.000988937888350121,0.0664668804594075,0.256319316004636,0.081702764460663,0.0260266825457583,0,0,0,0,0.0536615751492308,0,0,0,0.220336973025777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.0691714156312765,0,0,0.371005931051926,0,0,0,0,0,-0.0149136812277484,0.191885826895904,0,0,0,0,0,0,0,-0.146004010776445,0,0,0.264079197621891,0.319466763820948,-0.0677644866197178,0,0,0,0,0,0,0,0,0,-0.0504377132626295,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0440301857695939,0,0
X601288.CH.EQUITY,0.367570203751262,0.253804639231197,0.0831477081603019,0,0,0,0,0.0646601173799584,0,0,0,0,0,0,0,0,0.0626669175645609,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,-0.00177066895584428,0,0,0,0,0,0,0,0,0,0,0.251394756838978,0,0,0,0,0.100902619140683,0,-0.0624090915902243,0
X600036.CH.EQUITY,0,0.0177811572257623,0.0593178122932635,0,0,0.0790338242278036,0.100682399214677,0.156545148776818,0,0,0,0,0,0.248877349454369,0,0,0,0,0,0.00136612986081298,0,0,0,0,0.159123915483702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241538186845668,0,0,0,0,0
X601628.CH.EQUITY,0.119875856719194,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0771673503829563,-0.0455615740129047,0.150045308323552,0,0,0,0.148747084630855,0,0,0,-0.0896684314805937,0,0.23272161439455,0,0.055090487033295,0,0,0.540717950102928,0,0.0549904798201326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,-0.00887007422295038,-0.0592212970506916,0.132005363046644,0,0,-0.123386955649617,0,0.233268508277972,0,0,0,-0.0788175039956894,0,0,0,0,0,0,0,0,0,0.195437092774909,0,0,0,0,0,0.194163363717558,0,0,-0.0677754600624198,0.35885477550051,0,0.143415076883671,0,0,0,0,0,0,0,-0.0114234290643122,0,0,0,-0.179555116414334,0,0.221058258188127
X601988.CH.EQUITY,0.0969874312949824,0,0,0.242295385359264,0.328041306383153,0,0,0,0,0,0,-0.0537277040050473,0,0,0,-0.0636224826530035,0,0,0,0,0,0,0,0.0176300250722783,0,0,0,0,-0.0440616643224898,0.211259306054891,0,0,0,0,0,0,0,0,0,0,0.26226943488823,0,0,0,0,0,0,0.190235031427984,0.057572358037014,0
X5.HK.EQUITY,0,0.195100156150385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100775687142276,0.0543378328357173,0,0,0.241780300491302,0,0,0,0,0,0.269188622228469,0,0,-0.214525933608577,0.344575109260513,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0.0515133263798277,0,0,0
X388.HK.EQUITY,0,0,-0.201057641603763,0,-0.329583836327682,0,0.13922696298392,0,0,0,0,0,0,0.166769368212431,0,0,0,0,0,0,0.0745660005191369,0,0,0.0640028898486143,0,0,0.0321642473958019,0,0,0,0,0,0.0208998011942221,0.0847449736895361,0,0.200132110292171,-0.0882010200808212,0,0,0,0,0.280143193408369,0,0,0,0,0,0,0.30916970359341,-0.0637287460658607
