,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X600919.CH.EQUITY,X601881.CH.EQUITY,X2884.TT.EQUITY,X601009.CH.EQUITY,X601077.CH.Equity,X2892.TT.EQUITY,X5880.TT.EQUITY
X601398.CH.EQUITY,0,0,0.148464620241519,0.20772958824364,0,0.163497585285921,0,-0.0821351450627146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114617861548764,0.00100949403207893,0,0,0,0,0.00313014433492206,0,0,0,0,0,-0.0261988036481481,0,0,-0.191187437856835,0,0,0,0.188333534381148,0,0,0.0448999574373734,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.193789866969877,0,0.237533784947849,0,0,0,0,0,0,0,0,0,0.0245064078578178,-0.0996149110078168,0,0,0,-0.244589466083061,0.301066056009545,0,0.21180912159023,0,0,0,0.0991242536754965,0.128132918593335,0,0,-0.0260497310396506,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.498544847702947,0,0,0,0,0,0,0,0,0,0,0,0.059583489261466,0,0,0,0,0.0405229016183805,0.157456985287861,0,0.0195839993848858,0,0,0,0.0327634190616748,0,0,0,0.197364805586533,0,0,0,0.149425557332538,0,-0.133892490110848,0,0,0.0906797926935933,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.348486770338247,0,0.152329482694725,0,0.0990031605391149,0.0892069073476049,0,0,0,0,0,0,0,0,0,0,0,0,0.0896469980515719,0,0,0,0,0,0.125372397760268,0,0,0.0303761689058122,0.0755546286817743,0,0,0,0.0268478479359135,0,0,0,0,0,0,0,0.110941122635043,0.0480042505636802,0,0,0.0599060097858454,-0.0146941543805536,0,0
X5.HK.EQUITY,0,-0.157928137832436,0,0.217153678152889,0,0,0,0,-0.280725601565366,0,0,0,0,-0.0110407803562647,-0.0751285655939812,0.135786719546617,-0.160078266674839,0,0.0964265304718643,0,0.345666626356251,0,-0.0283521675635263,0,0,0,3.46944695195361e-18,0,0,0,0.121088030756873,0,0.253825191838975,0,0,0,0,0,-0.0604210454545127,0,0,0,0,0,0,0,0,0.341907632137608
X601988.CH.EQUITY,0,0,0.0557867844722802,0.487235917098716,0,0,0,0.114146855573144,0,0.13029690253324,0.273459787219118,0,-0.107524711690668,0,0,0,0,0.180744333044961,0,0,0,0,0,0,0,0,0,0.00637258976514213,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.117594624644429,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.363448658015898,0,0,0,0,0,0,0.0128289523956835,0,0,0.168455846682645,0.167578116421856,0.0420531484164067,0,0,0,0,0,0,0,0,0,0.0870581411208686,0,0,0.00404949157299125,0,0,0.00668925198112112,0.0987062017423316,0,0,0,0,0.0520290460516324,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0.0624282575670364,0,0,0,0,0,0.025311715799717,0,0,0,0,0.0288052067100477,0,0,0,0.337269535410456,0,0,0,0,0,0.0722682671949063,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0.0267410353541771,0.10884955282643,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.148804174441539,0,0,0.0755825620525659,0,0,-0.19883896003772,0,0.397327496384346,0.286702449276097,0,0.0893101046043007,0,0,0.00889347576946139,0,0,0.0280331365902337,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0535843404166932,0,0,0,-0.0516203509514847,0.0629895483203856,0.109075546274282,0,0,0,0
X601166.CH.EQUITY,0.192172975719986,0,0,0,0,0.0605322034332147,0,0.0445851881836075,0,0,0,0,0.135241418067255,0.342349847909393,0,0,0,0,0,0,0,0,0,0.434662378044958,0.0647706787093359,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.108608713783626,0,0,0,0,0
