,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X600030.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X2882.TT.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X601229.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X2886.TT.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X2891.TT.EQUITY,X600015.CH.EQUITY,X002736.CH.EQUITY,X601881.CH.EQUITY,X601916.CH.Equity,X2884.TT.EQUITY,X601236.CH.EQUITY,X601009.CH.EQUITY,X600919.CH.EQUITY,X2892.TT.EQUITY
X601398.CH.EQUITY,0,0.155421323396182,0,0.0358907915773236,0,0,0,0.0742386754904391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0958448161640099,0.102410286367496,0,-0.16506164631943,0.430845155506022,0,0,0,0,0,0,0,0.244021887825079,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0.0946055771640197,0,0,0
X601939.CH.EQUITY,0.0730329729266048,0,0,0.291099607963707,0,0,0,0,0,0,0,0,0,0.249427215699319,0,-0.126424181364873,0,0,0,-0.0761935861634808,0,0,0.259997696705815,0,0,0,0,0,0,0,0,0,0,-0.00867114491572358,0,0,0,0.0477720322170367,0,0,0,0.0895285060371607,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0.260673679854876,0,0,0,0,0,0,0,0,0,0,0.0204636543393155,0,0.00851121986334197,0,0.0951723969627099,0,0,0,0.00670862192606359,0.15325605239168,0,0,0,0,0,0,0.282006522838252,0,0,0,0,0,0,0,0.112106687049015,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0.49835410688383,0,0,0.178795816348067,0,0,0,0,0,0,0.130537930079658,0,0.0468272016416646,0,0,-0.0300140004622358,0,0.0710209467825214,0,0,0,0,0,0,-0.00610378425833751,0,0,0,0,0,0,0,-0.0349102478782837,0,0,0,0,-0.0558706450820575,0,0,0,0,0,0,0,0,0,0.062991952093255,0
X601988.CH.EQUITY,0,0.136224162224672,0,0.267701448874179,0,0,0,0,0,0.353170881351149,0,0,0,0,0,0.342245810663802,0,0,0,-0.16062984636781,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0835936316124192,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0644193463946379,0.150818855493859,0
X600036.CH.EQUITY,0,0.125363768725315,0,0,0,0,0.0523361436935269,0,0.235212763687102,0,0,0,0.180906229042997,0,0,0,0,0.0821012907921205,0,0.0410872065586746,0,0,0,0,0,0,0,0.213156835622047,0,0,0,0,0,0,0,0.00833838092320073,0,0.0654224573052031,-0.0264594696971016,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.349131042526585,0,0,0,0,0,0,0,0,0.222637634071395,0.0733554769394987,0,0.149582953639708,0,0,0,0,0,0,0,0,0,0,0,0.0899145456995199,0,0,0,0,0,0,0,0,0,0,0,0.0293356902542013,0,0
X5.HK.EQUITY,0,0,0,-0.0699532261580967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0179470217053337,-0.541473899026747,0.750610790885576,0,0.601167929756046,0,0,0,0,-0.082687464920828,0.0454094755373156,0,0,0,-6.93889390390723e-18,0,0.0781097055020336,0,0,0,0,0,0,0.195612359313495,0,-0.0925008493459065,0,0.138523625669451,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0.127374743563431,0,0,0,0,-0.113054237407117,0,0,0,0,0,0,0,0,0,0.382154876381842,0.0438314468066974,0,0,0,0,0,0.111769102537341,0,0,0,0,0,0,0,0,0.0215282135462557,0.260752252511494,0,0,0,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0.0853395640170188,0,0,0,0,0,0,0,0,0,0.0897181716877922,0,0,0.238665503095328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0716324493689679,0,0,0,0,0,0,0,0.194127953327435,0,0,0,0,0.0244658108619224,0,0,0.133926890582398,0,0
X388.HK.EQUITY,0,0,0.239969435320703,0,0,0,0.200017375994891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0470113921609231,0,0,0,0.149833030630184,0,0,0,0.00720046363519078,0,0,0,0,0,0,0,0,0,0,0,0.0050775831806354,0.00842362127632523,-0.120399166126735,0,0,0
X601328.CH.EQUITY,0.378826332671517,0,0,0.195159749196842,0,0,0,0,0,0,0,0,0,0,0.142609973636621,0,0,0,0.0749618276344081,-0.00275862235361911,0,0,0,0,0.102148093264537,0,0,0,0,-0.00653519119028663,0,0,0,0,0,0,0,0,0,0,0,0.081835293833426,0,0,0,0.0579078189852381,0,0,0,0
X601166.CH.EQUITY,0,0.0716066482242316,0,0,0,0.346757622147069,0,0,0,0.0486697960095972,0,0,0,0.0689622428003884,0,0,0,0,0,0,0,0,0,0,0.265348229069371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00941810060103668,0.0597187056008972,0,0,0,0,0,0,0,0.127479918181911
X600000.CH.EQUITY,0,0,0,0.139707900904485,0,0,0,0,0.104792904071989,0,0.0199861184762476,0,0.157311888932209,0,0,0,0,0.000935421409662919,0.197192928624554,0,0,0,0.0320616092750758,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168149389029005,0.00924318616640873,0,0,0,0,0,0,0,0.0233603032265664,0,0,0,0
