,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600015.CH.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,X2891.TT.EQUITY,X002736.CH.EQUITY,X601916.CH.Equity,X601236.CH.EQUITY,X601881.CH.EQUITY,X601009.CH.EQUITY,X2884.TT.EQUITY,X600919.CH.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY
X601398.CH.EQUITY,0,0.345010956383655,0,0,0,0,0,0,0.322031047151512,0,-3.46944695195361e-18,0,0,0,0,0.0676665636305982,0.00728502135198605,0,0,-0.0190605490919437,0,0,0,0,0.16537048962002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0528755336201717,0,0,0,0,0,0.00703088343060565,0
X601939.CH.EQUITY,0.542950716640087,0,0,0.0022184626856929,0,0,-0.124292557922823,0,0,0.0639385498965199,0,0,0.361858952922817,0,0,0,0,0,0,0,0,-0.029748225404707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00188192560879615,0.0635319266919181,0,-0.0187420523408592,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.238404200074524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109495505219364,0,0,0,0,0,0,0,0,0.067425246210201,0.268321327636521,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.500375419469302,0,0,0,0.186581405528957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0330292924637226,0,0.00731586519740604,0,0,0,0,0.0959164966722958,0,0,6.93889390390723e-18,0,0,0,0,0,0,0.00453822219112907,0,0,0,0,0.138851729197799,0,0
X601988.CH.EQUITY,0,0.248212411098257,0,0.158949429854264,0,0,0,0,0,0.234467951360087,0,0,0,0,0.196022978344291,0.0931568361921665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0425339441591742,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0.121231647611749,0,0,0,0,0.136601638507939,0,0,0,0,0,0,0,0,0,0.00777271661742245,0,0,0,0,0.0160290034669425,0,0,0,0,0.216876347572538,0,0,0,0,0,0,0,0,0,0,0,0,0.15319117968989,0,0,0,0.269471303241924,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.260737191786813,0,0.152250233448447,0,0,0,0,0.0134601001437467,0,0,0.13954593377559,0,0,0,0,0,0,0,0,0,0,0,0,0.262595374922432,0,0,0,0,0,0,0,0,0,0.00915814823650752,0,0,0
X5.HK.EQUITY,0,-0.0675565736333189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73441185793731,-0.724736854562377,0,0,0.780928160326329,0,0,0,0,0,0.259412160321756,0,0,0,0,0,0,0,0,0.222549380790334,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,-1.38777878078145e-17,0,0.0741568791103821,0,0,0,0,0,0,0,0,0,0,0,0,0.214323917695017,0,0,0.0154245539960217,0,0,0,0,0,0,0,0,0,0,0,0,0.104852679732096,0.258338471610518,0,0,0.059228862639838,0,0,0,0,0,0.0566020276570674,0,0,0,0,0.0497541297187963,0,0,0.087965016863114
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0593451769296875,0,0.279470882416138,0,0,0,0,0,0,0,0.0629379314378294,0,0,0,0,0,0,0,0,0,0,0,0,0.0849914584119674,0,0,0,0,0.234874154477493,0,0.164528328356996
