,X601398.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X601628.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X601601.CH.EQUITY,X600030.CH.EQUITY,X600000.CH.EQUITY,X300059.CH.EQUITY,X601328.CH.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X601818.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X600999.CH.EQUITY,X267.HK.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X601169.CH.EQUITY,X600926.CH.EQUITY,X600015.CH.EQUITY,X600918.CH.Equity,X2886.TT.EQUITY,X2891.TT.EQUITY,X601009.CH.EQUITY,X600919.CH.EQUITY,X601881.CH.EQUITY,X601901.CH.EQUITY,X2884.TT.EQUITY,X601788.CH.EQUITY
X601398.CH.EQUITY,0,0.033189315493551,0,0.267119183294919,0.0934650270354082,0.0281486156766796,0.25164460152386,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200422327786485,0,0,0,0,0,0,0.105837244134366,0,0,0,0.0776245374649555,0,0,0,0,0,0,0,0,0,0.00163343900534352,0,0,0,0,0,0.018835282883269,0,0
X601318.CH.EQUITY,0,0,0,0.12600515427284,0,0,0,0,0.164004114187949,0,0,0,0,0,0.229400072763492,0,0.0464985259670491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0295808336730447,0,0,0,0,0,0,0,0,0,0.0378201285402266,0,0.136764169562127,0,0,0.144188158879424,0,0.0143091177990569,0
X600036.CH.EQUITY,0,0,0,0,0,0.0287916605220572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0234083934619754,0,0,0.0220031428206095,0.360447269696403,0,0,0,0,0,0,0.0236130918158722,0,0,0,0,0,0,0.166378960389801,0.0852909580341308,0,0,0,0.162969624548477,0,0,0,0,0,-0.109126888530874
X601939.CH.EQUITY,0.57053465595111,0,0,0,0,0,0,0,0.235659480980448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0745011235346896,0,0,0,0,0,0.0762557127536496,0,0,-0.00863971440602268,0,0,0,0,0,0.128229425916214,0.070102039532494,-0.0039152428606927,0,0,0,2.16840434497101e-19,0.0730734699607417,0,0,0,0
X601288.CH.EQUITY,0,0.00714009204837743,0,0.258576791963073,0,0,0.426789433933998,0,0,0,0,0,0,0,0,0.124086029293144,0,0,0.00628730233654399,0,0.0470237374157787,0,0,0.0204753899435069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038390154926725,0,0,0,0.0501731201765687,-0.0166636537424542
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.33837379738452,0,0,0,0.174901036738062,0,0,0,0,0,-0.0639044240636231,0,0,0,-0.0291071114760757,0,0.153887274041871,0,0.117987350737086,0,0,0,0,0.0572895052821004,0,0,0,0,0,0,0,0,-0.104118558993003,0.26406551990753,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.547991535290249,0,0,0,0,0,0,0,-0.143198815067976,-0.0165778268148589,0,0,0,0.146562435364374,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0.217642084193309,0,0,0,0.0890052863838443,0,0,0,0.037270273586162,0,0,0,0,0,0,0,0.0132216515967281,0.127379080004193
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.0116080381873455,0,0,0,0,0.262402313411622,0,0,0,0,0.0295991229447273,0,0.0750630785942381,0,0,0.038149191072568,0.286650294274394,0.0747380418804429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0328226024007369,0.057484076625733,0,0,0.100219266312036
X5.HK.EQUITY,0,0.147837762203997,0,0.20535490819877,0,0,-0.0704171407134061,0,0,-0.0430844886440714,0,0.036202728816624,0,0,0,0,0,0,0,0,0,0.067340117999842,0.208184184719863,0,-0.016258498401685,0.278515030338912,0,0,0,0,0,0,-0.0174655835226283,0,0,0.18723901009556,0,-0.168679721187248,-0.103608833195602,-0.0500722320089284,0,0,0,0,0.196457491906811,0,-0.0597439620127124,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0.135652302679605,0,0,0,0,-0.0606844071456335,-0.205786749446514,0,0,0,0,-0.343125145301472,0,-0.224565360907573,0,0.19177881663845,0.0561249585120416,0,0,0,0,0.408385807254831,0,0,0,0,0,0.222333491835687,0,-0.0415297791852386,0,-0.0545183638146241,0,0.0495103853531431
