,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X601601.CH.EQUITY,X600030.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X300059.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X2881.TT.EQUITY,X000776.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2886.TT.EQUITY,X601881.CH.EQUITY,X2891.TT.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601901.CH.EQUITY,X2884.TT.EQUITY,X601788.CH.EQUITY,X601696.CH.Equity
X601398.CH.EQUITY,0,0,0.373556384906626,0,0.00500461400650846,0,-0.0267293200358589,0.354967386720714,0,0,0,0,0,0,0,0,-0.0125040464851095,0,0,0,0,0,0,0.160078157581754,0,1.38777878078145e-17,0,0,0,0.104239796083121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0131937101224928,0,0.0372046119175795,0,0,0
X601318.CH.EQUITY,0,0,0.136033911599104,0,0,0,0,0.0327327190190998,0.246179323843706,0,0,0,0,0.081615797645532,0.35613476912401,0,0,0,0.0342240555000023,0.0387549641924508,0,0,0,0,0,0.157455116972931,0,0,0,0,0,0,0,0,0,-0.0879786134315427,0.0378859003133865,0,0,0,0,0,0,0.0758925121261047,0,0,-0.0506658498977063,0,0,0
X601939.CH.EQUITY,0.355471216400419,0.0300989398482527,0,0,0,0,0,0.258999025605343,0.21750762748722,0,0,0,0,0,0,0.0942646946147244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.325371134563377,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0.19863742380618,0,0,0,-0.202442584520834,0,-0.0466954827252621,0.0394375297021653,0,0,0,0,0,0,0,0,0,0,0.144831991926174,0,0.117751415409833,0.11357700599726,0,0,0,0,0.0556274705179496,0,0,0,0,0,0,0,0.384387171328712,0,0,0,0.0420140650878397,0.11032882844807,0,0.0320247051909284,0,0,0
X601288.CH.EQUITY,0,0,0.154225884812678,0,0,0,0,0.442857802076931,0,-0.0266819994733647,0,0.0295579052342568,0,0.0235638300561146,0,0,0,0,0,0,0.168760578849406,0,0,0,0,0.130728053506613,0,0,0,0,0,0,0,0,0,0,0,0.00601652375769894,0,0,0.0267826759763056,0,0,0,0,0.0223508301932945,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.151010430682078,-0.10239918807882,-0.0935963953823896,-0.0568729035100205,0,0,0,0,0,0,0,0.254990899269588,0,0,0,0,-0.0805957504985751,0,0,0,0.125571070401425,0,0,0,0,0,0,0,0,0,0,0,0.265822809905032,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,-0.0542289250424151,0,0,0,0,0,0.0205382889901898,0,0,0,0,0,0,0,0.155112515901457,0,0,0,-0.10736576002014,0,0,0,0,0,0,-0.0583944919664152,0,0,0.514516088756892,0.0352584051942352,0,0,0,0,0,0,0,0,0,0,0,0,0.0431124053413733,0,-3.46944695195361e-18,0,0
X601988.CH.EQUITY,0.11965102679881,0,0,0,0.508079506554844,0,0,0,-0.0368878755540932,0,0,0,0,0,0,0.209904109901453,0.0995871444724395,0,0.044079838128851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.123359354225926,0.00841538766481084,0,0,0,0.0906039819069242,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.361682584067881,0.216186803186696,0,0,0,0,0,0,-0.0957296836705217,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0.348411100143407,0,0.169983551397161,0,0,0,0,0,0,0.0852561636001023,0,-0.158714116997412,-0.00625456617942778,0,-0.0630840535907179,-0.0271591284998835,0,0,0,-0.14683017619023,0,0,0,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0,-0.190906067783505,0,0.338194560136022,-0.0759199619502009,0,-0.0190434765648535,0,0,0,0,-0.0650562303143989,0,0,0,0.190407267083883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155176247488535,0,0,0,0.115013873482,0.149580724252342,0,0,0,0.100010675737576,-0.249040661350487,0,-0.0331236170402391,0.0886723601944545,0,0,0
