,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X600030.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X300059.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,X600918.CH.Equity,X002736.CH.EQUITY,X600015.CH.EQUITY,X601881.CH.EQUITY,X2891.TT.EQUITY,X601916.CH.Equity,X601788.CH.EQUITY,X2884.TT.EQUITY,X601009.CH.EQUITY,X601236.CH.EQUITY,X600919.CH.EQUITY
X601398.CH.EQUITY,0,0,0.0841728771369145,0,0.0237505061307756,0.0613677152073945,0,0.00732694037469316,0,0,0,0,0,0,0,0,0,0,0,0,0.355285036582655,0,0,0.0775631379525474,0,-0.15424529603387,0,0,0,-0.0516709691617984,0,0,0,0,0,0,0,0.329752929073234,0,0,0,0,0,0,0,-1.1004727028355,0,0,0,0
X601939.CH.EQUITY,0.00949853970296747,0,0,0.309481547958887,0,0,0,0,0,0,0,0.153585112622114,0.138998349608814,0,0,0,0,0.00162033455227228,0,0,0.0333274807026635,0,-0.0248470178638499,0,0.119732171891632,0,0,0,0,0,0,0,0,0.129284088937989,0,0.185271883381479,0,0,0.0625803871064455,0,0,0,0,-0.188370217875756,0,0,-0.0900208500714776,0,0.0436719398708203,0
X601318.CH.EQUITY,0,0,0,0,0,0.38126868349574,0,0,0,0,0,0,0,0,0,0.0510665809201148,0,0,0.186625386686502,0,0,0,0,0,0,0,0,0,0,0,0,0.343264716580213,0,0,0,0,0,0,0,0,0,0,0.0840511637779804,-0.00785526094913131,0,0,-0.0346510506471185,0,0,0
X601288.CH.EQUITY,0,0.306195817967534,0,0,0.22203500800677,0,0.0673177955912343,0,0,0,0,0.252386798817063,0,0.0410051454127266,0,0,0,0,0,0.14759569045989,0,0,0,0,0,0,-0.103273610173648,0,0,0,0,0,0,0,-0.0479831873064493,0,0,0,-0.00826292569635068,-0.0956873037910248,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.0902712374451409,0,0.239225063923761,0,0,0,0,0,0,0.47624338514291,0,0,0,0,0.399353102705466,0,0,-0.0642303473424004,0,0.122562752428045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0907645371302265,0,0,0,0.155559177122447,0,0
X600036.CH.EQUITY,0,0.124955112511086,0.0541056572122698,0,0,0,0.0432424211239962,0.203249010678998,0,0,0,0,0.03357931409175,0,0,0,0,0.12553153131774,0,0,0,0,0.0980040592444976,0,0,0,-0.00988142033960735,0.315256504704773,0,0,0,0,0,0,-0.0775280996465442,0,0,0,0,-0.0510756075483557,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.0690791249449065,0,0,0,0.243963534264514,0,0.0298117187993419,0,0,0,0,0,0.198949446042241,0,0,-0.04482769410051,0.185524460070136,0.219163761981971,0,0,0,0,0,0,0,0.104549799731342,0,0,0,0,0,0,0.101878477224852,0.112747329354607,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0.402128689528735,0.0205282065667643,0,0,-0.15175059640834,0,0,0,0,0,0,0,0,0,0,0,0,0.149021380698463,0,0,0,0,0,0.36231822756681,0,0.00924020709741576,0.0656870685566151,0,-0.0386731650638945,0,0,0,-0.0379214593267796,0,0.0822402349514602,0,0,0,0,-0.0569268146346534,0,0,0,0,0
X5.HK.EQUITY,0,-0.113626434392613,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062575770773861,0,0,0.0657871222925036,0,0,0.626837289677294,-0.510114677861021,0.60875123741064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214092800080448,0,0.0554426787740913,0,0,-3.46944695195361e-18,0,0,0,0,0.165327255212362,0
X388.HK.EQUITY,0,0,0.252814005997782,0,0,0,0,0,0.025121032498019,0,0,0,0.0337006675961024,0.0857718833902552,0,0,0,0,0,0.074824008718248,0,0,0.227462502533345,0,0,0,0,0,0.088356040297602,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0.00791507925791007,0,0.0225624741344609,-0.248351884690578,-0.100168582085359,-0.00268483468894333
