,X601398.CH.EQUITY,X601288.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X267.HK.EQUITY,X601166.CH.EQUITY,X601998.CH.EQUITY,X600000.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X601628.CH.EQUITY,X000001.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X2388.HK.EQUITY,X600919.CH.EQUITY,X601229.CH.EQUITY,X1299.HK.EQUITY,X002142.CH.EQUITY,X601916.CH.Equity,X601601.CH.EQUITY,X2882.TT.EQUITY,X601009.CH.EQUITY,X11.HK.EQUITY,X2891.TT.EQUITY,X2881.TT.EQUITY,X600926.CH.EQUITY,X601319.CH.EQUITY,X601077.CH.Equity,X601336.CH.EQUITY,X600030.CH.EQUITY,X5880.TT.EQUITY,X2886.TT.EQUITY,X2892.TT.EQUITY,X601838.CH.EQUITY,X601577.CH.EQUITY,X2888.TT.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2883.TT.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X2801.TT.EQUITY,X601997.CH.EQUITY
X601398.CH.EQUITY,0,0.0770340269680701,0,0,0,0.230537713173315,0.772961259113226,0,0,0,-0.010900958619073,0,0.0852177595714571,0,0,0,0,0,0,0,0,0,0,-0.177697739261101,0,0,0,-0.0706940893357378,0,0,0,0,0,0,0,0,0,-0.137930413288554,0,0,0,0,0,-0.055088500712794,0,0,0,0,0.114348512594511,0
X601288.CH.EQUITY,0,0,0,0.483126219257173,-0.053441610213122,0,0,0,0.0545262166232228,0,0,0,0,0,0,0.107755805135856,0,0,0.301755914429626,0,0,0,-0.0241595396985403,0,0,0,-0.0145321008112835,0.0139466053976228,0,0,0,0,0,-0.0451065533787547,0,0,0,0.17389752239738,0,0,0,0,0,0,0,0,0,0,0.000253136015168602,0
X601939.CH.EQUITY,0.0640265242113001,0,0,0,0,0,0,0,0.0588426791682038,0,0,0,-1.73472347597681e-18,-0.0044763908536392,0,0,0,0,0,0.0473629166414238,0,0.870847189718587,0,0,0,0,0,0,0,0,0,0.0733632749185195,0,0,0,0,0,0,0,0,0,0,0,0.0363531470555276,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0.0808267489418863,0.0246418648621533,0.0118309415431298,0,0.0121994230427901,0,0,0,0,0,0,0.87154847551145,0,-0.00573406554827903,0,0,0,0,0,0,0,0,0.00762672280130098,0,0,-0.00800950363463113,0,0,0,0,0,0,0,-0.0252572947843429,0,0,0,0,0,0,0,0,-0.0301000868995248
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.521936221629095,0,0,0,0,0,-0.290564954266155,0,0,0,0,0,0,0.142826159169151,0,0,0,0,0,0.407543688396523,0,0,0,0,0,0,0,0,0.157948590081289,0,0,0,0,0,0,0,0.221366966713992,0,0,0,0
X601658.CH.Equity,0.404805817102568,0,0,0,-0.198357422808812,0,0,0,0.127412515187848,0,0,0,0,0,0.0968340827462345,0,0.130415986350998,0,0,0,0,0,0,0.10500473179387,0,0,0,0.13146108253643,0,0.262305418371725,-0.11466538515769,0,-0.107159096169979,0,0,0,0.0213038324640003,0,0,0.236814865168546,0,0,0,0,0,0,-0.154803046095202,0,0,0
X601328.CH.EQUITY,0.956516793799031,-0.00511703495881018,0,0,-0.0717232987175012,0,0,0,-0.0517266499319021,0,0,0,0,0,0,0,0,0,-0.133684902982982,0,0,0,0,-0.0569424849367388,0,0,0,0,0,0.0571579434239673,0,0,0,0,0,0,0,0,0.054480170713341,-0.0373132614949368,0,0,0,0,0,0.0157010906234495,0.044268570745141,0,0,0
X601318.CH.EQUITY,0,0.0508545577714529,0,0,0.055179975540017,0,0,0,0,0,0,0.000332747526172034,0,0,0,0.10599838167097,0.446958904080974,0,0,0,0,0,0.0295031164203222,0,0.0211663037844067,0,0.00638576696030966,0,0,0.14658967130651,0,0,0,0,0.105364090010829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.242666291741188,0,0,0,0.0383570077885249,0,0,0,0,0,0,0,0,0,0,0.149773320931706,0.112373761495208,0.0255177068535316,0,0,0,0,0.093958262568798,0,0,0,0.195248717764398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X267.HK.EQUITY,0,-0.00286333256997778,0,0,0.58295795703996,0,0,0,-1.73472347597681e-18,0,0,0,0,0.374801389390033,0.00706036410472567,0,0.0651131877795449,0,0,-0.250113376628001,0,0,0,0.094099914979446,0,0,0,0,0,0,0,0,-0.16326962413177,0,0,0,0.069701481605605,0,0,0,0,0,0,0,0,0,0,0,0,0
