,X601398.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X267.HK.EQUITY,X600000.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X601628.CH.EQUITY,X000001.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X2388.HK.EQUITY,X600919.CH.EQUITY,X601229.CH.EQUITY,X1299.HK.EQUITY,X002142.CH.EQUITY,X601916.CH.Equity,X2882.TT.EQUITY,X601601.CH.EQUITY,X601009.CH.EQUITY,X11.HK.EQUITY,X2891.TT.EQUITY,X2881.TT.EQUITY,X600926.CH.EQUITY,X601319.CH.EQUITY,X601077.CH.Equity,X600030.CH.EQUITY,X601336.CH.EQUITY,X5880.TT.EQUITY,X2886.TT.EQUITY,X2892.TT.EQUITY,X601838.CH.EQUITY,X2888.TT.EQUITY,X2880.TT.EQUITY,X601577.CH.EQUITY,X2884.TT.EQUITY,X2883.TT.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X2885.TT.EQUITY,X2801.TT.EQUITY
X601398.CH.EQUITY,0,0.235284312104658,0.34856420501635,0.237590841638739,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104706765007971,-0.00947812565389404,0,0,0,-6.93889390390723e-18,0,0.0719554130350618,0,0,0,0,0,0,0,0,-0.146220823855127,0,0,0,0,0,0,0,0,0.064322016104182,0,0,0,0,0.0749919865013373,0
X601939.CH.EQUITY,0,0,0,0.176616514125577,0,0,0.0496593524459119,0,0,0.10703954308421,0,0,0,0.257907258325559,0.101808870431364,0,0,0,0,0,0.0929038028162347,0,0,0,0,0,0,0,-0.0157926328058954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.372845837380633,0.219600142175249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0.0573748193186829,0,0.0750670616165622,-0.0431212965575079,0,0.081505047345629,0,0,0,0,0,0.076493622056721,0,0,0,0,0,0,0,0.0217480028606067,0,0,0,0,0,0,0,0,0,0.0625792310816967
X601988.CH.EQUITY,0.0687914099760403,0,0.446389050431651,0,0.0923600657344957,0.154338416996105,0.052650777686016,0,0,0.080464806074259,0,0,0,0,0,0,0,0,0,0,0.172902415996967,0,0,0,0,0,0,0.127786901921079,0,0.0995726859384856,0,0,0,-0.144411361594875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0.0191087605843839,0,0,0,0,0,0,0,0.323288044211018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.127577458411529,0.693235120750348,0,0,0,0,0,0.238052303273914,0,-0.166027612048294,0,0,0,0.172344799868356,0,0,0,0.0553004982628082,0,0,0,0,0
X601658.CH.Equity,0,0,0.120687815012531,0.0862654531750143,0,0,0,0.036382489242045,0.178621511552047,0,0,0,0,0.0604466288417614,0,0,0,0.0851348848580714,0,0.0303423759314174,0,0,0,0.158069681907622,0,0,0,0.109052039274258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.25395052423438,0.086110531679633,0,0.19807085035842,0,0,0,0.243257652694796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00045756083727948,0,0,0,-0.0434079131127365,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.042551968691995,0,0,0,0,0,0,0,0,0.152581662541055,0.0260865019305567,0.162588046983799,0,0,0,0,0,0,0,0.151836541675657,0,0.161148846218777,0,0,0,0,0,0.142242753841738,0,0,0.0339580555031273,0,0,0,0,0,0,0,0,0,0,0.053356424400536,0,0,0
X600036.CH.EQUITY,0,0.0420615861268029,0,0,0,0,0,0.237742728365623,0,0.233533330886841,0,0,0,0,0,0.11143945548105,0,0,0,0,0.131182808054506,-2.77555756156289e-17,0,0,0,0,0.0112084003783079,0,0,0,0,0,0.254233203221304,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0.205365801120383,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,3.46944695195361e-18,0,0.00991060027396438,0,0.176373893854835,0.175334751222346,0,0,0,0,0.100578002830868,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0.434594155931013,0,0,0,0,0,0,0,0,0,-0.0665790688182403,0,0.118206387421439,0,0,0,0,0,0,0,0,0.0619372794785929,-0.249757541782013
