,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X300059.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X002142.CH.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X601881.CH.EQUITY,X600015.CH.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X601901.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601788.CH.EQUITY,X601696.CH.Equity,X600958.CH.EQUITY
X601398.CH.EQUITY,0,0,0.224166372500023,0.0292615316700707,0.0912143683116346,0,0,0.403967391203582,0,0,0.0277889091987136,0.10308095685383,0,0,0,0,0,0,0,0,0,-0.00754896396866563,0.0782241360394118,0,0,0,0.0265823135454217,0,0,0,0,0.0765443438109902,0,0,0,0,0,0,-0.00290388817470326,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0.234457472923938,0,0,0,0,0,0.0525385365725199,0,0.0411391801024387,0,0.013121884331779,0,0.214637856626681,0,0,0,0,0.086616058729713,0,0,0,0,0,0.178511758172221,0,0,0,0,0,0,0,0,0,0.106793299896869,0,0,0,0,0,0,0,0.0566825466632727,0,0,0,0,0,0
X601939.CH.EQUITY,0.361887674653401,0.0295094805993188,0,0,0,0,0,0.243300572525956,0.210344309771605,0,0,0,0,0,0,0.100588676512933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00376433423322465,0,0,0,0,0,0,0.367804791794626,0,0,0
X601288.CH.EQUITY,0,0,0.103938376884891,0,0,0,0.0201643597142435,0.436344187738794,0,0,0,0.0393782589204416,0,0,0,0,0,0,0,0,0.0699087814237174,0,0,0,0,0.169643776605368,0,0,0,0,0,0,0,0,0,0,0,0,0.000358607875075782,0,0,0.0352320772002548,0,0,0,0,0.057022796247058,0,0,0
X600036.CH.EQUITY,0,0.131506802376428,0,0,0,0.130931965999674,0,0,0,-0.0759766878220718,0,-0.0904175496213534,0,0,0,0,0,0,0,0,0,0,0.105207472463841,0,0,0.0393976118936285,0,0,0,0,0.0424426619969927,0.0131296643553435,0,0,0,0,0,0,0,0.445649626788951,0,0,0,0.124332180668763,0.0860540759123335,0.2190318511772,0,0,0,0
X1299.HK.EQUITY,0,0,-0.0475231566299386,-0.122308384961545,0.128051077451331,0,0.0920335159240395,0,0,0.279512054223156,-0.0682201965494844,-0.0435061937444243,0,0,0,0,0,0,0,0,0.271110124524449,0.019075746151274,0,0.13553767413434,0,-0.266539618177453,0,0,0,0,0,0.0540967532236156,0,6.93889390390723e-18,0,0,0,0,0,0,0,-0.0255478664755296,0.312444565397472,0.065124457181866,0,-0.0179800412691891,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,-0.0824011553439902,0,0,0,0,0.111939088168908,0,0,0,0,0,0,0,0,0.193132819948779,0,0,0,0,0,-0.0474749875653272,0,0,0,-0.096638256624095,0,0.603965834367379,0,0,0.0339944466092467,0,0,0,0,0,0,0,0,0.0419447405716683,0,0,0,0.117256265529046,0,0,0
X601988.CH.EQUITY,0,0,0.0706557287461866,0.45433420245985,0,0,0,0,-0.0912204569980245,0,0,0,0,0,0,0.283062126855028,0,0,0,0,0,0,0.0779011166461472,0,0.0384055344067907,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.218443959022951,0.130739868246681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0.454991916957355,0.169384544641774,0,-0.00792835926446511,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0.232787109088135,0,0,0,0,0,0,0,0,0,-0.0855150618955946,0
X388.HK.EQUITY,0,0,0,0,-0.219508050938432,0.338239275330372,-0.0777526599833605,0,0,0,0.0335499889378914,0,0,0,-0.0789568157425976,0,0,0,0.230730887643746,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188356466429698,0,0,0,0.130963059432874,0,0.127596699227515,0,0.0941836591898102,0,0,-0.2803798629716,0.0727793426730531,0,0,0,0,0
