,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X601229.CH.EQUITY,X600837.CH.EQUITY,X601066.CH.EQUITY,X002142.CH.EQUITY,X601169.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,X300059.CH.EQUITY,X2891.TT.EQUITY,X000776.CH.EQUITY,X601881.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X2884.TT.EQUITY,X600958.CH.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.39104832027568,0,0,0,0,0.182460300665179,-0.415603789635171,-0.0863427129380654,0,0,-0.0529636056731646,0.141995992729061,0,0,0.857244882176759,0,-0.324921212732102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0293884030872761,0,0,0.0902255509405811,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.125565847733873,0.206904135712739,0.0236635792284909,0,0,0,0.0880916049520626,0,0,0.0642778495819754,0,0,0,0,0,0,0,0.192079626936443,0,0.198877966233412,0,0,0.0823708813367265,0,0,0.0436236240720263,0,0,0,0,-0.0420580790954163,0,0,0,0,0.119561511918201,0,0,0,0,0.00958560633946627
X601939.CH.EQUITY,0.48474292921118,-0.0758180963916682,0,0,0,0,0,0,0,0.0104477680128808,0,0,0,0,0,0.00133530312322365,0,0,0.0841463903773962,0,0,0,0,-0.0864311821310075,0,-0.204259283449413,0.0353323864920336,0,0,0.494393062163034,0,0,0,0,0,0,0,0,0,0,0,0.223000101071036,0,0,0,0,0,0
X601288.CH.EQUITY,0,-0.204753157770513,0,0,0,0.297931184740248,0,0,0,0.0382126047198212,0.667475741794705,0,0,0,-0.364097248167906,0,0,-0.0183145080230144,0,0,0,0,0,-0.610414050281621,0,0,0,0,0,0,0,0,0,0.573196241283751,0,0.162464066603033,0,0,0,0,0,-0.116043236207121,0,0,0,0,-0.446354302123687,0
X5.HK.EQUITY,0,0,0,0,0,0.132244899668888,0,0.11973438605687,0,0,0,0.0273356256503182,-0.0474850475099094,0,0.168311142515743,0,0.129444744927446,-0.0810336505267989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135663249438859,0,0.00329726261301859,0,0.143609284318186,0,0.130150022554346,0,0,0,0,0,0,0,0,0.10384179682233
X601988.CH.EQUITY,-0.201759642218699,0,0,0,0.472247782974413,0,0,0,0,0,0,0,0,0,0,0,0,-0.217515004613691,0,0,0,0.377914623346537,-0.220789595032178,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0.189129481900436,0,-0.0711176633280306,0,0,0,0,0,-0.0437336770979952,0,0.0346015639052027,0,0.306891038750591,0
X600036.CH.EQUITY,0,0.0695001282219313,-0.0555210060555326,0,0,0,0,0,0,0.340586660420583,0,0.237141703725997,0.155768369366605,0.121652680376421,0.151365172706801,0,0,0,0,0,0,0,0.112772500599729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0274440956393808,0.301866856739513,0,0,0,0,0.115824619974969
X1299.HK.EQUITY,0,0.0384277106769104,0,0,0.444224565032402,0,0,0,0.0635442491281694,0,0,-0.0128782913379132,0,0,0.0386865819634651,0,0.227396844712855,0,0,0,0,0,0,0,0,0,-0.0296437131812701,0,0,0,0,-0.0306115165300646,0,0,0.065859219894903,0,-0.0475401200796163,0,0,0,0,0,0,0,0,0,0,-0.147455169171938
X601628.CH.EQUITY,0,0.243779546558608,0,0.0484239927705867,0,0,0,0,0,0,0,0,0,0.236979876785522,-0.155413661996394,0,0,0,0,0,0,0,0,0,0.0734167475792018,0.0357996643551205,0,0.138338739103922,0,0,0.217010383168901,0.144859712748329,0,0,0,0,0,0,0,0.0210916750087009,0.0696238348408612,0,0,0,-0.00172438486119801,0,0,0
X601328.CH.EQUITY,0,0.385547526662688,0.0789181612514399,0,0,0,0.528557055872623,0,0,0,0,0,0,0,0,0,0,0.175520434275701,0,0,0.090364484129144,0,0,0,0,0,0,0,0,0,0,-0.136120453725789,0.00946047714054117,0,-0.55070113176202,0,0,-0.200353525520674,0,0,0,0,-0.0843880518388863,0,0.289077944670704,0,0,0
X601166.CH.EQUITY,0.0203550776178646,0,0,0.248833454573669,0,0,0,0,0,0,0,0.326700830096367,0,0,0,0.00725957561494211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10600635765898,0.197937600928609,0,0,0,0
