,X601398.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X601628.CH.EQUITY,X000001.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X1299.HK.EQUITY,X2388.HK.EQUITY,X601229.CH.EQUITY,X600919.CH.EQUITY,X601916.CH.Equity,X2882.TT.EQUITY,X601601.CH.EQUITY,X002142.CH.EQUITY,X601009.CH.EQUITY,X11.HK.EQUITY,X2881.TT.EQUITY,X2891.TT.EQUITY,X601319.CH.EQUITY,X600926.CH.EQUITY,X601077.CH.Equity,X600030.CH.EQUITY,X601336.CH.EQUITY,X5880.TT.EQUITY,X2886.TT.EQUITY,X2892.TT.EQUITY,X2888.TT.EQUITY,X2880.TT.EQUITY,X2883.TT.EQUITY,X601577.CH.EQUITY,X601838.CH.EQUITY,X2884.TT.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X2885.TT.EQUITY,X601997.CH.EQUITY
X601398.CH.EQUITY,0,0.357931583220784,0,0.0190199800922222,0,-1.73472347597681e-18,0,0.00450573306365286,0,0,0,0,0.0717926766055355,0,0.0421187482794518,0.0777398774980598,0,0,0,0,0,0,0,0.00194309586929515,0,0.0440088916289598,0,0,0,0,0,0.0613188950845535,0,0,0,0,0,0,0,0,0,0,0,0.0536376813717388,0,0,0,0,0,0
X601939.CH.EQUITY,0.159160352300364,0,0.400399560556363,0,0,0.0461066135728265,0.0697458298597367,0,0,0,0,0,0,0,0,0.114807273246895,0,-0.134649646515899,0.158918339547757,0.238359621941596,0,0,-0.0100556286028336,0,0,0,0.140518014506995,0,0,0,0,0,0,0,0.0412936961205694,0,0,0,0,0,0,0,0,0,-0.0260572979618421,0,0,-0.0589152633831022,0,0
X601288.CH.EQUITY,0.735363901031276,0.0543369791256876,0,0.112937328360005,0,0,0.0865761427646676,0,0,0,0.0874533451934819,-0.0562106210689135,0,0,0,-0.282274203250721,0,0,0,0,0,0,0,0,0,-0.0674278864876198,0,0,0,0.0218643199483171,0,0,0,0,0,0,0,0,0,0,-0.0790603454022922,-0.00391718741789782,0,0,0,0,0.18469258090115,0,0,0
X601988.CH.EQUITY,0,0,0.375740602034759,0,0,0,0.186270791802738,0,0,0,0.033936350424432,0,0,0,0,0,0,0,0,0,0,0,-0.0526208766384356,0,-0.136513307571514,0,0,0,0.0958170756274066,0,0,0,0,0.29415438814322,-0.00844763591804842,0,0,0,0,0,0,0,0,0,-0.0189972604914689,0,0,0,0,0.00511796126532419
X5.HK.EQUITY,0,0,0,0,0,0.292396657651363,0,0,-0.0618195709862525,0,0,0,0,-0.04604462702453,0,0,0,0,0,0.10128587475916,0.148745811223364,0,0,0,0,0,0,0,0.167772612648855,0,0,0,-0.0164263265309553,0,0.0675851040806866,0.0168214341957601,0,0,-0.014004413601482,0,0,0,-0.177680179726192,0,0,0,0,0,0,0
X601658.CH.Equity,0.159975926730081,0,0,0,0.0676454230237486,0,0,-0.0425339929217156,0,0.210383541502025,0,0,0,0,0,0.0630778187986742,0,0,0,0,0,0.122728771154897,0,0.0516640702938694,0,0,0,0.20289275509942,0,0,0,-0.0970758351102439,0,0,0.0120824413440368,0,0,0,0,0,0,0,0,0.0182215006910553,-0.0632119866731105,0,0,0,0,0.287483043968305
X601328.CH.EQUITY,0,0,0.152996467836015,0.164224592466896,0,0,0,0,0,0,0,0,0.174821421859856,0,0,0.0743757140174876,0,0,0,0,0,0.0960271995628176,0,0,0,0,0,0.0604847956730442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18263354790729,0.00644290123257541,0
X601318.CH.EQUITY,0.103119671298847,0.119508134180712,0.0375001351727895,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,-0.00632221991951363,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.159465815489866,0.0592986874659782,0,0,0,0,0,0.493441224679727,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0240374761937502
X600036.CH.EQUITY,0.00948484670433566,0.0416502232979415,0,0,0,0,0,0,0,0.10073653458301,0,0,0,0,0.183850989882216,0.341697009568008,0,0,0.0166771990004314,0,0,0,0,0,0,0,0.204438899918404,0,0,0,0,0.0183735360925058,0,0,0,0,0,0,0,0,0,0,0,0.0182154148333687,0,0,0.0258287579767564,0,0.0108290525624303,0.0333132664193866
X601166.CH.EQUITY,0,0,0,0,0,0.257937234778315,0,-0.050003989685483,0.376178218578812,0,0.0366251305380822,0,0,0,0,0,0.122138881254059,0,0,0,0,0,-0.00634573619804923,0,0,0,0,-1.0842021724855e-19,0,-0.0176362545643545,0,0,0.394577491227936,0,-0.0520774367522717,0,0,0,0,0,-0.251764777320784,0,0,0,0,-0.0101264751991873,0,0,0,0
