,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X11.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X267.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X300059.CH.EQUITY,X600919.CH.EQUITY,X601881.CH.EQUITY,X601009.CH.EQUITY,X600958.CH.EQUITY,X2884.TT.EQUITY,X2892.TT.EQUITY,X601901.CH.EQUITY
X601398.CH.EQUITY,0,0,0.623728622038604,0,0.00995892791125624,0,0,0,0,0,0,0.0752433039699654,0,0,0,0.130746639880454,0,0,0,0,0,0,0,0,0,0,0,0.0837465660066877,0,0,0,0.0243949993946561,0,0,0,0,0.0395758345777071,0,0,0,0,0,0,0,-0.0397170073009017,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.144122573551708,0,0.0556077901205947,0.000857891890816574,0,0,0,0,0.0685287406659024,0.247866972569197,0,0,0,0,0,0,0.0631050656968258,0,0,0,0,0.14398084882853,0,0,0.054175968793867,0,0,0,0,0,0,0.175871007504244,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.217824264271448,0,0,0.491671639929946,0,0.0294777648016215,0,0,0,0,0.118785552494197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0292586294708471,0,0,0,0,0,0,0.0066143745843065,0.0398997416285069,0,0,0,0,0,0.0249448088397149,0,0,0.0518245459056376,0
X601288.CH.EQUITY,0,0,0.374258784702574,0,-0.0137237819868315,0.139488054488756,0,0,0,0.193859425471444,0,0,0,0,0,0.0723117654896873,0,0,0,0,0,0.171494126421154,0.0121417184750819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.050194477807127,0,0,0,0,0.0255806927452912
X5.HK.EQUITY,0,0,0,0,0,0.198446386450727,0,0,0,0,0.191233879603918,-0.0228489726884748,0.144405205108108,0,0.149684314938094,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0.0115513540086991,0,0,0,0,0,0,0,0,0,0,0,0,0.143807436498918,0,0,0.330393023679637,0.0485493327350602,-0.835823058766946,0.257035902328,0,0
X601988.CH.EQUITY,0.115036148944929,0,0.126651019541017,0,0.0259514079875969,0,0,0,0.167845455450713,0,0,0.0876209109359049,0.152621124604036,0,0,0,0,0,0,0.382686544907706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.027898937903148,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,-0.034696009945392,0,0,0,0,0,3.46944695195361e-18,0,0,0,-0.035654286275793,0.00431991029903735,0,0,0,0,0,0.724040909225612,0.117949832113143,0,0,0,0,0,0,0,0,0.135876561923416,0.0315783846443139,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0116296367195313,0
X1299.HK.EQUITY,0,0.324836198867057,0,0,0.223887065459967,0,0,0,0,0,0,0.296354956010678,0.172611226170234,0,0,-0.189615157145253,0,0.193811625811925,0,0,0,0,0,0.0548021898329907,0,0,-0.0639768775182027,0,0,0,0,0,-0.211738250690679,0,0,0,0,0,0,0.029714672382677,0,0,0,-0.119569032674585,0,0,0,0
X601628.CH.EQUITY,0,0.215115040611806,0,0,0,0,0.0308198581985367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0505216459533723,0,0,0,0,0.404381077121482,0,0.232085800015961,0,0,0.0295635704792853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0.0547277131910469,0.126770536547488,0,0,0,0.102868195345134,0,0,0,0.05571092780319,0,0.145301283655417,-0.039067256927546,0,0,0,0,0.313368823409668,0,0,0,0,0,0,0,0.00887523075312079,0.236700997948893,0,0,0,0,0.0300779077226513,0,0,0,0.0251796489103108,0,0,0.00824877504312587,0,0,0,0,0,0,0.0385101820858953,0
