,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601319.CH.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X601818.CH.EQUITY,X601211.CH.EQUITY,X601066.CH.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600837.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X002142.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,X600919.CH.EQUITY,X601881.CH.EQUITY,X300059.CH.EQUITY,X601009.CH.EQUITY,X600958.CH.EQUITY,X000069.CH.EQUITY,X2884.TT.EQUITY,X2892.TT.EQUITY
X601398.CH.EQUITY,0,0.670377995887687,0,0,0,0,0,0.0294181271237794,0,0,0,0,0.0829509246297698,0,0,0,0.0604895131069327,0,0,0,0,0,0,0,-0.00679470048866484,0,0,0.0834744541212159,0,0,0,0,-0.000530271196468636,0,0.00339815245606623,0,0,0,0,0,0,0,0,0,-0.0304600595425591,0,0,0
X601939.CH.EQUITY,0.187288861843338,0,0.0488771747260031,0.358734943555339,0,0.052810338296914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157893429925479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114223002653457,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.00881119158119734,0.140456763346052,0,0,0,0,0,0,0.225116585169631,0,0,0,0,0.0609994966685715,0.146455015817398,2.16840434497101e-19,0,0,0,0.0800980243048672,0,0.0110664170309302,0.073427113689237,0,0.161401764113372,0,0,0.105566019164383,0,0,0,-0.0236796873886067,0,0,0,0,0,0,0.0243438108130749,0
X601288.CH.EQUITY,0.00401219495107888,0.355156825298684,0,0,0,0,0,0,0,0.22629773768477,0,0,0,0,0,0,0,0,0,0,0,0.19088240502775,0,0,0,0,0,0,0,0,0,0,0.0956802002660434,0,0,0,0,0,0,0,0,-0.0164728004284394,0,0,0,0,0.0351963445043195,0
X5.HK.EQUITY,0,0,0,0,0,0.489850000620739,0.204154673599985,0,0,0.0879594809176106,0,0,0,0.224913586156051,0,-0.282497775868146,-0.280021548133531,0,0,0,0,0,0,0,0,0.227131796984707,0,0,0,0.125500970979465,0,0,0,0,0,0,0,0.0394449277341178,0,0,0,0.0113358074423979,0,0.207854857453002,-0.778264134943566,0,0.288439162547455,0
X601988.CH.EQUITY,0.12857320493118,0.128763599510915,0,0,0.0314146553735309,0,0,0,0.143170995123713,0,0,0.142408184526207,0.068298726769446,0,0,0,0.0684363274877407,0,0,0.414729975423895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.111772813438226,0,0,0.271283005616504,0,0,0,0,0.169157568278993,0,0,-0.135527264852744,-0.0344424162150629,0,0,0,0,0,0,0,0,-0.0571087862738536,0,0,0,0,0,0,0,0,0,0,0,0,-0.024338391536009,-0.206441902217178,0,0.36630350952153,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0.0303770177288206,0,-0.13434984835598,0,0,0,0,0,0,0,-0.0503695274963534,0,0,0,0,0,0,0,0,0.840601402261882,0.0239559490659741,0,0,0,0,0,0,0,0.0363453315942768,0.141619885318362,0,0,0,0,0,0,0.0195183583499976,0,0,0,0,6.93889390390723e-18,0,0,0,0.0796972477208589
X601628.CH.EQUITY,0,0,0.189269008025363,0.062054965023795,0,0,0,0,0,0,0,0,0,0,0.0732886856581523,0,0.118261493758092,-0.0368492286433818,0,0,0,0,0,0,0,0.291202812864316,0,0,0.0682594340980398,0,0,0.0919111158426817,0.0825578356226036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0.000690029124499184,0.0468998483893041,0.0183353958924558,0,0,0,0,0.162896282468054,0,0,0.0355187528423827,0.134317371807918,0,0,0,0,0,0,0.271049056001358,0,0,0,0,0,0,0,0,0.221453231645752,0.0962766544379299,0,0.0253274704049486,0,0,0,0.00170875854674813,0,0,0,0,0,0,0,0,0,0,0,0,0
