,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X601818.CH.EQUITY,X601336.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X002142.CH.EQUITY,X600999.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X2881.TT.EQUITY,X601881.CH.EQUITY,X2891.TT.EQUITY,X600919.CH.EQUITY,X2886.TT.EQUITY,X600958.CH.EQUITY,X601009.CH.EQUITY,X000069.CH.EQUITY,X601901.CH.EQUITY,X600061.CH.EQUITY
X601398.CH.EQUITY,0,0,0.54186433572933,0.0443256100323615,0.0457260636085268,0,0.0627861053769835,0,0,-3.46944695195361e-18,0,0,0,0.0428300429948809,0,0.0132869310377473,0.0618585199838315,0,0,0,0,0.107466385784413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0849836635038273,0,0,0.113386119014065,0,0,0,0,0,0.248293168096798,0.020644385173233,0,0,0,0,0,0.145583582492277,0,0,0,0,0,0.251092909159337,0,0,0,0.0973038920861441,0,0.0438002493603514,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.631766345083218,0,0,0.0918014258208618,0.0456309008777811,0,0,0,0,0.0174460492057283,0.0423552798435239,0,0,0,0,0,0,0,0,0,0,0,0.116999693938374,0,0,0,-1.73472347597681e-18,0,0,0,0,0,-0.0425905632360942,0,0,0,0,0,0,0,0,0,0,0,0,0.0393479144051845,0,0
X601288.CH.EQUITY,0.214377753523352,0,0.24434776570955,0,0,0,0,0,0,0.12396452039892,0,0,0,0,0,0.0948264296434471,0.0871606928268439,0,0.199539377473662,0,0,0,0,0,0,0,0,0,0.0115831132252669,0,0,0,0,0,0,0,0,0,0,-0.0887631957615655,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0.412603429578757,0,0,0,0,0,0,0.141550864505504,0,0,0,0.185463451581086,0.236644212018641,-0.174587440136886,0,0,0,0,0,0,0,0,0,0,0,0.2416436199743,0,0,0,0,0,0,0,0,0,0,0.0754064662560169,0.478288727079106,0,0,-0.181277638297815,-0.990726829332592,0.108740751705065,0,0.0569263346326919,0
X601988.CH.EQUITY,0.124495290724322,0,0.141406819242451,0,0,0,0,0,0,0,0,0,0,0,0,0.0941948300077096,0,0,0,0.108829962515705,0,0,0,0,0,0,0.00718046838008168,0,0,0,0.293962104977753,0,0,0,0,0,0,0,0,0,0,0.118748406019127,0,0,0,0.112510087254295,0,0
X600036.CH.EQUITY,0,0.0890994418961391,0,0,0,0,0,0.0645630386955934,0,0,0.0569893990723367,0,0.331112415970013,0,-0.0562267453275775,0.0127805236348875,0.0559972697674672,0,0,0,0,0.36820591745531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0451137036613353,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0.113165554028405,0,0,0.201988439953077,0,0.145156345784205,0,0,0,0,0,0,0.186075058359949,0.0357036662846383,-0.0611974756063527,-0.11377349257444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017142546392201,0,0,0,0.2416210307034,-0.0588469807770672,0,-0.274195875568034,0,0,0,0,0
X601628.CH.EQUITY,0,0.0368286361462153,0,0,0,0,0,0,0,0,0,0,0.106016254918886,0,0,0,0,-0.0167410740067431,0,0,0,0.0882689387054925,0.130494873900107,0.251682392077679,0,0,0,0,0,0.0366823504168738,0.218428715445091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0.0876670420809559,0.0858942945223876,0,0,0,0.0858700795898324,0,0,0,0,0,0.126158060818733,0,0,0,0,0,0.188073331317223,0,0,0,0.0541318257400882,0,0,0,0,0,0.150013111568579,0.164812545039493,0,0,0,0,0,0,0,0,0,0,0.0238946979544148,0,0,0,0,0,0,0
