,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X267.HK.EQUITY,X601066.CH.EQUITY,X2388.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2886.TT.EQUITY,X2881.TT.EQUITY,X601916.CH.Equity,X2891.TT.EQUITY,X601236.CH.EQUITY,X601881.CH.EQUITY,X600919.CH.EQUITY,X2884.TT.EQUITY,X601009.CH.EQUITY,X601696.CH.Equity,X601901.CH.EQUITY
X601398.CH.EQUITY,0,0.0791032500655044,0,0.434173950637364,0,0,0.115190297275079,0,0.250751375543205,0.012994104236383,0,0.034930828829677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019666968768138,0,0,0,0,0.0904736031423496,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.322802021234569,0,0,0.0468780080843551,0,0,0,-0.0995497770499635,0,0.0567835125837867,0,0,0.450824240075883,0,0,0,0,0,0,0,0,-0.0502102012911386,-0.0492321138296672,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0.105271640896053,0,0.0882590683095647,0,0,0.0410881947626059,0,0,0,0,0
X601318.CH.EQUITY,-1.73472347597681e-18,0,0,0,0.0139131157196282,0,0,0,0,0,0,0.216987401560398,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0.0457592341601401,0,0,0,0,0,0.0575292452619479,0,0,0,0.0539946504477982,0,0,0.109615832254259,0,0,0,0,0,0,0,0,0.059429457534341,0,0.320758861480255,0,0
X601288.CH.EQUITY,0.461353236406509,0,0,0,0.397126847452989,-0.0187506421113608,0,0,0,-0.0220449966408324,0.0476350677158539,0,0,0.0208589018254313,0,0,0,0,0,0,0,0,0,0,0.0345233798068731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0318555685499094,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0.0623619857959543,0.26216247091456,0,0,0,0.0676165244090809,0,0,0,0,0,0,0.00909393797708631,0.126624090039181,0.12457389495453,0,0,0,0,0.00688912088392062,0,0,0,0,0,0,0,0,0,0,0,0.174861060202798,0,0,0.139913561871615,0,0,0,0,0,0,0,0.040647456393966,0,0,0.00530817139101432,0,0
X5.HK.EQUITY,0,0,0.0602315946280222,0,0,0,0,0,0,0.23935720761049,0,0,0,0,0,0,0,0,0,0,0,0,0,0.377274223956765,0,0,0,0.00814127085280932,0,0,0.446558000861858,0,0.14969555133602,0,0,0,0,0,0,-0.220298000388133,0,0,0,0,0.0644229494229674,0,0,0,-0.080885748618065,0.0652680577485399
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.0308144315533781,0,0,0,0.432327066690128,0,0,0,-1.38777878078145e-17,0,0,0,0,0.00201288987378998,0,0.176693889377035,0,0,0,0,0,0,0,0,0.0327159863446698,0.0485309397160429,0,0,0,0,0,0,0.18256553214738,0,0,0,0,0.0183176635894754,0,0.0909013787845181,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,-0.0586663404457883,0,0,0,0.173383869689327,0,0,0,0,0,0,0.0486930069863296,0.426467189217802,0,0,0,0,0,0,0,0,0,0,0,-0.0782821152191961,0,0,0,0,0,0,0.382030574785178,0,0,0,0,0,0.150177303701402,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188428268034837,0,0,0.205656008839436,0.377215693270558,0,0,0,0,0,0,0,0,0,0.0280512986021378,0,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0.0802040767484673,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.406390840981388,0,0,0,0,0,0,0.35640194883228,0,0,0,0,0,0,0.0991283907080674,0,0,0,0,-0.396617095167124,0,0,0,0.356102236349977,0,0,0,0,0.772430005289768,0,-0.19147440938933,0,0,0,0.719033195562146,0.00793054125340476,0
X601328.CH.EQUITY,0,0,0,0.282812615318908,0,0,0,0,0,-0.0946962512459381,0,0,0.332994883338118,0,0,0,0.299665702930312,0,0,0,0,0,0,0,0.0944970297500572,0,0,0,0,0,0.000927054300028691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0163419239024951,0.0576186207554182
