,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601066.CH.EQUITY,X601336.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X600999.CH.EQUITY,X000776.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,X601881.CH.EQUITY,X600919.CH.EQUITY,X2884.TT.EQUITY,X601009.CH.EQUITY,X600958.CH.EQUITY,X601236.CH.EQUITY,X2892.TT.EQUITY
X601398.CH.EQUITY,0,0,0,-0.266160291286755,0,0,0,0,0,0,0,0,0.0754402669704794,0,0,0,0,0,0,0,0,0,0,0,0,0.0455049761386006,0,0.00373388416830386,0,0.862426062656807,0,0,-0.00693454753667081,0,0,0,0,0,0,0,0,0,0,-0.141109455259336,-0.187266605178143,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.178441773412233,0.0711967969332267,0.169749792314338,0.0162224400476932,0,-0.0503068062751426,0,0.0710929333427051,0,0,0.00808801364048013,0,0,0,0,0.0177611025107787,0,0,0,0,0,0.293788936076908,0,0,0,0.00142647987361888,0,0.0861208821403289,0,0,0,0,0,0.0229195442289306,0,0,0.0320783758637657,0.0470668113785468,0.0680721417095337,-0.0343264502469034,-0.0824757824090368,0
X601939.CH.EQUITY,0.222545630677726,0,0,0,0,0,0,0.203033600068561,0,0,0,0,0,-0.137329080468078,0,0,0,0,0,0,0,0,0,0,-0.325803731234566,0,0,0,0.503747709340395,0.0942020830997466,0,0,0,0,0,0,0,-0.111931304523972,0,0,0,0,0,0,0.316217083429497,0.155660822378001,-0.202496783019177,0
X601288.CH.EQUITY,0,0,0,0,0,0.153304585219812,0,-0.140415707043464,0.257631310807994,0,0.502828094976177,0,0,0,-0.156720865905857,0,0,0,0,0,0,0,0,-0.550778290185987,0,0,0,0,0,0,0.192169811222823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.188276512639285
X5.HK.EQUITY,0,-0.0123920763405653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273990284589464,0,0,0,0,0,0,0,0,0,0,0,0.253393115715298,0.242457766624701,0,0,-0.0420122740732202,0,0,0,0,0.142004723515529,0,0,0.0274288370175204,0,0,0.136643823425589,0.294673979842198
X601988.CH.EQUITY,0,0,0.0928476494199861,0.23987462463301,0.0962250157062584,0,0,0,0,0,0.288846343999319,0,0,0,0.0848077625340293,-6.93889390390723e-18,0,0,0,0,0.0299064078389781,0,0.0334409198465081,0,0,0,-0.0464946023121848,0,0.0156865026639816,0,0,0,0.0674435093620101,0.285487109256385,0,0,0,0,0,0.0435095310431554,0,0,0,0,0,0,0,0.0622294509136767
X600036.CH.EQUITY,0,0.194220079688408,0,0,0,0,0,0,0,0.0273735829387014,0.0393588551900203,0.439285640511089,0,0,0,0.0970830444117438,0,0,0,0,0,0,0.15461962796531,0,0,0,0,0.00439236358485551,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.121577133526801,0.252430999187759,0.0960989130123864,0,-0.0106049567073689,0.219733639386587,0
X1299.HK.EQUITY,0,0.0629681203506451,0,0,0.461869866774139,0,0,0,0.202254108994892,0,0,-0.015578075061113,0,0,0.0912190154751624,0,0,0.0706525042028561,0,0,0,0,0,0,0,0,0,0,0,-0.0656193253013781,0,0,0,0,0.0236262388297763,0,0,0,0,0,0,0,0,0,-0.0458646904960893,0,0,0
X601628.CH.EQUITY,0,0.0382489565404465,0.0172120462612441,0.0598602396529315,0,0,0,0,0,0,0.0147621125140127,0,0,0.390951892815521,0,0,0,0,0,0,0,0.102473626888826,0,0,0,0.190462522885163,0,0.052800088373975,0,0,0,0,0,0,0.0346054350029181,0,0,0,0.0205434527471256,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0.0868893491736451,0,0,0,0,0.578257206023031,0,0,0,0,0,0,0,0,0,0,0,0.268637555390435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.157783886471325,-0.0425841926774257,-0.0276005675922336,0,0,0,0,0
