,X601398.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X267.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X601628.CH.EQUITY,X000001.CH.EQUITY,X600015.CH.EQUITY,X2388.HK.EQUITY,X601169.CH.EQUITY,X1299.HK.EQUITY,X601229.CH.EQUITY,X600919.CH.EQUITY,X601916.CH.Equity,X2882.TT.EQUITY,X002142.CH.EQUITY,X601601.CH.EQUITY,X601009.CH.EQUITY,X2881.TT.EQUITY,X11.HK.EQUITY,X2891.TT.EQUITY,X600926.CH.EQUITY,X601319.CH.EQUITY,X601077.CH.Equity,X600030.CH.EQUITY,X601336.CH.EQUITY,X5880.TT.EQUITY,X2886.TT.EQUITY,X2892.TT.EQUITY,X2888.TT.EQUITY,X2883.TT.EQUITY,X2880.TT.EQUITY,X601577.CH.EQUITY,X601838.CH.EQUITY,X601688.CH.EQUITY,X2884.TT.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X2885.TT.EQUITY,X600999.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0,-0.0217161901905572,0,0,0,0,-0.110569233070827,0,0,0,0,0,-0.0714362158042191,-0.273084856879867,0,0.127214038795397,0,0.0464810726910516,0.812749407076764,-0.104180198386357,0.0419531662923808,0,0,0,0,0.159067021134607,0,0,0.22555207112025,0,0,0,0,0,0,0.186419230246562,0,0,-0.4042416814628,-3.46944695195361e-18,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0,0.0130659136638734,0,0,0,0,0,0,0,0,0,0.000771899795125456,0.152978764581408,0,0.0581831405512275,0,0,0,0,0,0,-0.0311640920274886,0,-0.093441313046108,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.160319869219443,0,0,0.137881011515441,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0.0490283411508154,0,0,0,0.00975689953214662,0,0,0,0,0,0,0,0,0.0192487819486275,0,0,0,0,0,0,0,0.192813336094159,-0.0229288991255951,0,0.182436645225894,0,0,0,0,0,0,0,0,0,0,0,0.07260266483663,0.13951001307567,0,0,0,0.154033726924924,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0.0730002571846333,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0.217089613300157,0,0,0,0,0.0181936659167854,0,0,0,0,0,0.165015557345182,0,0,0,0,-0.137576334629913,0,0,0,0,0,0.0373845789722752,0.229261665176605,0,-0.0137997788694298,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0.0890962846341172,0,0,0,0,0,0,0,0,0,0,0,0,0.107101393752446,0,0.124039264568896,0,0,0,0,0,-6.93889390390723e-18,0.511866230445671,0,-0.0195854454303641,0,0,0,0,0,-0.0349594373434532,0,0,0.126824890970196,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0.10016004254183,0,0,-0.0843124142785007,0,0,0,0,0,0,-0.436223426078707,0,0,0,0,0.12592863422441,0,0.165220880427126,0,0.0623469672127919,0,0,0,0,0,0,-0.0680627486692136,0.00689733259098075,0,0,0.0242587534870466,0,0,0,0,0,3.46944695195361e-18,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112803598459312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127900299188382,0.0495603585189316,0,0,0.0629349351628719,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.236688732566235,0.0276589309591739,0.183888381493048,0.192124876567086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10744066221274,0.220256616451519,0,0,0,0,0,0,0,0.0299522317947229,0,0,0,0,0,0.0501764398779119,0,3.46944695195361e-18,0,0,0.0888800017880957,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0.0705278744698197,0,0,0,0,0,-0.0685736353032146,0,0,0.379866568613827,0.14851080181752,0,0.3125269874189,0,0,0,0,0.0645437138617806,0,0.241106816067034,0,0.0735411568114967,0,0,0,0,0,0,0.0401518309614435,0,0,0,0,0,-0.0267440088706275,0,0,0,0,-0.0492106567628877,0,0,0,0
X267.HK.EQUITY,0,0,0.176244645322478,0,0.0716690575622218,0.0781628965054933,0,0,0,0,0.175457824075769,0,0,0,0,0,0,-3.46944695195361e-18,0.392610916737189,0,0.128581067416517,0,-0.43171665475074,0,0,0,0,0,0,0,0,-0.0614618539849928,0,0,3.46944695195361e-18,0,0,0,-0.175555360469138,0.398809385247632,0.000726308998660219,0.0409327068986813,0.0643173295874059,0,0,0,0,0,0,0
