,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600030.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601818.CH.EQUITY,X267.HK.EQUITY,X601688.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X000166.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X601881.CH.EQUITY,X002736.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,X601788.CH.EQUITY,X2891.TT.EQUITY,X601916.CH.Equity,X601236.CH.EQUITY,X601009.CH.EQUITY,X600958.CH.EQUITY,X2884.TT.EQUITY
X601398.CH.EQUITY,0,0,0,0,0.00498002451874869,0.10307057628973,0.0695911291221087,0,0,0,-0.100163074021016,0,0,0,0,0,0,0,0,0,0.353599148476266,0,0,0,0.0835714586171709,0,-0.110824148457301,0.110100606846654,0,0,0,0,0,0,0,0,0,0,0.202492246551546,0,0,0.177093466965301,0,-0.910497952946666,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0.0519743665547136,0.297932965306406,0,0,0,0,0,0,0,0,0,0,0,0,0.259676405773202,0,0,0,0,0,0,0,0,0,0,0,0,0,0.421237796010438,0,0,0,0,0,0,0,0,0,0,0,-0.0115791053050141,0,0,0,0,0
X601939.CH.EQUITY,0.0682493459698721,0,0,0.207755649318617,0,0,0,0,0,0,0,0.336991547433644,0.232725121364612,0,0,0,0,0,0,0,0,-0.0273235737696194,0,0.0309137156816437,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101560360634848,0,0,0,0,0.0159161889547415,0,-0.0794302722791622,0,0.0340140697722078,0,0,0
X601288.CH.EQUITY,0,0,0.284465219801574,0,0.347829980600851,0,0,0.0828829398475705,0,0,0.0322055326531857,0,0.109319381873713,0,0.0382666260301186,0,0,0.0591985684791414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0735320596889281,0,0,0,0,0,-0.0198636702300495,0,0,0.0158050209316998,0,0,0,0
X601988.CH.EQUITY,0,0,0.310376386790759,-1.38777878078145e-17,0,0,0,0,0,0.470655732269229,0,0,0,0,0,0.359776675486276,0.0213349386750057,0,0,0,0,0,0,0,0,0,0.0854768680001308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144083729351651,0,0,0.0466191880797996,-0.268287911470267,0
X600036.CH.EQUITY,0,0.109927225950242,0.230125819264882,0,0,0,0.0972666222044105,0.109485624722687,0,0,0,0,0,0,0,0,0,0,0.0655282983473848,0,0,0.0176961344784442,0,0,0,-0.0748563329841345,0,0.371494554960136,0,0,0,0,0,0,0,0,-0.048026489058503,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.195788955652881,0,0,0,0.285430286230793,0,0.0850521607046114,0,0,-0.17708199755266,0,0,0,0,0,0,0,0,0,0,0.0824547716767853,0.0293508636460365,0,0,0,0,0,0,0.259346723736993,0,0,0,0,-0.0304026079953621,0,0.0311937548347451,0,0,0,0,-0.0773130966918439,0.036895126173785,0.0893553095910038,0,0,0,0,0,0
X1299.HK.EQUITY,0,0.0882129097041827,0,0,0,0.109526145341219,0.277477984399255,0,0,-3.46944695195361e-18,0.342919910454132,0,0.0383055711334301,0,0,0,0,0.135581025418301,0,0,0,0.19245617513856,0.199346468306353,0,0,0,0,-0.154035712430129,0,0,0,0,0,-0.205964503855655,0,0,0,0,0,0,0,0.0963419247223671,0.18733189737526,0,-0.0503376658418317,0,0,0,0,-0.0293460113593602
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0371530011613103,0,0,-0.581777453597829,0.736849297165758,0,0.656227395185983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0809965717126081,0.161002677811754,0,0,0.140292532695246,0,0,0
X601658.CH.Equity,0,0,0,0.0302011320277336,0,0,0,0,0,0,0,0.202007559283509,0,0,0,0,0.129650285237135,0.105503278598117,0,0,0,0,0,0,0,0,0,0,0,0,0.0601981452783389,0,0,0,0.0144788106951507,0,-0.152098258226651,0,0,0,0,0,-0.046822569898686,0,0,0.168876559484705,0,0,0,0
