,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X000001.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X600918.CH.Equity,X600015.CH.EQUITY,X601881.CH.EQUITY,X2886.TT.EQUITY,X601788.CH.EQUITY,X601009.CH.EQUITY,X2891.TT.EQUITY,X2884.TT.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601696.CH.Equity
X601398.CH.EQUITY,0,0,0,0.116789870532568,0,0.271751908452419,0,0,0,-0.0750115168406646,0,0,0,-0.0148733994371063,0,0,0,0,0,0,0.0883361630940108,-0.0319263744144867,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111670503116516,0,0,0,0,0,0,0,-0.0444338844615444,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.0185450500784038,0.00699944554957296,0,0,-0.0619342515463318,0,1.38777878078145e-17,0,0.126640464499742,0,0,0,0.251780316130502,0.301879321320789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0.00381744903262408,0,0,0,0,0
X601939.CH.EQUITY,0,0.0713372920841736,0,0.782758674886574,0,0,0,0,0,0.0395327417021076,0.0583735519278182,0,0.00703255438621049,-0.0451579738895591,0.0712320643168888,0,0,0,0,0.00278103000036333,0,0,0,0,0.042564922434959,0,0,0,0,0,0.0729105041840235,0,0,0,0,0,0,0,0,0,0,-5.42101086242752e-20,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.847659390901922,0,0,0,0,-0.0362030300624742,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0.0548044615280399,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170358997214896,-0.0147772296768413,0,0.0360298269097484,-0.0502875587545734,0,0,0.0147710786129808,-0.165024292207769
X601628.CH.EQUITY,0.00764826323833485,0.0470897909422118,0,0,0,0,0,0,-0.0141533043459408,0.225381323285519,0,0.309946297407998,0,0,0,0,0,0.202262890103371,0,0,0,0,0,0,-0.153923650470242,0,-8.67361737988404e-19,0,0,0,0.326197419415989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.012612902786478,0,0,0.134519275024382
X600036.CH.EQUITY,0,0,0.0965816909011385,0.279091107077768,0,0,0,0.0125397646093759,0.0549851979159468,0,0,0,0,0,0.0508292534389292,0,0.0857219295852915,0,0,0,0,0,0.0239905220584012,0,0,0,0,0.028133425238376,0,0,0,0,0,0,0,0.0786972960224846,0,0,0,0,0,0,0.0155340725866775,0,0.173799943117163,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.060554441282645,-0.0497408049864699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00319727235358203,0,-0.121365123140119,0,0.995903175150004,0,0,0.0731289087876822,-0.00667181041863462,0,0,0,-0.0103950014400029,0,0,-0.0178099733214655
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.41610521570604,0,0,0,0,0,0.0312450486729059,0,0,0,0,-0.111547869175267,0,0,0.293876855925042,0,0,0,0.130085333135074,0,0,0,0,0,0,0,0,0,0,0,0.0326144461702509,0,0,0,0,0,-0.0829366771189678,0.229075019397339,0,0,0.168211377565572
X5.HK.EQUITY,0,-3.46944695195361e-18,0,0,0,0,0,-0.0615522871044944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49970088081461,0,0,0,0.0194817764708558,0,0,0,0,0,0,0.153225272700313,0.232110018646184,0,0,0,-0.294244220609663,0,0,0,0,-0.173610477634005,0,0,0,0,0
X388.HK.EQUITY,0,0,0,0,0.424666071263186,0,0,0.211738062486293,0.272950977613803,0,0,0,0,0,0,-4.33680868994202e-19,-0.00302922676890544,0,0,0,0,0.205281516497745,0.0201875156363591,0,-0.194785892753708,-0.223998367963922,0,0.32041463166308,0,0,0,0,0,-0.249357141055809,0,0,0,-0.281548501744667,0,0,0,0,0,0.206990728463782,-0.132346006929487,0,0,0,0,0
