,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X000001.CH.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X601066.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X2891.TT.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X601881.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X2884.TT.EQUITY,X600958.CH.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.59451402934388,0,0,0,-0.0352186034967297,0,0,0,0,0,0,0,0,0.0333479950000142,0,0,0.703081497903849,0.0365282005800666,0,-0.376644699529942,0,0,0,-0.113236993427315,0,0,0,0,-0.207739319238901,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0422421787439756,0,0,0.0329953971204647,0,0,0,0.258802037241558,-0.0267171585430966,0.115029771409105,0,0,0,0,0,0,0,0,0,0.000127371861769454,0,0,0,0.412739333061743,0,0,0,0,0,0,0,0,0.0820039764447455,0,0,0,0.041765810117414,0.0359812344541844,0,0,0,0
X601939.CH.EQUITY,0.212395559067598,0,0,0,0,0,0,0.0579799651986824,0,0.0456192848801858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139547357076028,-0.153922580509198,0,0,0,0,0,0,0,0,0,0.0505493111338107,0,0,0,0,0.137066714053699,0,0.33107241999537,0,0.0778150231279977,-0.0338799727172787,0
X601288.CH.EQUITY,0,0,0,0,0,0.25596686239439,0,0,0.0401299444026897,0.0172240875154935,0,0,0.223599252591516,0,0,0,-0.0055149059736882,0.0644554022978031,0,0,0,0,0.243546778179587,0,0,0,0,0.0956162289454091,0,0.103366612737263,0,0,0,0,0,-0.0272805712327616,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0.00434384845487427,0.0804769196924675
X5.HK.EQUITY,0,-0.363327014869765,0,0,0,-0.0072996797609561,0,0,0,0,0,0,0,0,0,0,-0.249068622837404,0,0,0.177317817569974,0,0.460288363951275,0,0,0,0,0,0,0,0,0.111430793043198,0.185849045394383,0,0,-0.0566818536763901,0.0634657693285158,0,0,0,0,0.0521828737085529,0,0,0,0,0,0,0.351564329409247
X601988.CH.EQUITY,0.269129782157904,-0.0186509085454267,0,0.503100819165873,0,0,0,0,0,0,0.121116320601658,0,0.129308566360605,0,0,-0.0384762975541338,0.0788450602309256,0,0.0187011493889444,0.0801304047952546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0382455370372831,0,0.0319595304199096,0,-0.127501629477604,0,0.00751160743133887,-0.0250806289869551,0,0,0,0.0586564579127509
X600036.CH.EQUITY,0,0.283973193970068,0,0,0,0,0,0,0,0,0,0.221881523998445,0,0.240892008831929,0,0,0,0.026480592412729,0,-0.105005264492205,0,0.02521690696553,0,0,-0.0980631159580529,0,0,0,0,0.109104538927424,0,0,0,0,0,0,0,0,0,0,0,0,0.293240642012275,0,-0.0103126997019033,0,0.0697757507671457,0
X1299.HK.EQUITY,0,0.226415420005188,0.0188501736277316,0,0,0,0.0235537198658591,0,0,0,-0.0655047395621017,0,0,0,0.32768089368075,-0.204990690477028,0.30043714817785,0.200397082637702,0,0,0,0,0,0,0,0.0508205975543951,0,0,-0.173210076363275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.138876573428524,0,0.0756941778522936,0,0,0,0,0,0,0,0,0,0.302590919135741,0,0.0679442176048197,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00936584830557314,0,0,0,0,0,0,0.104328157520387,0,0,0.0421368370719507,0,0.0799824182697272,0,0,0.108930157775283,0,0,0
X601328.CH.EQUITY,0,0.157887052790071,0.0506939302034218,0.444566481027726,0,0,0,0,0,0,0,0,0,0,0,0,0.130961642730825,0.0505073447748184,0,0,0,0.00724342945148115,0,0,0,0,0,0,0,0,0,0,0,0,-0.0737062224026791,0,0,0,0,0,0,0,0,0,0.018745863509359,0,0,0
