,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X601328.CH.EQUITY,X000001.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X601818.CH.EQUITY,X267.HK.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600918.CH.Equity,X600015.CH.EQUITY,X601881.CH.EQUITY,X601788.CH.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X601009.CH.EQUITY,X2884.TT.EQUITY,X600926.CH.EQUITY,X600919.CH.EQUITY,X601696.CH.Equity
X601398.CH.EQUITY,0,0,0,0.0700152505812411,0.0779659986849625,0.155877222722693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.507953964224659,0,-0.37698541669998,0,0,0,0,0,-0.0307156643397122,0,0,0,0,0,0,0,0,0,0.10710815650845,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,6.93889390390723e-18,0,0.162860245596992,0,0,0,-3.46944695195361e-18,0,0,0,6.93889390390723e-18,0,0,0,0,0.0196870698633006,0,0,0,0,0,0,0,0.0378428315863756,0,0,0.036959079320385,0,0.199536155845566,0.0646882200617457,0.0953804282402008,0,0,0,0.21728046923302,0,0,0,0,0,0,0,0,0,0.152202124352657,0,0
X601939.CH.EQUITY,0,0.0542380353690049,0,0.788155118819419,0,0,0,0,0,0.0149626920070323,0.0538894434680464,0,0,-0.0551456315788775,0,0.0848597822448807,0,0,0,0.00995030941143195,0,0.0427304322928651,0,0,0,0,0,0,0,0,0,0.0766298137002052,0,0,0,0,0,0,0,0,0,0,0.0237691912845571,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.81766780659404,0,0,0,0,-0.0454810041444673,0,0,0,0,0,3.3881317890172e-21,0,0,0,0,0,0,0,0.0734179914717529,0.0440741728553008,0,0,0,0,0,0,0,0,0,0,0.0440864710123055,0,0,0,0,0,0,0,0.149599996974938,0,0,-0.065324735319125,0.0255842031908564,0,0.0126892179007846,0,-0.194621481680454
X601628.CH.EQUITY,0.0109048583187147,0,0,3.46944695195361e-18,0,0,0,0,0,0.224845284007776,0,0.176472880868157,0,0,0,0,0,0,0.229813244259564,0,0,-0.121368919161898,0,0,0,0,0,0,0,0.0087571181182385,0,0.303365952572773,0,0,0,0,0,0,0,0.202613818403069,0,0,0,0,0,0,0,0,0,0.121815341754749
X600036.CH.EQUITY,0,0.0208835909581013,0,0.374554575756632,0,0,0,0,0.031198431098095,0,0,0,0,0,0,0.0446315899256737,0.113492305924227,0,0,0,0,0.107401311666288,0,0,0.0471929954455876,0,0.0501331509298167,0,0,0,0,0,0,0,0,0,0,0,0.0394635400194909,0,0,0,0,0.00952937193595495,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.0473857203125657,-0.0521227935332048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00946765172609729,0,-0.0946028323287109,0.992215686743434,0,0,0,0.0664849036956164,-1.73472347597681e-18,0,0,0,-0.00433758137927139,0,0,-0.0276781910815749
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.414521201696306,0,0,0,0,0.0304498883291357,0,0,0,0,0,-0.098285126222896,0,0,0.316341335059978,0,0,0.10115410885162,0,0,0,0,0,0,0,0,0,0,0,0,0.0631295300677146,0,0,0,0,-0.0759403498163247,0,0.230320217641665,0,0,0.171160151130499
X5.HK.EQUITY,0,0,0,0,0,0,0,-0.044848442442063,0,0,0,0,0,0,0,0,0,0,-0.0519917646603065,0,0,0,0,0.487723458708407,0,0,0,0,0,-0.0298521383981927,0,0,0,0,0,0.171150773875297,0,0,0.088616753406832,-0.255713928711338,0,0,0,0,0,-0.130567691731473,0,0,0,0
X388.HK.EQUITY,0,0,0,0,0.445371006601327,0,0,0.177927704400861,0.241373155167046,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124984891166743,0,0.133157820591768,-0.308652009036613,0.17091803715235,0,0,0,0,0,0,0,0,0,0,0,-0.399740901698081,0,0,0,0.114008394371329,0,0,-0.27157796051277,0,0,0,0
