,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X002736.CH.EQUITY,X2891.TT.EQUITY,X601916.CH.Equity,X601881.CH.EQUITY,X601236.CH.EQUITY,X2884.TT.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X2892.TT.EQUITY,X601901.CH.EQUITY
X601398.CH.EQUITY,0,0.20107353296688,0,0.158038911188234,0,0,0,0,0.257598855492874,0.0336778696765136,0,0,0,0,0,0.267911561347447,0,0,0,-0.0157655709129247,0,0,0,0,0.012320293186358,0,0,0,0,0,0,0,0,0,0,0,0.0261489499528503,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.458792381531879,0,0,0.0174799022309028,0,0,-0.0333448411736923,0,0,0,0.201452695754998,0,0.220227341676229,0,0,0,0,0,0,0,0,0,0,0,5.42101086242752e-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0115205619061609,0,0,-1.0842021724855e-19,0,0,0
X601318.CH.EQUITY,0,0,0,0,0.0438176852716128,0,0,0,0,0,1.38777878078145e-17,0.122034740520284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.77555756156289e-17,0,0,0,0,0.0762669306289347,0,0.132727105273709,0,0.105497368286439,0.112548516361995,0,0,0,0,0,0,0,0,0,0.0498350223255965,0.18872099024156,0,0
X601288.CH.EQUITY,0.424830901596935,0,0,0,0.185914959924355,0,0,0,0,0,0,0,0.0433034255466862,0,0,0,0,0.0768847061004735,0.126652891150191,0,0,0,0,0,0,0.0217741648168976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0601753371380716,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.292284822174981,0,0,0,-0.0474723854220513,0,0,0.297902979791965,0.181673967407676,0,0.0703211432296955,0,0,0,0,0.038348292395916,-0.0451792162505161,0.0542474566984521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0796581508274521,0.108901723407276,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0.0455043293612912,0,0,0,0.0373940196543606,0,0,0.0165725061502158,0,0.375666755220411,0,0,0,0.0134019476038121,0,0,0,0,0.101091456097948,0,0,0,0,0,0,0,0,0.0346400383874396,0,0,0.0627661474995407,0,0,0,0,0,0,0.19954815585167,0,0,0,0,0,0.0199555956487438,0,0,0.0398872669683499,0
X1299.HK.EQUITY,0,0,0,0,0.36150793739522,0,0,0,0,0,0,0,0,0.321405764977326,0,-2.77555756156289e-17,0,0,0,0.28432533869851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0701439822902393,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,-0.0698444958997153,0,0,0,0,0,0,0,0,0,0,0,0.497626332149759,0,-0.529569905924339,0,0,0,0.759961351241313,-6.93889390390723e-18,-0.862771872583164,0,0.595043114844053,0,0,0,0,0,0,0.185165470890357,0,0,0,0,0,0,0,0,0,0.195663890370269,0,0,0,0.0731900008249296,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117096766171891,0.157126682749732,0.155689091438081,-6.93889390390723e-18,0,0,0,0.290848733080575,0,0,0,0,0,0,0,0,0.0447802777828866,0,0,0,0,0,0,0,0,0,0.10272341108392,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.381200713181593,0.46352302255354,0,0,0,0,0,0,0,0,0,0,0.0904827962396045,0,0,0,0.381184724321361,0,0,0,0.0390522826020003,0,0,0,0,-0.641188234483456,0.0539646209107382,0,0,0,0
