,X601398.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601318.CH.EQUITY,X601328.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X000001.CH.EQUITY,X601628.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X1299.HK.EQUITY,X2388.HK.EQUITY,X601229.CH.EQUITY,X600919.CH.EQUITY,X601916.CH.Equity,X601601.CH.EQUITY,X2882.TT.EQUITY,X002142.CH.EQUITY,X11.HK.EQUITY,X601009.CH.EQUITY,X2891.TT.EQUITY,X2881.TT.EQUITY,X601319.CH.EQUITY,X600926.CH.EQUITY,X601077.CH.Equity,X601336.CH.EQUITY,X600030.CH.EQUITY,X5880.TT.EQUITY,X2886.TT.EQUITY,X2892.TT.EQUITY,X2888.TT.EQUITY,X2883.TT.EQUITY,X2880.TT.EQUITY,X601577.CH.EQUITY,X2884.TT.EQUITY,X600837.CH.EQUITY,X601688.CH.EQUITY,X601838.CH.EQUITY,X601211.CH.EQUITY,X601997.CH.EQUITY,X2885.TT.EQUITY
X601398.CH.EQUITY,0,0.342495072132169,0.0358645233451959,0,0,0.102982620620686,0,0,0,0,0,8.67361737988404e-19,0,0,0,-0.0184673944239602,0.182312176837898,0,0,0,0,0,0,0.0845810941449083,0,0,0,0,0,0,0,0.0541709303853372,-0.0163723773508301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.021563135199651
X601939.CH.EQUITY,0.456041977565609,0,0.094980768242725,0,0.059715149148913,0,0,0,0,0,0,0.0462443224282973,0,0,0,0,0,-0.0903370059327301,0.156952591840594,0.15654190724377,0,0,0,0,0,0,0.175376734135177,0,0,0,0,0,0,0,0,0,0,0,0,0.0835612789004262,0,0,0,0,0.0535850916038058,0,0,0,0,0
X601288.CH.EQUITY,0.123884532915161,0.40690225768277,0,0.30016741362375,0,0,0.0786256045846696,0,0,0,0.0868215547968901,0,0.0289867447932337,0,0,0,0,0,0,0,0,0,0.00088322749670863,0,0,0,0.0472764075222847,0,0,0,0,0,0,0,0,0,0,0.039474669341927,0,0,0,0,0,0,0,-0.0274255188200523,-0.057857820105205,0,0,0
X601988.CH.EQUITY,0.0896944911855687,0,0.222023660911403,0,0,0.0113725824505531,0,0.322546876245614,0,-0.0546716475283563,0,0,0.0863405581098527,0.0964622689092188,0,-0.139138273283513,0.0333943133285746,0,0,0,-0.0624561571552184,0,0,0.165582611354265,0,0,0,0,-0.300338741371612,0,0,0.19114029281932,0,0,0,0,0,-0.109756301257215,0,0,-0.0116572750365197,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.269916360126651,0,0,0,0.114244394669057,0,0,0,0.011699289369096,0,0.105046142859492,0,0,0,0,0,0,-0.0524520703343152,0,0.383789837861324,0,-0.0135159463996654,0,0,-0.133400809717012,0,0.0883452533749716,0,0,0,0,0,0,0,-0.0498824939611296,0,0,0,0.121366440900334,0,0,0,0,0,0,0,0,0,-0.0723513579691536
X601658.CH.Equity,0.0140008767414,0,0,0.107712965686136,0.0728899164929609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0571893838559841,0,0,0,0.308782154350479,0,0.100389526967946,0,0,0,0,0,0,0.0449369218734234,0,0,0,0,0,0,0,0,0,0,0,-0.015100380452134,-0.157683424156016,0,-0.0587668718127686,0.423230434151256,0
X601318.CH.EQUITY,0,0.150626615932373,0,0,0,0,0,0,0,0,0,0,-0.142680077231965,0,0,0,0,0,0,0.0115027719178717,0,0,2.71050543121376e-20,0.267721876653819,0,0,0.00731896858048498,0,0,0,0,0,0,0,0.176539527648293,0,0,0,0,0.107442855195276,0,0,0,0.140195590996262,0.105079036848819,0,0,0.0198631175250959,0,0
X601328.CH.EQUITY,0,0.120172336829706,0,0.365324326979896,0,0,0,0,0,0,0,0,0,0.0669698459438948,-3.46944695195361e-18,0,0.0862817816176536,0.135063302983088,0.0748424800322827,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,-0.0632824070192916,0,0,0.132765920509709,0,0,0,0,0,0,0,0,0,0.140595081887034,0.0495319170008388,0,0,0.00468721751767111,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.295115254126838,0,0.028525374754257,0,0.0587735823007635,0,0,0.121379584292995,0,0.192709439882816,0,0.00151370515108684,8.67361737988404e-19,0.151995795567734,0,0,0,0.112845130491273,0.0699132141998228,0,0,0,0,0,0,0,0.0603986346962385,0,0,0,0,0,0,0,0,0,0,0.0831427746661178,0,0,0
X601166.CH.EQUITY,0,0,0,0,0.132020648398347,0.0382142774460753,0,0,0.21824689920397,0,0,0,0,0.0626428811464382,0,0.441252587461248,0,0,0,0,-0.155099505728968,-0.0352790026817422,0,0,0,0.0189074095194173,0,0.0108473183459408,0,0,0,0,0.259492688279419,0,-0.0334621848573874,0,0,0,0,0.166068476198434,0,0,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.0314141571119396,0,0.214596957824226,0,0.193478818479654,0,0,0,0,0.207543492121547,0,0,0,0,0,0,0.0314438210902574,0,0,0,0,0,0,0,0.080528645120208,0,0.0103654722656191,0,0,0,0,0.262061582487678,0,0,0.0206269424405368,0,0,0.0636851427739164,-0.0109299616087185
