,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X2891.TT.EQUITY,X300059.CH.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X002736.CH.EQUITY,X601916.CH.Equity,X601881.CH.EQUITY,X600919.CH.EQUITY,X2884.TT.EQUITY,X601009.CH.EQUITY,X2892.TT.EQUITY,X601077.CH.Equity,X601901.CH.EQUITY
X601398.CH.EQUITY,0,0.163195262406377,0,0.114044016030443,0,0,0,0,0,0,0,6.93889390390723e-18,0.508733753447269,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0462403817689735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0126151859754492,0,0.0483114258177576,0
X601318.CH.EQUITY,0,0,0,0,0,0.132802501394866,0,0,0.0282806769567029,0,0.0229773263619733,0,0,0.138794783207892,0,0,0,0,0,0,0,0,0,0,0,0,0.192408941129119,0,0,-0.139789002129405,0,0.33293320274012,0.0170609649225976,0,0,0,0,0.353687041199414,0,0,0,-0.106122900219851,0,0,0,0.179239191437405,0,0,0,0
X601939.CH.EQUITY,0.268330334421364,0,0,0.274671264820819,0,0.0782808780871204,0,-0.0743165581047574,0,0,0,0,0,0.153067826261527,0,0,-0.0164265304563686,0,0.0781257320900446,0.0436941215246326,0,0,-0.110862552522981,0,0,0,0,0,0,0.435854756369116,-0.0018024257039953,0,0,0,0,0,0,0,0,0,0.0548252083366818,0,-0.0597848382228883,0,0,0,0,0,0,-0.0522594438044343
X601288.CH.EQUITY,0.44239427912199,0,0.272169809110865,0,0,0.111145664151313,0,0,0,-0.0198025042503479,0,0,0,0,-0.0555948875453006,0.0472155839559457,0,0,0,-0.0269399940198601,0,0,0.0247175031599566,0,0,0,-0.0785890596906225,0,0,0.0513369100538852,0,0,0,0,0,0,0,0,0,0.168101262526172,0,0,0,0,0,0.0447967394369407,0,0,-0.069274237265754,0
X5.HK.EQUITY,0,-0.055959344324033,0,0.129939784711261,0,0,0,-0.355149431452643,0,0,0,0,0.19439183550505,0,0,0,0,0.442733920382683,0,0,0,0,0.493134453530419,0,0,0,0,0,0,0,0,0,0,0,0,0.255571272837691,0,-0.0144275095412769,-0.0915060556770932,0,0,0,0,0,0,0.0245457824181938,0,0,-0.0745948179577289,0
X601988.CH.EQUITY,0.0146363257639894,0,0.0927966393294587,0.331016530007307,0,0,0,0,0.0901073341355972,0,0.141003001090905,0.0719222021302642,0,0,0,0,0,0,0,0.144702851057499,0.181431746960936,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,-0.00754529261820526,0,0,0,0,0,0,0,0,-0.245865994308369,0,0
X600036.CH.EQUITY,0,0,0,0,0.0704378067673916,0,0,0.236700363657301,0,0,0,0.0598370155058712,0.385408266934902,0.128994736123555,0,0,0,0,0,0,0,0,0,0,0,0,0.101041406012983,0,0,0,0.125003873370432,0,0,0,0,0,0,0,0,0,0,0,-0.0382665812246872,0.0996192894698198,0,-0.0264765555196515,0,-0.0483889455981196,0.0474345923657981,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.118595748640216,0,0,0,0.087592529335928,0,0,-0.163703796527882,0.0929054731815748,0.306018970213421,0,0.307807490455167,0,0.0231412419654704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0286133422571693,0,0,0,0,-0.0245981869233193
X601628.CH.EQUITY,0.113287679738718,0.316207311964558,0,0,0,-0.0622933898224866,0,0,0,0,0,0,0,-0.00136196419291087,0,0,0,-0.0942276886934986,0,0,0,0,0,0,0,0,0,0,0,0,0.0867052294087238,0,0,0,-0.0808467618116568,0.0217263836773365,0,-0.143903510460856,0,0,0,0,0,0,0,0.126729693329169,0,0,0,0.0102513802080091
X601658.CH.Equity,0,0,0,-0.10931003540366,0,0,0,0,0.0793443811062162,0,0,0,0,0,-0.00425410522543116,0,0,0,0,0,0,0,0,0,-0.107879850570334,0,-8.67361737988404e-19,0.0067284002344177,0,0.0622280441340985,0,0,0,0,0,0,0,0.057648586951927,0,0,0,0,0.275566949278423,0,0,0,0,-0.211782845364454,0,0.0156850643749047
X601166.CH.EQUITY,0.015994101583806,0,0.0379589476988529,0,0,0,0.351599590455121,0,0,0,0,0,0,0,0.27476952993697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126804697954716,0,0,0,0,0,0,0,0,0,0.0186248356265087,0,0,0.133941265359681,0,0,0
X601328.CH.EQUITY,0,0.0249075846880732,-1.0842021724855e-19,-1.73472347597681e-18,0,0.113581657732478,0.0859597725995629,0,0,0,0,0,0.268874530363395,0,0,0,0,0,0.126440490656449,-0.129060204963734,0.0275530673372855,0.0071058096185333,0.171409109610863,0,0,0,0,0,0,0.0703433835592859,0,0,0.131092622578206,0.0636934704324854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
