,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601066.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X002142.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X600999.CH.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,X601881.CH.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,X2891.TT.EQUITY,X300059.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X600958.CH.EQUITY,X2884.TT.EQUITY,X600061.CH.EQUITY,X2892.TT.EQUITY
X601398.CH.EQUITY,0,0,0.428425093598898,0,0,0,0.080234383336954,0,0,0.104091020794311,0.0608337273142111,0,0,0.196073836743029,0.0518704098280614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0523019032014779,0,0,0,0,0,-0.00975720494602731,0,0,0,0,0.0374405332408531,0,0,0,0
X601318.CH.EQUITY,0,0,0,-0.0347232650199156,0,0,0,0.172877449644565,0.274094927767814,0,0,0,0,0,0.29696691960987,0,0.0707336387878686,0,0,0,0,0,0,0,0,0,0,0,0.00439426565724881,0.108214334183937,0,0,0,0,0.0784979949760612,0,0.0859653639395006,0,0,0,0,0,0.0743075547756093,0,0,0,0,0
X601939.CH.EQUITY,0.350300708506278,0,0,0.281151658237312,0.173660541292036,0.027025521789035,0,-0.0569218816693285,0,0,0,0,0,-0.12339966625131,0,0,0,0,0,0,0,0.0471474511848957,0.238263362514933,0,0,0,0,0,0,0,0,0,0,-0.0335962473680137,0,0,0,0,-0.0480058899342706,0.127584667232143,0,0,0,0.00648491732210285,-0.0922291282649251,0,0,0.143318008845611
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.24187592373356,0.189038858843007,0,0.937446998848819,0,0,-0.0151466270854315,0,0,0,-0.309265450074934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.109353348646395,-0.24659212945993,0,-0.0151871832499085,0,0,0,0,0,0,0
X5.HK.EQUITY,0,6.93889390390723e-18,0,0,0,0.112762286489635,0,0.36721272623475,0,0,0,0,0,0,0,0,0.0762793906790148,-0.045451624101923,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0.287242579425265,0,0,0,0,0,0,-0.0134637504355745,0.0360021612619616,0,0,0,0.215989966204976,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.278186773956398,0,0,0,0,0,0.159238053006301,0,0,0,0,0,0,0,0,0,0,0.170313420584861,0,0,0,0,0,0,0,0.162597550403606,0,0,0,0,0,0,-0.205273430747843,0,-0.0585411199567833,0,0,0,0,0,0,0,0,0.292943012095663
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.0607532842070278,0,0,0,0.0524296298255654,0.00657702042329671,-0.16570307257665,0.123586918533307,0.0621967853219031,-0.129510294149814,0,0.0974621331875629,0,0,0.525865453009462,0,0,0,0,0,0,0,0,0,0,0.253155874747233,0,0,0,0.113619002926377,0,0,0,0.0554736028573321,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0.181117367525893,0,-0.0717479655385097,0.183586836401152,-0.0419770246809417,0.110354348235546,0,0,0.0864451912527779,0,0,0,0.313885663284803,0,0.418454710227834,0,0,0,0,0,0,-0.15847357675129,0,0,0,-0.131316211036977,0,0,0,0,0,0,-0.140921334455763,0,0,0,0,0,0,0,0,0,-0.171666053548597,0,-0.143062683995166,-0.0805907773653914,0
X601628.CH.EQUITY,0,0,0,0.0329775671746836,0,0,0,0,0,0,0,0.122017080113293,0,0,0.300318571981821,0,0,0,0,0,0,0.073569887936791,0,0,0,0,0.202305753735863,0,0,0,0.142576007783153,0,0.0696856398173159,0.0617427026894709,0,0,0,0,0,0.0750861032611545,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.530093377500823,0,0,0,0,0,0,0,0,0,0.421224105854362,0,0,0.0217378079079498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25503002441195,0,0,0,0,0,0,0,0.0747667044618639,0,0,0,0,0,0,0
