,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X11.HK.EQUITY,X600030.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X601066.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X002736.CH.EQUITY,X601881.CH.EQUITY,X601916.CH.Equity,X601236.CH.EQUITY,X2884.TT.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X2892.TT.EQUITY,X600958.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0.04775629840055,0,0,0.0803580675310642,0,0.325845738912395,0,0,0,0,0.0707438064779262,0,0,0,0.14394543165908,0,0,0,0,3.46944695195361e-18,0,0.195638552457531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0776748627868805,0,0,0,0.0200782471195902,0,0
X601939.CH.EQUITY,0,0,0,0.300295225678533,0,0,0,0,0,0,0,0,0.376351461795832,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113321188022515,0,0,0
X601318.CH.EQUITY,0.208526037712588,0,0,0,0,-0.0632095402148044,0,0,0.185324494278352,-0.00906200133613146,0,0,-1.38777878078145e-17,0,0.27501986069051,0.168363213768063,0,0,0,0,0,0,1.0842021724855e-19,0,0.0731148126155934,0,0,0.0633896991874944,0,0,0,0,-0.0367809473809678,0,0,0,0,0,0,0,0.132778231266252,0,0.016762977013688,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.336929657211568,0.0324146329877775,0,0,0.48962461383447,0,0.00942122210439138,0,0,0,0,0.0119981061532387,0,0.0239891107413171,4.33680868994202e-19,0,-0.0293928814174901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0.0947453316051962,0,0,0,0,0,0,0,0,0,0.0197911809259267,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0370861594303642,0,0,0,0.285282288846737,0.0352446593937398,0,0,0,0,0.312824222284845,0,0,0,0,0.136112570639298,0.00964584231577792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116192280528097,0,0,0,0,0,0
X5.HK.EQUITY,0.726886764446655,0,0,0,0,0,-0.277232368654042,0,0,0,0,0,0,0.214992517209668,0,0,0,0,0,0.508642771685613,0,0,0,0.0885057594535854,0,0,0,-0.2659918023502,0,0,0,0,0.767846568593666,0,0,0,0,0,0,-0.515437949142223,0,0,0.17056988004737,0,0,0.0267638646964717,0,0,0,0
X600036.CH.EQUITY,0,0,0,0.0632024723501199,0,0,0,0.159132792719392,0,0,0,0.205812712127676,0,0,0.280331060883039,0,0,0,0,0,0,0,0,0.0532913977923631,0.088576429616895,0,0,0.0185232996016598,0.0676286173518047,0,0,0,0,0,-0.019074236036125,0,0,0,0.00475550694741141,0.101829204602275,-0.0978387200578435,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0803262595204784,0,0.518292434795387,0,0,0,0,0,0,0,0,0.421407521738587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00258515498203216,0,0,0,-0.0587458557240016,0
X601628.CH.EQUITY,0.34195460201177,0,0.11304315056412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0672805192855882,0,0.0655470897813309,0,0,0.18970536906061,0,0.0511207310234201,0,0,0,0,0,0,0,0,0.0319696320285294,0,0,0,0,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0.405343614739113,0,-0.205499152399113,0,0,0,0,0,0,-0.149522835807772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214173650670157,0,0,0,0,0,0,0,0,0,0.0559767991927897,0,0,0.322748385381039,0.104826161539693,0,0,0,0.346278842456845,-0.581920633926667,0
