,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X601236.CH.EQUITY,X601881.CH.EQUITY,X601916.CH.Equity,X2884.TT.EQUITY,X600919.CH.EQUITY,X600958.CH.EQUITY,X601009.CH.EQUITY,X2892.TT.EQUITY
X601398.CH.EQUITY,0,0,0,0.447643066258634,0.32304960839366,0,0,0,0,0,0,0,0,0.0926741275025876,0.076115162271459,0,0,0,-0.0356931053307296,0,0,0,0,0,0,0,0,0.0150229013135568,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0.0455975777824464,0.0606119368928872,0,0,0,0,0.11568637857279
X601318.CH.EQUITY,0,0,0.228960783221106,0.068199284199986,0,0,0,0,0,0,0,0,0,0.127963182085932,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0.010102445585432,0,0,0.246710867695978,0.164388336545025,0,0,0,0,0,0,0.0852367883015401,0,0,0.0162658966588248,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.236081213450515,0,0,0,0,0,0,0,0,0,0,0,0.49291549325741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125414476787753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0.100616709854754,0,0,0
X601288.CH.EQUITY,0.353991551967582,0,0,0,0.529299815228868,0,0.0563974435926533,0,0,0,0,0,0,0,0,-0.0171531687709618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00698611855571156,0,0,0,0,0,0,0,0.071102359367715,-0.0402665046017914,0.0278830499869161,0,0,0,0,0,0,0,0,0.0150258187722101
X601988.CH.EQUITY,0,0,0,0.11593448171931,0,0,0,0,0,0,0,0.436275664514728,0.0320290441371974,0,0,0,0,0,0,0,0.0180872652249449,0,0,0,0,0,0.0813296331075938,0,0.0544971649227741,0,0.0383169263803546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0.824770285582111,0,0,0,0,0,-0.084561985212592,0,0,0,0,0,0,0,0.0872662731374594,0,0,0,0,0,0,0,0.676807585497581,0,0,0.291289632776429,0,-0.142460313497083,0,0,-0.416695541507942,0,0.601057772849449,0,0,0,0,0,0,0,-0.534162864963867,0,0,0.0960218891818364,0,0.146909492702164,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.171275489277095,0,0,0.138732915074604,0,0,0.140983201515717,0,0,0,0,0,0.0518638895257946,0,0,0,0,0.132193424636182,0.151493351598928,0,0.0815392443878475,0,0,0,0,0,0,0,0,0,0,0.0449542247707304,0,0.0982954308909141,-0.0613061764704288,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.19050535811774,0,0,0,0,0,0,0,0,0.207550051815599,0,0,0,0.0461178274532895,-0.0718554860736685,0,0,0,0.413452909500212,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0.0645845549865814,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0.264547846533385,0.0324273027911453,0.227216198411878,0,0,0,0,0,0,0,0,0,0,0,0,0.0536338314682088,0,0,0.133126001553315,0,0,0,0.110722290909593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0.222824375959048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113842808559911,0,0,0,0,0.987674924668772,-0.493227317142311
