,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X002142.CH.EQUITY,X600999.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY,X601881.CH.EQUITY,X300059.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X600958.CH.EQUITY,X000069.CH.EQUITY,X2884.TT.EQUITY,X2892.TT.EQUITY
X601398.CH.EQUITY,0,0,0.406687864221703,0.119588418893491,0.0822151496560767,0,0.0664829204239833,0,0,0,0,0,0.0333245244876171,0,-0.0119940719991801,0.071973344054627,0.0505065468581068,0,0,0,0,0.0637622700035452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0525019231478538,0,0.0105114798587019,0,0
X601318.CH.EQUITY,-6.93889390390723e-18,0,0.00386034758531734,0.0441215307014296,0,0,0.0621515630736118,0,0,0.107792778174989,0,0,0,0,0,0.262941899197353,0,0,0,0,0,0,0.114940696867512,0,0,0,0,0,0.264125164793605,0,0,0.087660112088001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.480518976506529,0,0,0.186741007284015,0,0.0949117946397852,0,0,0,0.0186085117636903,0.114190555661272,0,0,0,0,0,0,0,0,0,0,0,0.0212568819916464,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.011929277144738
X601288.CH.EQUITY,0.155115229291203,0,0.320952929118979,0,0,0,0,0,0,0.232723185963527,0,0,0,0.00385324224411255,0,0.06925933782716,0.0908442491487813,0,0.062729033646092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0702793991949782,0,0,0,0,0,0,0,0.00103659872922656,0
X5.HK.EQUITY,0,0.0119639133197485,0,0,0,0.477906596766123,0,0.178947648449596,0,0,0.0462027670223809,0,0,0,0.226860981079768,-0.310410927299807,-0.255259259637583,0,0,0,0,0,0,-0.0445365056892441,0.122910271733122,0.285596702032396,0,0.120190564870582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14240019046476,-0.775201686389397,0,0.283504842046413,1.73472347597681e-18
X601988.CH.EQUITY,0,0,0.291185296779794,0,0.0948919853248466,0,0,0,0.219822243254801,0,0,0,0,0,0,0.142598034953038,0,0,0,0.297058825352043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0266158264265045,0.0261556107397625,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,-0.0136300815409095,0,0,0,0,0,0,0.315630053363588,0,0,-0.0387507693647938,0.0629457445630391,0,0,0,0,0,0.471657241309127,0.0242189479961918,-0.00840673508023298,0,-3.46944695195361e-18,0,-0.0400745893889911,0,0,0,0.0128301235941693,0,0.0740958302138427,0,0,0,-0.022135229961456,0,0,0.0705653205206972,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.112814441532062,0,0.272907621054599,0,0,0,0,0,0.175706164798723,0,0,-0.0389046939269848,-0.130954888338613,0,0,0,0,0,0,0,0,-0.0504445526752609,0,0,0,0,0,0,0,0,0,0.0100394854730211,0,0,0.33375850977202,0,-0.0252230706807077,-0.202846507771256,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0.0251098368618534,0,0,0,0,0,0.198475180958208,0,0,0,0,0,0,0,0,0,0,0,0.0456277527965639,0,0,0.23131085309535,0,0,0,0.161126144711864,0.16039855673445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0.185447765494244,0.0384026472630238,0.0974684059859377,0,0,0.0245070284112119,0,0,0,0,0,0,0,0,0,0,0,0.147165902904373,0,0,0,0.0372129368259454,0,0,0,0,0,0.0451300740964379,0.343221156893025,0,0,0,0.0306887972521008,0,0,0,0,0,0,0.0420454257355046,0,0,0,0,0,0,0
