,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X601881.CH.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X600926.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601788.CH.EQUITY,X601696.CH.Equity,X2884.TT.EQUITY
X601398.CH.EQUITY,0,0,0.268638900361821,0,0.0551892084724583,-0.0126147505698282,0,0.463750420053424,0,0,0,0.0543121489141036,0,0,0,0,0,0,0,0,0.0906885692842393,0,0,0,0.0338946636928109,0,0,0,0,0,0,0.0861111276596883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0.182779186983033,0,0.0189603699412793,0,0,0,0.229700211156063,0,0,0,0,0,0.117977172425136,0,0.0100959488625803,0,0.0319891277933434,0,0,0,0,0,0,0,0,0,0,0,0,0.0400014128731993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144233221019106,0,0,0
X601939.CH.EQUITY,0.490180928758752,0.322579573028111,0,0,0,0,0,0.238770608883034,0,0,0,0.0628139857761485,0,0,0,0,0,0.0184329295533358,0,-0.198697874845884,0,0,0,0,0,0.0852437579698829,0,0,0,0,0,0,0,-0.338474262129825,0,0,0,0,0,0,0,0,0.0792680887326983,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0.578836973493554,0,-0.0338922786428623,0,0.0074325994288188,0,0,0,0,0,0,0,0,0.110446903039028,0.0558535838812425,0,0,0,0.202129579803238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040013652816614,0,0,0,0,0,0.00820408297654153,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0.0650807068722932,0.195781384716116,0.0361197124304204,0,0,0,-0.126365109386441,0.257737433978533,0,0,0,0,0,0,0,0.192264029579967,0,0,0,0,0.00403880289399577,0,0,0,0,0,0.0405991780564314,0.0581758812185658,0,0,0,0,0,0,0.391960612165458,0,0,0,0,0.0716198475338002,0,0,0,0,0
X601628.CH.EQUITY,0.0900196872090886,0,0,0,-0.125226837833414,0,0,0.0499604483747584,0,0,0,0,-0.0922532214864085,0,0,0,0,0,0,0.312354254245731,0,0,0.109794639845244,0,-0.0568148742024027,0,0,0.636201425354552,0.102523587348284,-0.153867671998754,0,0,0,0.128625722968037,0,-0.124118273487665,1.73472347597681e-18,0,0,0,0,0,0,0,0.0753533267674138,0,0,0,0,0
X1299.HK.EQUITY,0,0,-0.068400867963478,0,0.139702294976607,0,0,-0.254111162360844,0,0.14621329698853,-0.135965999965179,-0.0545795298706623,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0.221839907844271,0,0,0,0,0,0,0,0,0,0.293457415071208,0,0,0,0,0,0,0,0,0,0,0.215215200911652,0,-0.0328260174729044,0,0,0,0,0
X601988.CH.EQUITY,0.014691189835469,0,0.0736567872527424,0.433484611280073,0.00503437494551544,0,0,0,0,0,0,0,0.135526158031301,0,-0.034720517635522,0.180182789307268,0,0,0,0,0.0657004969314021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.0989394128475281,0,0,0,0.0194335918049679,0,0,0,0,0,0.00574407280557777,0,-0.0861289843341654,-0.0498786794030158,0,0,0,0.341353162378099,0,0,0.310035896721427,0,0.188966561252113,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0.297992496678824,0,0,-0.16140668058059,0,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0,0,-0.231759106554506,-0.0561265864229776,0.167025994623394,0,0,0,0,0,0.133748108969148,0,0,0,0,0,0,0.521956062641806,0,0.0112808504572553,0,0,0,0,0,0,0,0,0,0,0.265588867638496,0.119395124810777,0,0,-0.293270912536993,0.12664659712541,0,0,0,0,-0.0534794797413321,0,0,0,0,0,0,0
