,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X601881.CH.EQUITY,X600015.CH.EQUITY,X2886.TT.EQUITY,X601788.CH.EQUITY,X601009.CH.EQUITY,X2891.TT.EQUITY,X601916.CH.Equity,X601696.CH.Equity,X2884.TT.EQUITY,X601236.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0,0,0.202551942140284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.559691124506581,0.0687232397329432,-0.276002908070063,0,0,0.0121134670707122,0,0,-0.157547669321217,0,0,0,0,0,0,0,0,0,0.169458400568886,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.224547258309007,0,0,0,-0.0185496146966417,0,0,0,0,0,0,0,0.163386936007779,0,0,0,0,0,0,0,0.10034190948811,0,0,0,0,0,0.271116243181477,0,0,0,0,0,0,0,0.233967609474979,0,0,0,0,0,0,0,0.107449082889376,0,0
X601939.CH.EQUITY,0,0,0,0.671871490650707,0,0,0,0,0.0448875301466069,0,0,0,-0.0115327904276382,0,0,-6.93889390390723e-18,0,0,0,0,0,0.0166319163203043,0,0,0.0571840963200795,0,0,0,0,0,0,0,0,0,0,0.0531769857041994,0,0,0,0,0,0,0,0.0386108845974368,0,0,0.202433328747949,0,-0.0117079331748909,0
X601288.CH.EQUITY,0,0,0.757005522016008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0440327642448611,0,0,0,0,-4.33680868994202e-19,0,0,0,0.0754616490462235,0,0,0,0,0,0,0.125343052024091,0,0,-0.00258685577398817,0,0,0.0678840023928909,-0.219771551424389,0,0
X601628.CH.EQUITY,0.011545548233437,0,0,0,0,0,0,0,0,0.234554119944162,0,0.184787446597113,0,0,0,0,0,0,0.22696710281737,0,0,0,0,0,-0.135791544901961,0,0,-1.73472347597681e-18,0,0,0,0.315198023684009,0,0,0,0,0.295977852735432,0,0,0,0,0,0,0,0,0,0,0.105573528702584,0,0
X600036.CH.EQUITY,0,0.00442610748498459,-6.93889390390723e-18,0.367011181964303,0,0,0,0,0.0623503046973771,0,0,0,0,0,0,0.119363073123142,0.0765286524076625,0,0,0,0,0.0816789713733313,0,0,0.0774712517610323,0.0523753343787984,0,0,0,0,0,0,0,0,0,0,0,0,0.0190510507853465,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.0613283886603754,-0.0480703015129441,0,0,0,0,0,0,0,0,0.0790194508847966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00517404509307888,0,0,0,0,0.948462750873708,0.0183783182576232,-0.0649249647442803,0,-0.0529790071876545,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.121466470835144,0,0,0,0.00308325920232566,0,0,0,0,0,0,0,0,0,0,0,-0.0454453346882629,0,0,0.132574854263461,0,0.437498702998062,0,0,0,0.252434117994229,0,0,0,0,0.00911869862405764,0,0,0,0.00198582997564751,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.0686440178528349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.518183255984221,0.237839168160209,0,0,0,0,0,0,0,-0.00651781617285709,0,0,0,-0.0121437641798878,0,0.0974159345450892,0,0,0,0,0,-0.0912240135602619,0,-0.172019605741741,0,0,-0.194939137903831
X388.HK.EQUITY,0,0,0,0,0.34211747059344,0,0,0.346458528865696,0.18135673709643,0,0,0,0,0,0,-0.202657853471998,0,0,0,0,0,0.184308942372642,0.150892196007988,0,0,0.200741457617621,-0.114610520974247,0,0,0,0,0,0,0,0,0,0,0,-0.287876268984008,0,0,0,0,0.089151356387308,-0.288541610256231,0,0,0,0,0
