,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X600918.CH.Equity,X2891.TT.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X601916.CH.Equity,X601009.CH.EQUITY,X2884.TT.EQUITY,X601881.CH.EQUITY,X601236.CH.EQUITY,X600919.CH.EQUITY,X2892.TT.EQUITY
X601398.CH.EQUITY,0,0.070580925130444,0,0.0992315073119636,0,0,0,0,0.220683188200887,0,0.132106019718045,0,0,-0.104181929198493,0,0,0,0,0,0,0.0703233297133381,0,0,0,0.313914542435227,0,0,0,-0.117245216222304,0,-0.118500033218081,0,0,0,0,0,0,0,0.0742822725445565,0,0,0,0.0545386110352927,0.178075447209495,0,0,0,0,0,0
X601939.CH.EQUITY,0.1005028494174,0,0,0.353039009351789,0,0,0,0,0,0,0,0,0,0.183191910991492,0,0,0,3.46944695195361e-18,0,0,-0.0702057241406449,-0.100964275409617,0.255717955377543,0,0,0,-0.0106145863653612,0,0,0,-0.0462634906537072,0,0,0,0,0,0,0.355149561065514,0,0,-0.108595549592259,0,-0.0364496719579977,0,0,-0.0715282716615789,0,0,0.0211159690385689,0
X601318.CH.EQUITY,0.149926365651962,0,0,0,0.207482670811758,0.0287597068131202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0290841735767193,0,0,0,0,0,0,0,0.210848879571652,0,0,0,0,0,0,0,0,0,0,0.0908362018539285,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0.21029543659828,0.0379601463619939,0,0.326844113842453,0,0,0,0,0,0.193304683060094,0,0,0.0811264781084114,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0832144978297144,0,0,0,0,0,0,0,0,0.0367634817315857,0,0,-0.0598349250228296,0,0,0,0,0,0,0,0,0.109017532849563,0
X601988.CH.EQUITY,0,0.693257856391844,0,0,0,0,0,0,0,0.30042265018715,0,0,0,0,0.0496957434865472,0,0,0,0,0,-0.303346677648845,0.328234435520215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.321664076240318,0,0,0.171741421468761,0,0,0,0,0.216040253386497,0,0,0,0.223893961594823,0
X600036.CH.EQUITY,0,0.162931845319938,0,0,0,0,0,0,0.100866212944804,0,0,-0.0442496212987154,0.184474621973966,0,0,0.170471385404095,0,0,0,0,0.14889598641955,0,0,0,0,0.349856416665405,0,0,0,0,-0.0248054097284826,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0.0915706288870663,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0.164406011688698,0,0,0.303242512907771,0,0,0,0,0.143739388516673,0,0,0.438635715290874,0,0,0,0,0,0,0,0,0,-0.0555034769270063,0,0,0,0,0.0560089229391491,0,-0.06562721947906,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.396521636332885,0.626924448818692,0,0,0.0283924154364051,0.666278387856122,0,0,0,0,0,0,0,0,0,0,-0.131004135447139,0,0,0.241065425145363,0,0,0,0,0.023008090848494,-0.144772969736349,0,0,0,0.0403708066121397,0,0
X601628.CH.EQUITY,0,0,0,0,0,0.166869398716575,0,0,0,0,0,-0.108956884610411,0,0,0,0,0,0,0.318206600466335,0.014442257144175,0.169493360288832,0,0,0,0,0,0,0,0,0,0,0.0276296404288877,0,0,0,0,0,0.268778149131472,0,0,0,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0.0154212376495587,0,0.0731451031311227,0,0,0,0,0,0,0,0,0,0.176179827919837,0,0,0.309916063128723,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.128767649897228,0,0,0,0,0,0.0196768000852575,0,0,-0.0598240031821277,0,0,0,0.087497835848527,0.225971943675783,0,0,0,0,0
