,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X300059.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600999.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X601881.CH.EQUITY,X600015.CH.EQUITY,X2886.TT.EQUITY,X600926.CH.EQUITY,X2891.TT.EQUITY,X601009.CH.EQUITY,X601788.CH.EQUITY,X601901.CH.EQUITY,X601696.CH.Equity,X2884.TT.EQUITY
X601398.CH.EQUITY,0,0,0.280825041489273,0,0.0828448997221789,0,0,0.411492574767042,0,0,0,0,0,0,0,0,0,-0.0582508815750615,0,0,0,0,0,0.122124197160379,0,0.0900430614951094,0,0,0.0502498133657635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0118993519900618,0,0.00431944739226333,0,0.049234027788953,0,0
X601318.CH.EQUITY,0,0,0.108216612147328,0,0,0,0,0,0.171109263361215,0,0.02668557644869,0,0.104131688755655,0.165505664370126,0.119883747034798,0,0,0,0.183849968107443,0.0760500351963723,0,0,0,0,0,0,0.177531909075574,0,0,0,0,0,0,0,0,-0.160430588432068,0,0,0.0633434881296569,0,0,0,0,0,0.0399741388461115,0,0,0,0,0
X601939.CH.EQUITY,0.355799594521597,0.0317575311985822,0,0,0,0,0,0.259598631322662,0.215050323395393,0,0,0,0,0,0,0,0.0933440271486922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.321490496976732,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0.198043240951329,0,0,0,-0.195458130846669,0,-0.0469798947669479,0.0394231238536372,0,0,0,0,0,0,0,0,0,0,0.143469790518512,0,0.125058894334111,0.117587251968601,0,0,0,0,0.057608929476921,0,0,0,0,0,0,0,0.383896185972647,0,0,0,0.106503477245099,0.0423147571236127,0,0,0.0330638806819222,0,0
X601288.CH.EQUITY,0,0,0.171736525196822,0,0,0,0,0.425816452384614,0,-0.0191342762547912,0,0.0526049800341843,0,0,0,0,0,0,0,0,0.155991812038246,0,0,0,0,0,0.120464924375756,0,0,0,0,0,0,0,0,0,0,0.00687405114910509,0,0,0,0,0.0139848565896707,0,0,0.035491880926319,0,0,0,0
X1299.HK.EQUITY,0,0,0,0.106685989805642,0,0,0,0,0,0.222263099557705,-0.071474741835951,-0.0861420105756676,-0.0272666319524516,0,0,0,0,0,0,0,0.259868464901569,0,0.0344850932762577,0,0.0794140172944942,0,-0.293862793107207,0,0,0,0,0.0707478871528916,0.120841987942279,0,0,0,0,0,0,0,0,0,0.294425770063841,-0.012506833984655,0.00969637871047314,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,-0.0705964758395194,0,0,0,0,0,0.0962949374100283,0,0,0,0,0,0.191797897345142,0,0,0,0,0,-0.0486281134389215,0,0,0,0,0,0,0,0,-0.088425642981739,0.514309035127234,0.0451745500503223,0,0,0,0,0,0,0,0,0,0,0,0,0.0701525679326128,0,0,0,0.0396377976199321
X601988.CH.EQUITY,0.107513770421552,0,0,0,0.497541491020559,0,0,0,-0.0411531280906487,0,0,0,0,0,0,0,0.203058012603473,0.103578520671369,0.06203384270774,0,0,0,0,0,0.0299536248012283,0.00136390158542612,0,0,0,0,0,0,0,0,0,-0.116492238463004,0,0,0,0,0,0.06845862774268,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.346389376023112,0.181432909132841,0,0,0,0,0,0,-0.0774720191849397,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0.365519917142111,0,0.16129639345742,0,0,0,0,0,0,0,0,-0.161741033300523,0,0,-0.0415681856810282,0,0,0,0,-0.102331485334043,0,0,0,0,0.023808813353569,0,0,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,-0.0689713862741177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0481104132736504,0,-0.159482815380228,0,0,0,0.164482340416563,0,0,0,0,0.340102589408891,0,0,0,0,0.0468464950117911,0,0,-0.29428026204034,0,0,0.168395595004402,0,0
