,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X000001.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601066.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X002142.CH.EQUITY,X601169.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X601881.CH.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X300059.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X600958.CH.EQUITY,X2884.TT.EQUITY,X2892.TT.EQUITY,X600061.CH.EQUITY
X601398.CH.EQUITY,0,0,0.50318118256394,0.0029928540963014,0,0,0,0,0,-8.67361737988404e-19,0.121149949243462,0,0,0.153010911313839,0,0.161594400824113,0,0,0,0,0,0,0,0,0,0,0,0,0.0972600230578724,0,0,0,0,0,-0.0377641354434702,0,-0.0316205940927692,0,0,-0.0462040025548147,0,0,0,0.0592124853380763,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,-0.0309842052373359,0.0560126091405572,0.128391688475786,0.0965753059269024,0,0,0,0,0,0,0.44474061361934,0,0.0558666791057917,0,0,0,0,0,0,0,0,0,0,0.0609101518206195,0,0,0,0,0,0,0.0858506146711827,0.00325364248919848,0.0776598407578014,0,0,0,0,0.117794595662872,0,0,0,0,0
X601939.CH.EQUITY,0.0319822617168219,0,0,0.668846229231103,0,0.0429088218152249,0.0756678462082419,0,0,0.170509596301804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0531035051083449,0,0,0,0,0,0,0,0,0,0.0096462443283651,0,0,0,0,0,0,0.0190200672203326,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.238086179377508,0.0729315804225646,0,0.987065238443507,0,0,-0.035404773967492,0,0,-0.33170827257148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.236529505107599,-0.0268531652339582,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.0625914625695161,0,0.400036586035721,0,0,0,0,0,0,0,0,-0.029986335910609,0.0476831111680443,0,0,0,0.0259894337948963,0,0,0,0,0,0,0.223400421363773,0,0,0,0,0,0,0,0,0,0,0,0.253440563686301,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.42421702591707,0,0,6.93889390390723e-18,0,0,0.00703275064507312,0,0,0,0,0,-0.220277006309152,0,0,0,0,0.345988456168666,0,0,0,0,0,0,0,0.101529517387922,0,0,0,0,0,0,-0.196324307933028,0,0,-0.105848054453672,0,0,0,0,0,0,0.402069874253409,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.475930761068123,0,0,0,0,0.0593133835233285,0.211456774231081,0,-0.0542018233272798,0,0,0,0,0.085863147487626,0,0,0,0,-0.161149304808419,-0.136685562822571,0.04393570719824,0,0,0,0.210485873493928,0,-0.097994148882032,0,-0.00327547066126113,0,0,0.0422314032452307,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0.015118309041189,0,0,0.16189835783686,0,0,0,0,0,0,0,0,0.364203727037126,0.359203036208394,0,0,0,0.01300768159344,0,0,0,-0.10613962654689,0,0,0,0,0.078384914064028,0,0,0,-0.169001575353476,0,0,0,0,0,0,0,0,0.0579681631241872,0,0,-0.142355285363618,0,-0.117846157442205,0,-0.0416802196669626
X601628.CH.EQUITY,0,0.0111955541360684,0,0.00582646313332601,-0.0416245352844287,0,0,0,0,0,0,0.0997272783965783,0,0,0,0.212568331378403,0,0,0,0,0,0,0,0,0.0118077863973612,0.358556952898701,0,0,0,0,0.222936791881267,0.083980858709461,0,0.103409822324522,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.00709486178445069,0,0,0.0163622605872059,0.280069448499609,0,0,0,0,0,0.550186767202944,0,0,-4.33680868994202e-19,0.0021425115291539,0,0,0.111894992451844,0.393997930208127,0,0,0,0,0,-6.93889390390723e-18,0,0,-0.199719945489185,0,0.030967489677499,0,-3.46944695195361e-18,0.0527191074218307,0,0.0175831099643834,0,-0.187436532363695,-0.0340020592922191,0,0,0,0,-0.0577095881028038,0,0,0
X601166.CH.EQUITY,0.189768342826702,0,0.0146160801536693,0.240428352340002,0,0.0265081494149727,0,0,0,0.101638428279275,0,0,0.2450305204347,0,0,0,-0.0159328895413148,0.00456900938159785,0,0,0,0.0271842410272252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165159469182766,0,-0.030857262023313,0,0
X601319.CH.EQUITY,0,0.25291466898044,0,0,-0.203630987188812,0,0,0,0,0,0,0,0,0,0,0,0.114550944895286,-0.0258294550314369,0,0,0,-8.67361737988404e-19,0,0,0,0,0,-0.0884254012538082,0,0,0,0.0340413937741315,0,0,0,0,0,0,0,0.00696734802040931,0.081354484430837,0.68986674822258,0,0,0,-0.0513297546508049,0,0
X600000.CH.EQUITY,0,0,0,0,0.0561602122789215,0,0.115694918766676,0.0595469478824874,0,0.238669862356826,0.232825164240967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0300942884716684,0,0,-0.0679296009209189,0,0,0,0,0,0,0,0.116075012146396,0,-0.061054312232315,0.107570068293734,0,0,0,0.18002809210044,0
X11.HK.EQUITY,0,0,0,0,0.345675503130001,0,0,0,0,0,0,0.137245908001648,0,0,0,0.257112097982351,0.022237075221321,0.129931895381574,0,0,0,0.280406502539179,0,-0.458571886369474,0,0,0,-0.00703548430138099,0,0,0,0,0.285154784586344,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0718248039034673,0.204673391242983
X388.HK.EQUITY,0,0,0,0,0,0,0,0.134766877076667,0,0,0,-0.0569298609870404,0.132378331148408,0.19455818752496,0,0.208473297069188,0,0.299792183217275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0894277433629655,0,0,0,0,0,0.167307661045751,0
