,X601398.CH.EQUITY,X601288.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X267.HK.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601998.CH.EQUITY,X600000.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X601628.CH.EQUITY,X000001.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X2388.HK.EQUITY,X600919.CH.EQUITY,X601229.CH.EQUITY,X1299.HK.EQUITY,X002142.CH.EQUITY,X601916.CH.Equity,X601601.CH.EQUITY,X2882.TT.EQUITY,X601009.CH.EQUITY,X11.HK.EQUITY,X2891.TT.EQUITY,X2881.TT.EQUITY,X600926.CH.EQUITY,X601319.CH.EQUITY,X601077.CH.Equity,X601336.CH.EQUITY,X600030.CH.EQUITY,X5880.TT.EQUITY,X2886.TT.EQUITY,X2892.TT.EQUITY,X601838.CH.EQUITY,X601577.CH.EQUITY,X2888.TT.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2883.TT.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X2801.TT.EQUITY,X2885.TT.EQUITY
X601398.CH.EQUITY,0,0,0.258205989123019,-0.00178720298341492,-4.33680868994202e-19,0,0.82400027076675,0,-0.124334056449244,0,0,0,0.0329675324122039,0,0,0,0,0,0,0,0,-0.0379667317946256,0,-0.0538356214608501,0,0,0.163127576881183,-0.00466532224664234,0,0,0,0,0,0,0,0,0,-0.274315606999659,0.0517463728981979,0,0,0,0,0,0,0,0,0,0.0893079799250769,0
X601288.CH.EQUITY,0,0,0,0.556627824928648,0,0,0,0,0,0.149047379419743,0,-0.0292970203272453,0,0,0,0.0433381639148093,0,0,0.224397701643246,0,0,0,-0.0773357334776274,0,0,0,0,0.0424843168235451,0,0,0,0,0,-0.0406143720871865,0,0,0,0.101846402126091,0,0.0152261375847697,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.00740471034105022,0.157344594408184,0,0,0,0.183635471669893,0,0.0348857783460122,0,0.0157092129390425,0,0,0.0341489144540136,0,0,0,0.0738982581608448,0,0,0,0,0.248192918068817,0,0,0,0.108987117636562,0,0.112735009915313,0,0,0,0,0,0,0.0292480649626444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.0118637899229013,0,0,0,0,0,0,0,0.131203309098024,0,0.022274891859992,0,0,0,0,0,0,0.7670027754307,0,-0.0182955276496151,0,0,0,0,0,0,0,0,0,0,0,0,-0.0284722615162793,0,0,0,0,0,0,0,0,0,-0.0243870943542655,0,0,0,0.0883188813014157,0,0.0272986597489655
X5.HK.EQUITY,0,0,-0.203817853075361,0,0,0.127350759242831,0,0,0.544750769491836,0,0,0,0,0,0.00726744431199359,-0.125223165293431,0,0,0,0.0713128289967059,0,-0.0255395716127087,0.101031420310055,0,0,0,0,0,0.223406808489836,0,0,0,0,0,0,0,0,0,0,0,0,0.103981396524885,0,0,0,0.264504082612182,0,0,0.0862365016570205,0
X601658.CH.Equity,0.0845429108134218,0,0,0,0,0,0.161379571829768,0,0,0.58702792767755,0,0,0,-0.244233420620116,0,0,0.271863614145398,0,0,0,0,0,-0.182224535983026,0,0,0,0,0.111459670731485,0,-1.38777878078145e-17,0,0.10678102827536,0,0,0,0,0,0.205935687466622,0,0.0397037544569453,0.0762814958340477,0,0,0,-1.73472347597681e-18,0,0,-0.109271705413245,0,0
X601328.CH.EQUITY,0.953492024183174,0,0,0,-0.0858908456721084,0.0613974470628551,0,0,0,0,0,0,0,0,0,0,0,0,-0.0411269467955433,0,0,0,0,-0.0861498816493938,0,-0.105301115838481,0.0403509738698464,0,-0.00999216533233324,0,0,0,0,0,0,0,0,0,0.0138516948958841,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0.0429522826143197,0,0,0.0156704190023251,0,0,0,0,0,0,0.0227678850277548,0,0,0,0.0764960036114077,0.393569746818117,0,0,0,0,0,0,0,0,0,0,0.0214529399043821,0,0.19481373844912,0,0,0,0,0.146464980239974,0,0,0.0674814246068298,0,0,0,0,0,0,0,0,0,0,0,0
X267.HK.EQUITY,0,0,0,0,0.532796195803918,0,0,0,0,-0.0124210856781448,0,0,0,0.372612998807344,0.0743877058617352,0,0,0,0,-0.281685192529264,0,0,0,0.0783397392036144,0,0,0,0.0543595419959525,1.73472347597681e-18,0,0,0,0,0,0,0,0.071251900805464,0.020979386693391,0,0,-0.0536795276008648,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0.205464709987723,0,0.41978132836649,0,0,0.151613478707612,0,0,-0.0103845015265618,0,-0.0131828583522218,0,-0.022622781877572,0.279596748392522,0,0,0,0,0,0,0.172908522997278,0,-0.0890790515831704,0.0443591783023856,0,0,0,0,0,0,0,-0.0294513059013161,-0.0528839336921371,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,4.33680868994202e-19,0.104852079141711,0,0,0,0,0,0,0.208286987059995,0,0,0,8.67361737988404e-19,0,0,0.474706906958705,0,0,0,0,0,0,0,0,0,0.108885844083668,0,0,0,0,0.245468985125276,0,-0.112397276825552,0,0.154480295791029,0,-0.0532835395518726,0,0,0,0,0,0,0,0,0,0,0,0
X601998.CH.EQUITY,0,0,0,0.0115247932235156,0.0296760207137716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0399286400250362,0,0,0,0.032846460789642,0,0,0.134389775044365,0,0,-0.0270150304968935,0,0,0,0,0,0,0,0,0.0420054943873358,0,0,0,0,0,0,0.342816401971782,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0903546359933748,0,0,0,0,0,0.0937434470171482,0.290926146471,0,0,0,0,0.0802366107325088,0,0,0,0,0,0,0,0,0,0,0,0.00956161552484107,0,0,0,0,0.143389007543821,0,0,0,0,0,0.049701725673696,0.0562976189913622,0.0512225114286948,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0.200889925629632,0.261413306429522,0,0,0,0,0,0,0.197765265369367,0,0,0,0,0,0,0,0,0.270066748355638,0.216363569046184,0,-0.344849980595416,0,0,0,0.0120255965435518,0,0.0768958228923467,0,0,0,0,0,0,0,0,0,0.0560277975547151,0,0,0,0,0,0
X601818.CH.EQUITY,0,0,0,0,0,0,0,0,0.100392672787792,0,0,0,0,0.0101047346935299,0,0,0,0.353030711483225,0,0,0,0,0,0.128741715719814,0,0,0,0.182830779405779,0,0,0,0.111396076054303,0.129320853541071,0.0414523998101587,0,0,0,0,0.0497984428907127,0,0.0114511457783639,0,0,0,0,0,0,0,0,0
