,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,X601916.CH.Equity,X601881.CH.EQUITY,X600919.CH.EQUITY,X2884.TT.EQUITY,X601009.CH.EQUITY,X601901.CH.EQUITY,X2892.TT.EQUITY,X600958.CH.EQUITY
X601398.CH.EQUITY,0,0.210593560329091,0,0.00478138985725874,0,0,0,0,0,0,-0.100403927207146,0.351920251193969,0.302050495220845,0,-0.0277900528249529,0,0.0504941245353369,0,0,0,0,0,0,0,0,0,0.0405947787006072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0192919408854401,0,0,0.0611796217792125,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.0804705313512188,0,0,0.123828893378041,0,0,0,0,0,0,0,0,0,0,-0.0995720676274485,0,0,0,0,0,0,0.313488369437067,0,0,-0.224887983936205,0.500978867434751,0,0,0.0844489596957382,0,0,0,0,0,-0.158813036057224,0.176428551711288,0,-0.0473828497380207,0.148681660345265,0,0.089725422370758,-0.0821570049096293,0,0,0
X601939.CH.EQUITY,0.171155991252843,0,0,0.165981660036183,0,0.212916421121224,0,-0.0264095301074281,0,0,0,0,0,0.106588940961892,0,0,0,0,0,0.135880167875101,0,0,-0.051433414033099,0,0,0,0,0,0,0.475827983470118,0,-0.0736877440983362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.048698953007477,0,0
X601288.CH.EQUITY,0.262114838446646,0,0.248100526116401,0,0.137121714041895,0.292059989803642,0,0,0,-0.184772757648525,0,0,0,-0.0311130982360609,0,0,0.0874363305920846,0,0,0,-0.195603977236948,0,0,0,0,0,0,0,0,0.137135696969453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0.0741925862683183,0,0.026209749773495,0.207384176121933,0,0.0997947483586092,0,-0.362710428592483,0,0,0,0,0.0710905848515598,0,0,0,0,0,0.386699711307029,0,0,0,0.452335031579468,0,0,0.10076603066874,0,0,0,0,0,0,0,0,0,0,0.178447589495279,-0.087272578119597,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.218474486333196,0.21177725558619,0.262069421002796,0.101415163538902,0,0,0,0,0.04862492726746,0,0,0.0549952572841664,0,0,0,0,0,0,0,0,0.146409255435634,0.0719135838384169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109650124099913,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0.0507590029029056,0,0,0.11152754530046,0,0,0,0.0578797596209171,0.37186825362867,0.191709407310855,0,0,0,0,0.00341904001013626,0,0,0,0,0,0,0.0222415560187216,0.0596215333927421,0,0,0,0,0.206870736208171,0,0,0,0,0,0.0489464934880653,0,0,-0.012654436291646,0,-0.0391138471152599,0.0595671875932091,0,-0.0238979682982492,0,0,-0.0238663165925785,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.00865385448376377,0,0,0,0,0,0.402086798407735,0,0.0793024106859405,0,0.153738469895925,0,0.0369682409710934,0,-0.0800752241824493,0.0890459410511596,0,0,0,0,0,0.1708604334555,0,0,0,0,0,0,0,0,0,0,0,0.0303540903652682,-0.0552741255408832,0.0356057322939864,0,0,0,0
X601628.CH.EQUITY,0,0.353199029834346,0,0,0,-0.064011612053432,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0.0384160939679241,0,-0.135621174058747,0,0,0,0,0,0,0,0,0,0,0,0,0.17676785241335,0,0,0,0,0.0104718766945522,0,0,0,-0.104699192654452,0.0154096872069848,0,0,0,0.142652564736738,0,0.00497300350256321,0,0
X601658.CH.Equity,0,0,0,-0.141141683055885,0,0,-0.0769197004996116,0,0,0,0,0,0,0,0,0,0,0,0.0824762911820563,0,0,0.259903667861784,0,0,-0.0295183760702947,0,0,0.34358534016988,0,0,-0.12025912684075,0,0,0,0,0,0,0,-0.387070057586124,0,0,0,0.358430718949418,0,0,0,0,2.16840434497101e-19,-0.309601822630907,0
