,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X601066.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X002736.CH.EQUITY,X2891.TT.EQUITY,X601916.CH.Equity,X601881.CH.EQUITY,X601236.CH.EQUITY,X2884.TT.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X2892.TT.EQUITY,X600958.CH.EQUITY
X601398.CH.EQUITY,0,0.177079320742009,0,0.128024457354339,0,0,0,0,0.262060182331764,0.042307622126959,6.93889390390723e-18,0,0,0,0,0.202631118658007,0,0,-0.0284731597584712,3.46944695195361e-18,0,0,0,0,0.0711655690182907,0,0,0,0,0,0,0,0,0,0,0.0296030806452754,0.0449290133318539,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.442662477594869,0,0,0.0109625493672532,0.00600091297557638,0,-0.0233144612863276,0,0,0,0.246996312338642,0,0.191091860471411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.134568251803983,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104224736073185,0,0,0,0,0.0797664661439363,0.174344610824902,0,0,0,0.0913579294540735,0,0,0,0,0,0.0442122586799071,0.20800597800175,0,0
X601288.CH.EQUITY,0.379899867130688,-1.73472347597681e-18,0,0,0.349639040291622,0,0,0,0,0,0.0746157236838693,0,0,0.0500477403298089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0877452002672791,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.31700631610241,0,0,0,0,0,0,0.320779430682844,0,0,0,0,0.103862166357705,0,0,0,0,0,0,0.0122484831361229,0,0,0,0,0.0874351469992755,0,0.0738711646481217,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0.0279836045434773,0,0,0,0.0933186194277592,0,0
X600036.CH.EQUITY,0,0,0.0772735265549995,0,0,0,0.0408740487530584,0,0,0.0443776510230607,0,0.308188465136951,0,0,0,0,0,0,0,0,0,0,0.142060216641899,0,0,0.0286076232247581,0,0,0,0.0265676104924217,0,0,0.0505123744587931,0,0,0,0,0,0,0.1843106047069,0,0,0,0.014139817151665,0,0.05021096053419,0,0,0.0552000457521734,0
X1299.HK.EQUITY,0,0,0,0,0.270898299198885,0,0,-0.10990799055893,0,-0.105035524009709,0,0,0,0.402220544032773,0,0,0,0,0.303613771965585,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.77555756156289e-17,0.12067339355389,0,0,0,0,0,0,0.0249849748522212,6.93889390390723e-18,0,0.143636389138702,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0.400511489826297,0,-0.522809852538886,0,0,0.793446449910913,0,-0.822740023596676,0,0,0.631400144593974,0,0,0,0,0,0,0,0.167220608309017,0,0,0,0,0,0,0,0.0300753605989959,0.246893929089836,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0458785224497674,0,0,0,0.0801360699517467,0,0.291795541029867,0,0,0,0.139870064325069,0,0,0,0,0,0,0,0,0.159118991329996,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0.0783405180912439,0,0,0,0,0,0.0426534546423939,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241569136440853,0,0,0,0.549380383795834,0,0,0,0,0.0695647658548367,0,0,0.011638684615602,0,0,0,0,0.468826337204955,0,0,0,0,0,0.0376888142658674,0,0,-0.62897303597121,0,0,0,0,0
