,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X2891.TT.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,X601881.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X2884.TT.EQUITY,X601077.CH.Equity,X2892.TT.EQUITY,X600958.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0.186181866834387,0,0.221722427306556,0,-0.0313520978522324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0674434194609048,0,0,0,0,0,0.026279778169391,0,0,0,0,0,-0.0239468559269859,0,0,0,0,-0.100064046684072,0,0,0.233381659239776,0.0678382343046322,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.208111097690182,0,0.0186411313217637,0.266152583271043,-0.00350303061793869,0,0,0,0,0,0,0,0.0657297427511829,0,0,0,0,-0.272544973397479,0.26624953951921,0,0.204772928855788,0,0,0,0,0.0548360933005286,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.297674202489727,0,0,0,0,0,0,0,0,0,0,0,-0.0270464355038222,0,0,0,0,0.180610636479877,0.337312665675472,0.0187523918688232,0,0,0,0,0,0,0,0,0.257293002516024,0,0,0,0,0,-0.0782708093163556,0,0,0,0,0,0,0,0,0.0189896030541638,0,0,0,-0.00225706386439771
X601288.CH.EQUITY,0.457340506499588,0.0511673277806743,0,0,0.0639927060749384,0,0,0,-0.00284168869896298,0,0,0,0,0,0,0,0,0.0337600970647462,0,0,0,0,0,0,0.0543443711535448,0,0,0.124709503603027,0.0960510447771827,0,0,0.204312095975543,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0.0605595740959202,0,0.0748917600943925,0,-0.00538613501013456,0,0
X5.HK.EQUITY,0,-0.126178276616008,0,0.15176700750517,0,0,4.33680868994202e-19,0,-0.351823093807069,0,0,0,-0.0445247876757751,0,0,0,-0.0499792373877101,0,0.342965222468433,0.435577281244609,-0.171664896471191,0,0,0,0,0,0.0387216967658372,0,0,0,0.232164249907489,0,0.0137326263376311,0,0,0,0.0268795023174636,0,0,0,0,0.107951237751257,0,0,0.181175107441547,-0.0426175039146076,0,0
X601988.CH.EQUITY,0.00154802069410578,0,0.153801528588963,0.457327649098416,0,0,0,0.147112032161128,0,0.109452399895147,0.182343583039268,0,0,0,0,0,0,0,0,0,0.151002972654047,0,0,0,0,0,0,0,0,0,0.0338356316445362,0.0898919626419047,0,0,0.00761902722207088,0,-0.0161248958244328,0,-0.0334356824812662,-0.0788522361531044,0,0,-0.272181988867738,0,0,0,0,0
X600036.CH.EQUITY,0,0.430336189705187,0,0,0,0,0,0,0,0,0,0.057666915139192,0,0,0.00850881553750048,0,0.0656137468936899,0,0,0.221535798142242,0,0,0,0.235243976549288,0,0,0,0,0,0.0149153338088563,0.0574455428249618,0,0,0,0,0,0.0496568423715299,0,0,0,0,0,0,0,-0.0357528699862657,0.0819686360415861,0,0
X601628.CH.EQUITY,0,0.00496061481923635,0,0.694070865961573,0,-0.0918507843027205,0,0,0,0.0404976381310615,0,0,0.281214722707941,0,0,0,0,-0.0913140875551957,0,0,0,0,0,-0.148496628630767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108434609267286,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.112400717532231,0,0,0,0,0,0,-0.129758035855284,0,0.330437579064564,0.409567460935736,0.0964344918303428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0135575331020241,0,0,0,0,0,0,0,0.0357780872599959,0,0,0
X601166.CH.EQUITY,0.0101814690400544,0,0,0,0,0.150957882098508,0,0.056560815701751,0,0,0,0,0,0,0.2618967033328,0,0,0,0,0,0,0,0,0.562706102975826,0.236144822571475,0,0,0,-0.05681078903151,0.231757441474523,0,-0.233775805239025,0,0,0,0,0,0,0,0,-0.122364698417495,0,0,0,-0.00932790956332673,0,0,0
X601328.CH.EQUITY,0,0,0.00944060079663231,0,0,0.270495554299665,0,0,0,0,0,0.318098528687472,0.0986549188163509,0,0,0,0.0552545983277065,-0.0735696160107566,0.246966618586149,0,0.016187412340936,0.142204678619653,0,0,0,0,0,0,0,0,0,0.0165018777883452,0,0,-0.0269169348622024,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0
