,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X601066.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X601236.CH.EQUITY,X601881.CH.EQUITY,X601916.CH.Equity,X2884.TT.EQUITY,X600919.CH.EQUITY,X600958.CH.EQUITY,X601009.CH.EQUITY,X601901.CH.EQUITY
X601398.CH.EQUITY,0,2.77555756156289e-17,0,0.360010297908746,0,0,0,0,0,0,0,0,0,0.5065620807672,0.00637544118916154,0,0,0,0,-0.0579964277023132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101435763048027,0,0,0,0,-0.00726713383640659,0,-0.0398474051311113,0,0.133778471977192,0,0,0,3.46944695195361e-18,0
X601939.CH.EQUITY,0.154278956439194,0,0,0,0,0,0,0,0,0,0,0,0.283221589913394,0.275627259793991,0,0,0,0,0,0,0,0,0,0,0,0,0.0760589315296711,0,0,0,0,0,0,0,0,0,0.0613157611204946,0,0,0,0,0,0,0,0.122626709847408,0,0,0,0,0
X601318.CH.EQUITY,0,0.278726041876569,0,0.0167525347558127,0,0,0.0821656066995797,0,0,0,0,0,0,0.0562394909742382,0,0,0,0,0,0,0,0,0,0,0,0,0.0465684233682427,0,0,0.194727610358091,0,0,0.123371443132325,0,0,0,0,0,0,0.096304335554534,0,0.00954601732334438,0,0,0,0,0,0,0,0.0724120489708637
X601288.CH.EQUITY,0.383190944518236,1.38777878078145e-17,0,0,0.364125164063765,0,0,0,0,0,0.0863193199630233,0.0296753362921366,0,0.0301433328199169,0.0442384602583501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0.0191294627402986,0,0,0,0,0.0108644492163501,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.195044085370735,0,0,0,0,0,0,0.122248312056352,0,0.131105710306628,0,0,0,0,0.0420594060160788,0.0290494149538539,0,0,0,0.0510192140426041,0,0,0.185394495792649,0,0,0,0,0,0,0.0143057362372584,0,0,0.0404019406115612,0,0,0,0,0,0,0,0,0.141964005367686,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,-0.235298831130157,0,0,0.157600375738709,0,0,0,0,0.402764846934044,0,0,0,0,0,0,0,0.414352001589257,0,0,0.598972957602966,0,0,0,-0.670584738068065,0,0.297772180059658,0,0,-0.578168870568607,0.245906344336123,0,0,0,0,-0.615127613875872,0.267738120147562,0,0.162250260531337,0,0.342458963841749,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.141020923188292,0,0,0,0.0088050176182511,0,0.174414344103191,0,0,0,0,0,0,0,0.0418040446407549,0,0.0188415902105233,0.235457243545401,0.179073967813014,0,0,0,0,0,0,0,0,0,0,0,0.00693409463398344,0,0.0542258699169483,0.0552689829858712,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.12466848760562,0,0,0,-0.0554713508962704,0,0,0,0,0,0,0,0,0,0.0142368852417573,0,0,0,0.536504391345393,0,0,0,0,0,0,0,0,0,-0.134558020145254,0,0,0,0,0,0.425937538802242,0,0,0,0,0,0.0448705891261258,0,0,0,0
X601628.CH.EQUITY,0,0.306949190853482,0,0.017087880785657,0.247444989795843,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125272211224653,0,0.0384343022454514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065409529426403,0
X601658.CH.Equity,0,0,0,0,0,-0.010299645293395,-0.0249442031026379,0,4.33680868994202e-19,0,0,0,0,0,-0.311247186378408,0,0,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,-0.12189965055735,-0.181171040378316,0,0,0,0.978995228072907,0,0,0,0,0,-0.108993204309177,0,0.750616543733872,0,0,0,0.22581974839348,0
