,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600837.CH.EQUITY,X2881.TT.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X2891.TT.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X601916.CH.Equity,X600918.CH.Equity,X2884.TT.EQUITY,X601009.CH.EQUITY,X601236.CH.EQUITY,X601881.CH.EQUITY,X2892.TT.EQUITY,X600919.CH.EQUITY
X601328.CH.EQUITY,0.365327450763928,0,0,0.21013276662622,0,0,0,0,0,0,0,0,0,0,0.15387894501077,0,0.0513559954398806,0,0,0,0,0,0,0,0.139591995829544,0,0,0.00320087985977517,0,0,0,0,0,0,0,0,0,0,0.0535975771724181,0,0,0,0,0,0.0421649280022344,0,0,0,0,0
X388.HK.EQUITY,0,0,0.29715526101843,0,0,0,0.230473366392775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0518879389817907,0,0,0,0,0
X601166.CH.EQUITY,0.0232407239858756,0,0,0.00752460430686293,0,0.469319766727906,0,0,0,0.0397697304873235,0,0,0,0.0484317049930486,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0.217087045101723,0,0,0,0,0,0,0,0,0.00674832981666684,0,0,0.0400935474552895,0.0240469382446359,0.080036763047009,0,0,0,0,0,0,0,0,0,0.0426414884601477,0
X600000.CH.EQUITY,0.046908211047797,0,0,0.231226852419489,0,0,0.0233392657505233,0,0.0662526140929434,0,0,0,0,0,0,0.0127195426950555,0.0433641743388027,0.0762122451373474,0,0,0,0,0.135689273008487,0,0,0,0,0,0,0,0,0.0553800000985722,0,0.0584753895123865,0,0,0,0.0288036391205615,0,0,0,0,0,0,0.0591429215564932,0.083690873041808,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0371336683707844,0,0,0,0.0449795874161201,0,0,0.0597015058779924,0,0,0.237202841855659,0,0,0,0,0.176734777007588,0.173869047810968,0,0.0799839169461691,0.00715929493346384,0,0,0,0,0,0,0,0,0,0,0.125202483945681,0,0,0,0,0.00568085286130674,0,0,0
X000001.CH.EQUITY,0,0,0.471394138972446,0,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,-0.0315779119786882,0.0143393641138623,0,0,0,0,0,0.235278417590797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0.216503963789952,0.0694781863329463,0,0,0,0
X600016.CH.EQUITY,0.171390148416348,0,0,0.322690869162063,0.113813480662301,0.0343835383568722,0,0,0,0,0.0872408251006974,0.016811561801686,0,0,0,0,0,0,0,0,0.0272404100185507,0,0,0,0,0,0,0,0,0,0,0.051270447731216,0,0,0,0,0.156758680256107,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0
X601319.CH.EQUITY,0.0109166223861502,0,0,0,0,0,0,0,0,0,0,0,0,0.0874190305141288,0,0,0,0,0,0.0535269635119957,0,0,0,0.110765895481326,0,0,0,0.303740186087082,0,0,0,0.0634789208772745,0,0.0520590210910336,0,0,0,0,0,0.0321748883765932,0.0859238868271795,0,0.0721562152164349,0,0,0,0,0,0,0
X2388.HK.EQUITY,0,0,0,0,0,0,0.206390501711784,0,0.146238367327685,0,0,0.181273562312923,0,0,0,0,0,0,0,0,0.451429745411602,0,0,0,0,0,0,0,0,0,0,0,0.125457975993247,0,0,0,0,0,0,0,0,0,0,0,-0.00547246680214862,0,0,0,0,0
X601601.CH.EQUITY,0,0,0.674710178062335,0,0,0,0,0,0,0,0,0,0,0,0,0.024442291980236,0,0,0,0,0.332074232364675,0,0,0,0,0,0,0,0.31627265022524,0,0,-0.151329215927606,-0.196629150361184,0,-0.0473962771114737,0,0,0,0,0,0,0,0,-0.134147215990912,0,0,0,0,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0.0391696281012334,0.354817241375937,0.120956349817008,0,0,-0.0985480113613858,0,-0.0228082251748368,0,0,0,0,0.30252534561741,0,0,0.0908981093547928,0,0,0,0,0,0,0,0,0.102380036767699,0,0,0.00682306918794869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601066.CH.EQUITY,0,0,0,0,0,0,-0.0440788551235423,0,-0.111292980478596,0,0,0,0,0,0.303116664571417,0,-0.0369675809546605,0,0,0,0,0,0,0,0,0,0,0.284656912841806,0,0,0,0,2.77555756156289e-17,0,0,0,0,0,0,0.101127745530417,0.318076400639267,0.0247236364845271,0,0,0,0,0.0265874834659136,0,0.0275365649360625,0
X601998.CH.EQUITY,0,0.172533929126181,0,0,0.0665110441239154,0,0,0,0.0852602995123978,0,0.172207239396735,0,0.00472934753463151,0.16020800205498,0,0.055668927048699,0,0,0,0,0,0,0,0,0.11278274009092,0,0,0,0,0,0,0,0,0,0,0,0.220711273455468,0.0157034999005716,0,0,0,0,0,0,0,0,0.0812311249302744,0,0,0
X267.HK.EQUITY,0,0,0,0,0,0,0.207075569225267,0.241242212773299,0,-0.242746303574653,0,0,0,0,0,0,0.274149000229802,0,0,0,0.12103940184094,0,0,0,0,0,0,0.288210690028294,0,0,0,0.0177979313523326,0,0,0.146947580688493,0.0117783616449408,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601818.CH.EQUITY,0.111673584426269,0,0,0.260540902624029,0,0,0,0,0,0,0,0,0.305927456253526,0,0,0.0564848429287558,0,0,0,0,0,0,0.15334067260992,0,0,0,0,0,0,0,0,0,0,0,0,0.0241158103048588,0,0,0,0,0,0,0,0,0,0,0.0314740511633792,0,0,0
X002142.CH.EQUITY,-0.0183676105251856,0,0,0,0,0.71859084043091,0,0,0,0,-0.213777013097634,0.263099302487337,0,0,0,0.120795019475649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0599969351433517,0.185901373808641,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0443313087408419,0,0,0,0
X601688.CH.EQUITY,0,0,0.0330780356993616,-1.73472347597681e-18,0,0,0.0169433887072729,0,0,0,0,0,0,0,0.250296815621959,-0.0474260427746458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122245921357825,0.465570650458997,0,0,0,0,0,0,0,0.194406090909923,0,0.10750916649551,0,0,0,0,0,-0.0443019538221951,0
X601211.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.0661498272376967,0.12658503042138,0,0,0,0,0,0,0.0222842467154959,0,0,0,0.0641772666619047,0.145666949701242,0.130626023344009,0,0,0.55862160006475,0,0,0,0,0,0,0,0,0,0.0910528518798999,0,0,0,0,0,0,0.0320172700670457,0.0154716255730555,0,0,0,0,0
X2882.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.247751991977821,0.0343687092092024,0,0,-0.0620547547450576,0.0333901067798696,-0.164038384718221,0,0,0,0,0,-0.0544216705721398,0,0.575408110915565,0,-0.0426891045348155,0,0,0,0.219042220306002,0,0,0,0,0,0,0,0,0.0775673148528948,0
X300059.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.347374288006288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115318025904516,0,0,0,0,0,0,0,0,0.177134934586521,0,0,0,0,0,0,0,0,0
X601336.CH.EQUITY,0,0,0,0,0,0.337168983945331,0,0,0,0,0,0,0.00381300586700798,0,0,0.15803296633533,0,0,0,0.0254683779930161,0.0417222055791403,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0.0627464591254123,0,0,0,0,0,0,0,0.00973409905444695,0,0.228272306566083,0,0
X601229.CH.EQUITY,0,0,0,0,0,0,0,0,0.144199576914495,0,-0.0761914531604564,0,0,0,0,0,0,0.0123552971245251,0,0,0,0,0,0.102462219314801,0,0.0747605979110767,0.241505270859173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0707439992363815,0,0,0.0724170713070509,0,0,0,0.212870331058095
X600837.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.098118024650189,0,0,0,0,0,0,0.0677953544883442,0,0.144816513359301,0.300244485960796,0,0,0,0,0.421755010084877,0.0516356753644071,0,0,0.0466362577511429,0,0,0,0,0,0,0,0,-0.0938225493729723,0.026033852979696,0,0,0,0,0,0.027363334349232,0.0032702050435826,0,0
X2881.TT.EQUITY,0,0,0,0,0,0,0.0525839506522736,0,0,0,-0.0392294626508419,0,0,0,0,0,0,0,0,0,0,-0.113363718230633,0,0.00268376993444788,0,0,0,0,0.62946252530794,0,0,0,0,0,0,0,0,0.267290817580575,0,0,0,0,0,-0.0396817960149806,0,0.0768984975726707,-0.0580211576849153,0,0.0485872110829936,0
X000166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.159686505815112,0,0,0,0,0,0,0.139034198867795,0,0,0,0,0,-0.17641151884399,0,0,0,0,0,0,0,0.647280862933708,0,0,0,0,0,0,0,0,0.0968156624206845,0,-0.00337145509271228,0,0,0,0,0,0
X600999.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.0874958963521775,6.93889390390723e-18,0.0214508788965374,0,0,0,0,0,0,0.0558098641320281,-0.0491716182410652,0,0,0,0,0,0,0,0,0,0,0,0,0.042837445059811,0,0,0,0,-0.151747728696104,0,0,0.0900081567621877,0,0,0,0.41699795630997,0,0.177743203969321,0,0,0
X601169.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0746380568795165,0,0,0,0,0.0444785830798098,0,0,0,0,0.131318934842692,0.408325681086895,-0.00132992236600488,0,0,0.0988136322703407,0,0,0.00154585249183255,0.0256464271130349,0,0,0.297061725122603
X2886.TT.EQUITY,0,0,0,-0.102753894552928,0,0,0,0.0405002308009861,0,0,-0.0682535048955374,0.015240128072865,0,0.156721447439901,-0.0690399586273686,0,0,0,0.0617850094532896,0,0,0,0,0,0,0.0517202920448701,0,0,0,0,0,0,0,0.276849062414334,0,0,0.0707949618622303,0,0,-1.73472347597681e-18,0,-6.93889390390723e-18,0,0.0719512923745959,0.345212246758271,0,0,0,0.181280630440818,0
X600015.CH.EQUITY,0,0.249221618775048,0,0,0,0,0,-0.121276125071103,0,0,0,0.0277850552790718,0.150737047498011,1.38777878078145e-17,0,0.113105464566641,0,0,0,0,0,0,0,0,0.233597289753954,0.0730897051997907,0,0,0,0,0,0,0,0,0,0,0.334009037646566,0,0,0,0,-0.187499454024347,0,0,0,0,0,0,0,0
X2891.TT.EQUITY,0.00508213119868142,0,0.0654571523548451,0,0,0,0,0,0.169126894081604,0,0,0,0,-0.0308398007842845,-0.00652039296601563,0,-0.0501987724511303,0,0.135261263650356,0,0,0,0,0,0,0,0,0,0.0385836651919747,0,0,0,0,0.081105730929595,0,0,0.0844377856140559,6.93889390390723e-18,0.0218900180817125,0,0,0,0,0.0640039908783196,0,0,-0.128317657347225,0,0.533490330114531,0
X000776.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.00349012811888453,0,0,0,0.142450854457718,0,0,0.0461817353550779,0,0,0,0.0107023603848574,0.0851102742552261,0.0222085395453915,0,0,0.200548267886664,0,0,0,0,0,0.287501318889519,0,0.0860535066539835,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0.0367631971987883,0,0,0
X002736.CH.EQUITY,0,0,0,0,0,0,0,0.0274620919747802,0,-0.0510602971138533,0,0,0,-0.0601879570241608,0,0,0,0,0,0,0,0.0770313119139687,0,0,0,0,0.15759298293321,0.271923168267318,0,0,0,0.0156782249020583,0,0,0.188498401601579,0,0,0,0,0.0552042944311277,0,0,0,0,0,0,0.347268479051123,0,0,-0.0598946821343216
X601916.CH.Equity,0,0,0,0.334210181875991,0,0,0,-0.151945749582639,0,0.151094748921515,0,0.163395347919713,0,0,0,0,0,-1.73472347597681e-18,0,0,0,-6.93889390390723e-18,0,-0.0184001162211156,0,0,0,0,0,0,0,0.0453311188980122,0,0,0.339591254618682,0,1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,0,0,0
X600918.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2884.TT.EQUITY,0,0,0,-0.239954272962566,0,0,0,-0.0169271942701192,0.0853847188606961,0,0,0,0,0,0,0.375337422843289,0,0,0,0,0,0.000862737341263034,0.0623350363892589,-0.00817884138722108,-0.0132954524166973,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0.233508994411771,0,0.0340864895061416,0,0,0,0,0,0,0,0,0,0,0.639585576575727,0
X601009.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0434663330911699,0,-0.0189149508676164,0.211676156108076,0.0528710543531536,0,0.113629168916007,0.208560325701032,0,0,0,0,0,0,0,0.0470316075872347,0.0836673580829119,0,0,0,0,0,0.0614775783106713,0,0,0,0,0.0309190917065526,0,0,0,0,0,0.110903234027435,0,0,0,-0.120914029931159,0,0,0.0726264121872672
X601236.CH.EQUITY,0,0,0,0,0.0372709120461325,0,-0.134835231996518,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,-0.0475167654736401,0,0,0,0,-0.0660009452718168,0.159884666359681,0,0,0,0,0.159869006818883,0,0,0,0,0,0.279469939055058,0.393267448505316,-0.0782310943170633,0.115277472133153,0,0,0,0,0,0.0699230350840884
X601881.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.348074571320127,0,0,0,0,0,0,0,0,0,0,0,0.1752104450609,0,0,0,0,0,0.174761019034162,0,0,0,0.0835462884497739,0,0,0,0,0.203530067951085,0,0,0,0,0,0,0,0
X2892.TT.EQUITY,0,0,0,0,-0.0238002691657499,0,0,0,0,0,-0.0141401679906834,0,0,0,0,-0.0091150228527818,0,-0.0701560628269566,0.0390156733998176,0,0,-0.0299409265820596,-0.0266804852982966,0,0,0,0,0,0.0342567498217575,0,0,0.117117221512963,0,0.010112609778622,0,0,0,0.210113081251308,0,0.370364180041092,0,0,-0.0666599129227533,-0.0672114938055807,0.482392562671017,0,0,0.0441508579232248,0,0
X600919.CH.EQUITY,0,0.157174565097538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169573182420445,0,3.46944695195361e-18,0,0.011375674211683,0,0,0.0455112580307141,0.197598979884693,0,0,0.0578008257712932,0.0159629649817847,0.073035656138573,0,0
